OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
01	0	1	01_L372.avi	18441	12.29400	01_L372.avi	108441	72.29400	1
02	0	1	02_L378.avi	25119	16.74600	02_L378.avi	115119	76.74600	1
03	0	1	03_L367.avi	10447	6.96467	03_L367.avi	100447	66.96467	1
04	0	1	04_L373.avi	22003	14.66867	04_L373.avi	112003	74.66867	1
05	0	1	05_L375.avi	18050	12.03333	05_L375.avi	108050	72.03333	1
06	0	1	06_L369.avi	24359	16.23933	06_L369.avi	114359	76.23933	1
07	0	1	07_L564 (2).MP4	3875	11.01378	07_L564 (9).MP4	257	71.01372	1
08	0	1	08_L367.avi	7051	4.70067	08_L367.avi	97051	64.70067	1
09	0	1	09_L369.avi	13944	9.29600	09_L369.avi	103944	69.29600	1
10	0	1	10_L375.avi	5763	3.84200	10_L375.avi	85738	57.15867	1
11	0	1	11_L378.avi	8112	5.40800	11_L378.avi	98112	65.40800	1
12	0	1	12_L367.avi	3191	2.12733	12_L367.avi	93191	62.12733	1
13	0	1	13_L378.avi	6994	4.66267	13_L378.avi	96994	64.66267	1
14	0	1	14_L372.avi	8015	5.34333				0
15	0	1	15_L372.avi	14852	9.90133	15_L372.avi	104852	69.90133	1
16	0	1	16_L373.avi	8126	5.41733	16_L373.avi	98126	65.41733	1
17	0	1	17_L375.avi	7918	5.27867	17_L375.avi	97918	65.27867	1
18	0	1	18_L369.avi	4573	3.04867	18_L369.avi	94573	63.04867	1
20	0	1	20_L564 (1).MP4	15360	8.54187	20_L564 (4).MP4	28122	68.54181	1
21	0	1	21_L369.avi	17442	11.62800	21_L369.avi	107442	71.62800	1
22	0	1	22_L375.avi	17399	11.59933	22_L375.avi	107399	71.59933	1
23	0	1	23_L373.avi	9903	6.60200	23_L373.avi	99903	66.60200	1
24	0	1	24_L372.avi	12603	8.40200	24_L372.avi	102603	68.40200	1
25	0	1	25_L378.avi	8942	5.96133	25_L378.avi	98942	65.96133	1
26	0	1	26_L367.avi	10511	7.00733	26_L367.avi	100511	67.00733	1
27	0	1	27_L367.avi	5063	3.37533	27_L367.avi	95063	63.37533	1
28	0	1	28_L378.avi	11232	7.48800	28_L378.avi	101232	67.48800	1
29	0	1	29_L372.avi	5156	3.43733	29_L372.avi	95156	63.43733	1
30	0	1	30_L373.avi	8133	5.42200	30_L373.avi	98133	65.42200	1
31	0	1	31_L375.avi	5644	3.76267	31_L375.avi	95644	63.76267	1
32	0	1	32_L369.avi	9637	6.42467	32_L369.avi	99637	66.42467	1
33	0	1	33_L564 (1).MP4	8646	4.80814	33_L564 (4).MP4	21409	64.80863	1
34	0	1	34_L564 (1).MP4	5153	2.86564	34_L564 (4).MP4	17915	62.86558	1
35	0	1	35_L369.avi	6429	4.28600	35_L369.avi	96429	64.28600	1
36	0	1	36_L375.avi	8703	5.80200	36_L375.avi	98703	65.80200	1
37	0	1	37_L373.avi	5546	3.69733	37_L373.avi	95546	63.69733	1
38	0	1	38_L372.avi	5983	3.98867	38_L372.avi	95983	63.98867	1
39	0	1	39_L378.avi	4837	3.22467	39_L378.avi	94837	63.22467	1
40	0	1	40_L367.avi	6610	4.40667	40_L367.avi	96610	64.40667	1
