Dot Point Measurements

Generated: Tuesday 16 November 2021 09:09:54

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
01.jpg	      0		9	705													Sponges	Small mixed		Open		10000000			48.5
01.jpg	      0		682	2669													Macroalgae	Erect fine branching	Red	Open		90300910			53.5
01.jpg	      0		1229	2246													Open Water								40.1
01.jpg	      0		32	3586													Sponges	Small mixed		Open		10000000			100.0
01.jpg	      0		400	851													Sponges	Small mixed		Open		10000000			32.5
01.jpg	      0		1321	1361													Open Water								25.1
01.jpg	      0		1199	1491													Unknown			Open					19.1
01.jpg	      0		1228	848													Unknown			Open					34.7
01.jpg	      0		772	638													Sponges	Small mixed		Open		10000000			37.4
01.jpg	      0		846	397													Sponges	Massive forms		Open		10000903			48.3
01.jpg	      0		1356	1198													Open Water								28.9
01.jpg	      0		145	2422													Sponges	Massive forms		Open		10000903			50.8
01.jpg	      0		788	2108													Macroalgae	Erect fine branching	Red	Open		90300910			28.3
01.jpg	      0		1286	1441													Open Water								23.1
01.jpg	      0		611	1707													Macroalgae	Erect fine branching	Red	Open		90300910			12.6
01.jpg	      0		481	621													Sponges	Massive forms		Open		10000903			40.4
01.jpg	      0		761	763													Sponges	Small mixed		Open		10000000			31.9
01.jpg	      0		1208	3266													Open Water								82.4
01.jpg	      0		188	237													Sponges	Small mixed		Open		10000000			61.2
01.jpg	      0		881	949													Sponges	Massive forms		Open		10000903			24.0
02.JPG	      0		1720	3240													Sponges	Erect forms		Open		10000912			52.9
02.JPG	      0		1912	100													Sponges	Massive forms		Open		10000903			94.6
02.JPG	      0		1696	3174													Sponges	Erect forms		Open		10000912			50.4
02.JPG	      0		1614	3237													Open Water								54.5
02.JPG	      0		2099	3122													Sponges	Erect forms		Open		10000912			44.8
02.JPG	      0		1920	508													Sponges	Small mixed		Open		10000000			75.9
02.JPG	      0		2071	443													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			78.5
02.JPG	      0		1589	3552													Open Water								68.4
02.JPG	      0		2562	28													Sponges	Small mixed		Open		10000000			100.0
02.JPG	      0		2073	2924													Macroalgae	Erect fine branching	Red	Open		90300910			35.7
02.JPG	      0		1979	1742													Sponges	Small mixed		Open		10000000			19.3
02.JPG	      0		1519	3521													Open Water								68.3
