period,latitude,longitude,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,FishNClips.saved,Panoramic.habitat.image.saved,successful_habitat_panoramic,Successful.Habitat.Relief,observer_habitat_panoramic,Raw.hdd.number,Con.hdd.number,Maxn.complete.date,Maxn.checker,Length.complete.date,comment
53,-34.13397833,114.9095067,13/03/2023 8:41,,South-west Corner,No-take,44.4,Yes,Yes,Henry Evans,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/04/2023,Levi Peters,17/08/2023,
35,-34.13310333,114.9172617,13/03/2023 8:54,,South-west Corner,No-take,40.8,Yes,Yes,Henry Evans,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/04/2023,Levi Peters,17/08/2023,
55,-34.13017,114.9292283,13/03/2023 9:06,,South-west Corner,No-take,40.4,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,3/08/2023,Brooke Gibbons,18/08/2023,
82,-34.12950667,114.9244833,13/03/2023 9:15,,South-west Corner,No-take,38.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,3/08/2023,Brooke Gibbons,18/08/2023,Check shark. All cams good before drop
12,-34.128065,114.9236917,13/03/2023 9:22,,South-west Corner,No-take,36.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,3/08/2023,Brooke Gibbons,18/08/2023,
67,-34.12702667,114.9211683,13/03/2023 9:29,,South-west Corner,No-take,39.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/08/2023,Levi Peters,21/08/2023,
79,-34.124835,114.9113967,13/03/2023 9:38,,South-west Corner,No-take,40.2,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/08/2023,Levi Peters,21/08/2023, 
62,-34.12390333,114.90797,13/03/2023 9:46,,South-west Corner,No-take,42.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/08/2023,Levi Peters,21/08/2023,2 mins 58. west cam is basically just looking at algae
1,-34.12221667,114.90727,13/03/2023 9:54,,South-west Corner,No-take,41.2,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/08/2023,Levi Peters,21/08/2023,Cams  good before
54,-34.11656833,114.91198,13/03/2023 10:03,,South-west Corner,No-take,43.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/08/2023,Levi Peters,21/08/2023,south cam basically just looking at algae
13,-34.11460333,114.9064717,13/03/2023 10:13,,South-west Corner,No-take,45.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,4/08/2023,Levi Peters,21/08/2023,
88,-34.10443333,114.9150283,13/03/2023 10:25,,South-west Corner,No-take,45.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,8/08/2023,Levi Peters,24/08/2023,Board showed 52 - Andy changed order
52,-34.10958,114.927455,13/03/2023 10:36,,South-west Corner,No-take,46.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,8/08/2023,Levi Peters,24/08/2023,Cams good before
38,-34.09692333,114.9282067,13/03/2023 10:49,,South-west Corner,No-take,46.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,8/08/2023,Levi Peters,12/09/2023,Resynced before drop
89,-34.09594,114.9201083,13/03/2023 10:59,,South-west Corner,No-take,45.8,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,8/08/2023,Levi Peters,31/08/2023,Checked cams before
19,-34.09159333,114.9171867,13/03/2023 11:08,,South-west Corner,No-take,45.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,8/08/2023,Levi Peters,31/08/2023,
66,-34.084855,114.8926883,13/03/2023 11:21,,South-west Corner,No-take,43.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,8/08/2023,Levi Peters,31/08/2023,
43,-34.08510667,114.8766967,13/03/2023 11:33,,South-west Corner,No-take,42.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,9/08/2023,Levi Peters,31/08/2023,Cams checked before
23,-34.10177333,114.88166,13/03/2023 11:46,,South-west Corner,No-take,43.2,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,9/08/2023,Levi Peters,31/08/2023,
61,-34.10345333,114.8611533,13/03/2023 12:00,,South-west Corner,No-take,44.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,9/08/2023,Levi Peters,31/08/2023,
63,-34.10715,114.8477017,13/03/2023 12:12,,South-west Corner,No-take,46.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Levi Peters,31/08/2023,Checked cams before
