"sample","scientific","maxn","family","genus","species","campaignid","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward","ZoneName","longitude","latitude","status"
"10","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Arripidae Arripis georgianus",0,"Arripidae","Arripis","georgianus","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Aulopidae Latropiscis purpurissatus",0,"Aulopidae","Latropiscis","purpurissatus","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carangidae NA NA",0,"Carangidae",NA,NA,"2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carangidae Pseudocaranx sp",0,"Carangidae","Pseudocaranx","sp","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carangidae Pseudocaranx spp",0,"Carangidae","Pseudocaranx","spp","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carangidae Seriola lalandi",0,"Carangidae","Seriola","lalandi","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carcharhinidae Carcharhinus brevipinna",0,"Carcharhinidae","Carcharhinus","brevipinna","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"10","Carcharhinidae Carcharhinus spp",0,"Carcharhinidae","Carcharhinus","spp","2023-03_SwC_stereo-BRUVs","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
