"campaignid","sample","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","number"
"2023-03_SwC_stereo-BRUVs","10","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","10","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","10","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","10","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","10","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",14
"2023-03_SwC_stereo-BRUVs","10","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","10","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","10","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,8
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Erect fine branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","12","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",7
"2023-03_SwC_stereo-BRUVs","12","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",2
"2023-03_SwC_stereo-BRUVs","12","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","12","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","14","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,3
