"campaignid","sample","level_2","level_3","level_4","level_5","caab_code","number"
"2023-03_SwC_stereo-BRUVs","10","Relief","High","High (>3m)","3","82003006",8
"2023-03_SwC_stereo-BRUVs","10","Relief","High","Wall","4","82003007",10
"2023-03_SwC_stereo-BRUVs","10","Relief","Low / moderate","Moderate (1-3m)","2","82003004",5
"2023-03_SwC_stereo-BRUVs","12","Relief","High","High (>3m)","3","82003006",17
"2023-03_SwC_stereo-BRUVs","12","Relief","Low / moderate","Moderate (1-3m)","2","82003004",4
"2023-03_SwC_stereo-BRUVs","14","Relief","High","High (>3m)","3","82003006",14
"2023-03_SwC_stereo-BRUVs","14","Relief","Low / moderate","Low (<1m)","1","82003003",3
"2023-03_SwC_stereo-BRUVs","14","Relief","Low / moderate","Moderate (1-3m)","2","82003004",8
"2023-03_SwC_stereo-BRUVs","15","Relief","High","High (>3m)","3","82003006",16
"2023-03_SwC_stereo-BRUVs","15","Relief","High","Wall","4","82003007",1
"2023-03_SwC_stereo-BRUVs","15","Relief","Low / moderate","Low (<1m)","1","82003003",4
"2023-03_SwC_stereo-BRUVs","15","Relief","Low / moderate","Moderate (1-3m)","2","82003004",6
"2023-03_SwC_stereo-BRUVs","16","Relief","High","Wall","4","82003007",20
"2023-03_SwC_stereo-BRUVs","17","Relief","High","High (>3m)","3","82003006",2
"2023-03_SwC_stereo-BRUVs","17","Relief","High","Wall","4","82003007",13
"2023-03_SwC_stereo-BRUVs","17","Relief","Low / moderate","Moderate (1-3m)","2","82003004",6
"2023-03_SwC_stereo-BRUVs","19","Relief","High","High (>3m)","3","82003006",14
"2023-03_SwC_stereo-BRUVs","19","Relief","Low / moderate","Moderate (1-3m)","2","82003004",10
"2023-03_SwC_stereo-BRUVs","2","Relief","High","High (>3m)","3","82003006",8
"2023-03_SwC_stereo-BRUVs","2","Relief","High","Wall","4","82003007",12
"2023-03_SwC_stereo-BRUVs","21","Relief","High","High (>3m)","3","82003006",3
"2023-03_SwC_stereo-BRUVs","21","Relief","Low / moderate","Low (<1m)","1","82003003",7
"2023-03_SwC_stereo-BRUVs","21","Relief","Low / moderate","Moderate (1-3m)","2","82003004",5
"2023-03_SwC_stereo-BRUVs","22","Relief","High","High (>3m)","3","82003006",12
"2023-03_SwC_stereo-BRUVs","22","Relief","Low / moderate","Moderate (1-3m)","2","82003004",8
"2023-03_SwC_stereo-BRUVs","23","Relief","High","Wall","4","82003007",14
"2023-03_SwC_stereo-BRUVs","23","Relief","Low / moderate","Moderate (1-3m)","2","82003004",4
"2023-03_SwC_stereo-BRUVs","24","Relief","High","High (>3m)","3","82003006",16
"2023-03_SwC_stereo-BRUVs","24","Relief","High","Wall","4","82003007",9
"2023-03_SwC_stereo-BRUVs","26","Relief","High","Wall","4","82003007",26
"2023-03_SwC_stereo-BRUVs","29","Relief","High","Wall","4","82003007",25
"2023-03_SwC_stereo-BRUVs","3","Relief","High","High (>3m)","3","82003006",4
"2023-03_SwC_stereo-BRUVs","3","Relief","High","Wall","4","82003007",1
"2023-03_SwC_stereo-BRUVs","3","Relief","Low / moderate","Low (<1m)","1","82003003",13
"2023-03_SwC_stereo-BRUVs","3","Relief","Low / moderate","Moderate (1-3m)","2","82003004",7
"2023-03_SwC_stereo-BRUVs","31","Relief","High","High (>3m)","3","82003006",18
"2023-03_SwC_stereo-BRUVs","31","Relief","Low / moderate","Moderate (1-3m)","2","82003004",4
"2023-03_SwC_stereo-BRUVs","32","Relief","High","High (>3m)","3","82003006",4
"2023-03_SwC_stereo-BRUVs","32","Relief","Low / moderate","Low (<1m)","1","82003003",7
"2023-03_SwC_stereo-BRUVs","32","Relief","Low / moderate","Moderate (1-3m)","2","82003004",10
"2023-03_SwC_stereo-BRUVs","34","Relief","High","High (>3m)","3","82003006",12
"2023-03_SwC_stereo-BRUVs","34","Relief","Low / moderate","Low (<1m)","1","82003003",3
"2023-03_SwC_stereo-BRUVs","34","Relief","Low / moderate","Moderate (1-3m)","2","82003004",5
"2023-03_SwC_stereo-BRUVs","35","Relief","High","High (>3m)","3","82003006",6
"2023-03_SwC_stereo-BRUVs","35","Relief","High","Wall","4","82003007",14
"2023-03_SwC_stereo-BRUVs","35","Relief","Low / moderate","Low (<1m)","1","82003003",4
"2023-03_SwC_stereo-BRUVs","35","Relief","Low / moderate","Moderate (1-3m)","2","82003004",5
"2023-03_SwC_stereo-BRUVs","36","Relief","High","High (>3m)","3","82003006",7
"2023-03_SwC_stereo-BRUVs","36","Relief","High","Wall","4","82003007",11
"2023-03_SwC_stereo-BRUVs","37","Relief","Low / moderate","Low (<1m)","1","82003003",20
"2023-03_SwC_stereo-BRUVs","37","Relief","Low / moderate","Moderate (1-3m)","2","82003004",3
"2023-03_SwC_stereo-BRUVs","39","Relief","High","High (>3m)","3","82003006",15
"2023-03_SwC_stereo-BRUVs","39","Relief","Low / moderate","Moderate (1-3m)","2","82003004",5
"2023-03_SwC_stereo-BRUVs","4","Relief","High","High (>3m)","3","82003006",5
"2023-03_SwC_stereo-BRUVs","4","Relief","High","Wall","4","82003007",16
"2023-03_SwC_stereo-BRUVs","40","Relief","High","High (>3m)","3","82003006",11
"2023-03_SwC_stereo-BRUVs","40","Relief","Low / moderate","Low (<1m)","1","82003003",2
"2023-03_SwC_stereo-BRUVs","40","Relief","Low / moderate","Moderate (1-3m)","2","82003004",12
"2023-03_SwC_stereo-BRUVs","44","Relief","High","High (>3m)","3","82003006",7
"2023-03_SwC_stereo-BRUVs","44","Relief","High","Wall","4","82003007",13
"2023-03_SwC_stereo-BRUVs","45","Relief","High","High (>3m)","3","82003006",6
"2023-03_SwC_stereo-BRUVs","45","Relief","Low / moderate","Moderate (1-3m)","2","82003004",20
"2023-03_SwC_stereo-BRUVs","46","Relief","High","High (>3m)","3","82003006",1
"2023-03_SwC_stereo-BRUVs","46","Relief","High","Wall","4","82003007",25
"2023-03_SwC_stereo-BRUVs","46","Relief","Low / moderate","Moderate (1-3m)","2","82003004",1
"2023-03_SwC_stereo-BRUVs","47","Relief","High","High (>3m)","3","82003006",10
"2023-03_SwC_stereo-BRUVs","5","Relief","High","Wall","4","82003007",19
"2023-03_SwC_stereo-BRUVs","5","Relief","Low / moderate","Moderate (1-3m)","2","82003004",1
"2023-03_SwC_stereo-BRUVs","6","Relief","High","High (>3m)","3","82003006",10
"2023-03_SwC_stereo-BRUVs","6","Relief","Low / moderate","Moderate (1-3m)","2","82003004",7
"2023-03_SwC_stereo-BRUVs","7","Relief","High","High (>3m)","3","82003006",20
"2023-03_SwC_stereo-BRUVs","8","Relief","High","High (>3m)","3","82003006",15
"2023-03_SwC_stereo-BRUVs","8","Relief","High","Wall","4","82003007",5
