"campaignid","sample","latitude","longitude","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward"
"2023-03_SwC_stereo-BRUVs","35","-34.13155","114.923645","14/03/2023 23:36",NA,NA,"39.6","Hannah Williams","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","5","-34.12952667","114.9292367","14/03/2023 23:49",NA,NA,"42.7","Hannah Williams","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","26","-34.12729","114.92843","14/03/2023 23:54",NA,NA,"36","Gidget Mirrabelle","Hannah Williams","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","23","-34.12832333","114.9189517","15/03/2023 0:01",NA,NA,"41","Gidget Mirrabelle","Hannah Williams","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","29","-34.12295667","114.9105167","15/03/2023 0:07",NA,NA,"42.6","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","4","-34.11596667","114.9112217","15/03/2023 0:14",NA,NA,"45","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","32","-34.11019667","114.9283567","15/03/2023 0:23",NA,NA,"44.4","Daniel Agnello","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","37","-34.10853667","114.9235817","15/03/2023 0:28",NA,NA,"46.1","Henry Evans","Joe Burgess-Adams","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","3","-34.10734167","114.9156417","15/03/2023 1:54",NA,NA,"46.7","Hannah Williams","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","2","-34.11190167","114.9008467","15/03/2023 2:02",NA,NA,"44.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","12","-34.13248667","114.8816483","15/03/2023 2:18",NA,NA,"42.6","Daniel Agnello","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","44","-34.11804833","114.8597567","15/03/2023 2:31",NA,NA,"44.1","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","24","-34.11788833","114.8485467","15/03/2023 2:39",NA,NA,"45.6","Daniel Agnello","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","36","-34.11534667","114.8613383","15/03/2023 2:45",NA,NA,"44","Daniel Agnello","Gidget Mirrabelle","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","16","-34.11395","114.85971","15/03/2023 2:52",NA,NA,"45.4","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","17","-34.09634667","114.85758","15/03/2023 3:00",NA,NA,"43.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","34","-34.098625","114.8905567","18/03/2023 2:12",NA,NA,"43.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","40","-34.08805667","114.8886967","18/03/2023 2:18",NA,NA,"43.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","14","-34.07530333","114.8686033","18/03/2023 2:28",NA,NA,"42.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","21","-34.06438333","114.857485","18/03/2023 2:34",NA,NA,"42.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","10","-34.083875","114.853305","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
"2023-03_SwC_stereo-BRUVs","15","-34.084775","114.8444033","18/03/2023 2:50",NA,NA,"45.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes"
