"campaignid","sample","latitude","longitude","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward","broad.macroalgae","broad.seagrasses","broad.substrate","broad.sponges","broad.sessile.invertebrates","broad.cnidaria","broad.bryozoa","total.points.annotated","mean.relief","sd.relief"
"2023-03_SwC_stereo-BRUVs","35","-34.13155","114.923645","14/03/2023 23:36",NA,NA,"39.6","Hannah Williams","Gidget Mirrabelle","Yes","Yes","Yes","Yes",24,1,9,3,0,0,0,37,3.03448275862069,1.11748309736944
"2023-03_SwC_stereo-BRUVs","5","-34.12952667","114.9292367","14/03/2023 23:49",NA,NA,"42.7","Hannah Williams","Gidget Mirrabelle","Yes","Yes","Yes","Yes",30,6,0,0,0,0,0,36,3.9,0.447213595499958
"2023-03_SwC_stereo-BRUVs","26","-34.12729","114.92843","14/03/2023 23:54",NA,NA,"36","Gidget Mirrabelle","Hannah Williams","Yes","Yes","Yes","Yes",21,18,0,0,0,0,0,39,4,0
"2023-03_SwC_stereo-BRUVs","23","-34.12832333","114.9189517","15/03/2023 0:01",NA,NA,"41","Gidget Mirrabelle","Hannah Williams","Yes","Yes","Yes","Yes",14,11,0,7,0,0,0,32,3.55555555555556,0.855585263892997
"2023-03_SwC_stereo-BRUVs","29","-34.12295667","114.9105167","15/03/2023 0:07",NA,NA,"42.6","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes",8,28,0,0,0,0,0,36,4,0
"2023-03_SwC_stereo-BRUVs","4","-34.11596667","114.9112217","15/03/2023 0:14",NA,NA,"45","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",14,6,0,2,0,0,0,22,3.76190476190476,0.436435780471985
"2023-03_SwC_stereo-BRUVs","32","-34.11019667","114.9283567","15/03/2023 0:23",NA,NA,"44.4","Daniel Agnello","Levi Peters","Yes","Yes","Yes","Yes",7,0,16,2,0,0,0,25,1.85714285714286,0.72702917999997
"2023-03_SwC_stereo-BRUVs","37","-34.10853667","114.9235817","15/03/2023 0:28",NA,NA,"46.1","Henry Evans","Joe Burgess-Adams","Yes","Yes","Yes","Yes",1,1,12,0,0,0,0,14,1.1304347826087,0.344350221575091
"2023-03_SwC_stereo-BRUVs","3","-34.10734167","114.9156417","15/03/2023 1:54",NA,NA,"46.7","Hannah Williams","Gidget Mirrabelle","Yes","Yes","Yes","Yes",12,1,11,0,0,0,0,24,1.72,0.890692614392492
"2023-03_SwC_stereo-BRUVs","2","-34.11190167","114.9008467","15/03/2023 2:02",NA,NA,"44.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",26,9,0,0,0,0,0,35,3.6,0.502624689950035
"2023-03_SwC_stereo-BRUVs","12","-34.13248667","114.8816483","15/03/2023 2:18",NA,NA,"42.6","Daniel Agnello","Gidget Mirrabelle","Yes","Yes","Yes","Yes",29,2,0,1,1,0,0,33,2.80952380952381,0.402373908081478
"2023-03_SwC_stereo-BRUVs","44","-34.11804833","114.8597567","15/03/2023 2:31",NA,NA,"44.1","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",23,4,0,0,0,0,0,27,3.65,0.489360484929593
"2023-03_SwC_stereo-BRUVs","24","-34.11788833","114.8485467","15/03/2023 2:39",NA,NA,"45.6","Daniel Agnello","Gidget Mirrabelle","Yes","Yes","Yes","Yes",14,14,0,1,0,0,0,29,3.36,0.489897948556636
"2023-03_SwC_stereo-BRUVs","36","-34.11534667","114.8613383","15/03/2023 2:45",NA,NA,"44","Daniel Agnello","Gidget Mirrabelle","Yes","Yes","Yes","Yes",14,6,0,0,0,0,0,20,3.61111111111111,0.50163132570455
"2023-03_SwC_stereo-BRUVs","16","-34.11395","114.85971","15/03/2023 2:52",NA,NA,"45.4","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",15,18,0,0,0,0,0,33,4,0
"2023-03_SwC_stereo-BRUVs","17","-34.09634667","114.85758","15/03/2023 3:00",NA,NA,"43.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",24,5,1,0,1,0,0,31,3.33333333333333,0.912870929175277
"2023-03_SwC_stereo-BRUVs","34","-34.098625","114.8905567","18/03/2023 2:12",NA,NA,"43.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",17,5,3,0,0,0,0,25,2.45,0.759154654516248
"2023-03_SwC_stereo-BRUVs","40","-34.08805667","114.8886967","18/03/2023 2:18",NA,NA,"43.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",17,6,11,1,0,0,0,35,2.36,0.637704215656966
"2023-03_SwC_stereo-BRUVs","14","-34.07530333","114.8686033","18/03/2023 2:28",NA,NA,"42.7","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",26,2,5,1,1,0,0,35,2.44,0.711805216802087
"2023-03_SwC_stereo-BRUVs","21","-34.06438333","114.857485","18/03/2023 2:34",NA,NA,"42.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",9,3,7,0,0,0,0,19,1.73333333333333,0.79880863671798
"2023-03_SwC_stereo-BRUVs","10","-34.083875","114.853305","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",8,14,3,2,0,0,0,27,3.21739130434783,0.795242772487544
"2023-03_SwC_stereo-BRUVs","15","-34.084775","114.8444033","18/03/2023 2:50",NA,NA,"45.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes",20,2,8,0,1,0,0,31,2.51851851851852,0.802417998224519
"2023-03_SwC_stereo-BRUVs","8","-34.090365","114.838835","18/03/2023 2:56",NA,NA,"47.2","Levi Peters","Gidget Mirrabelle","Yes","Yes","Yes","Yes",17,12,0,0,0,0,0,29,3.25,0.444261658319319
