caab,kingdom,phylum,class,order,family,genus,species,scientific_name,parent_id
37437053,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,leucocheilus,Acanthurus leucocheilus,37437901
37437055,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,truncatus,Ctenochaetus truncatus,37437902
37437056,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,desjardinii,Zebrasoma desjardinii,37437907
37437054,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,leucosternon,Acanthurus leucosternon,37437901
37039003,Animalia,Chordata,Elasmobranchii,Rajiformes,Aetobatidae,Aetobatus,ocellatus,Aetobatus ocellatus,37039902
37327184,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Sphaeramia,orbicularis,Sphaeramia orbicularis,37327922
37327931,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Ostorhinchus,spp,Ostorhinchus spp,37327926
37465900,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Unknown,spp,Unknown spp,
37465091,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Melichthys,indicus,Melichthys indicus,37465920
37346074,Animalia,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio,xanthonotus,Caesio xanthonotus,37346920
37346075,Animalia,Chordata,Actinopterygii,Perciformes,Caesionidae,Pterocaesio,lativittata,Pterocaesio lativittata,37346926
37365900,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Unknown,spp,Unknown spp,
37386907,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Scarus,spp,Scarus spp,37386000
37386044,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Hipposcarus,harid,Hipposcarus harid,37386905
37386905,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Hipposcarus,spp,Hipposcarus spp,37386000
37361028,Animalia,Chordata,Actinopterygii,Perciformes,Microcanthidae,Microcanthus,strigatus,Microcanthus strigatus,37361904
37041006,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,tarapacana,Mobula tarapacana,37041902
37465903,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Unknown,spp,Unknown spp,
37224903,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Unknown,spp,Unknown spp,
37039905,Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Unknown,spp,Unknown spp,
37004002,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,cirrhatus,Eptatretus cirrhatus,37004901
37004001,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,longipinnis,Eptatretus longipinnis,37004901
37013900,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Orectolobidae,Unknown,spp,Unknown spp,
37357018,Animalia,Chordata,Actinopterygii,Perciformes,Pempherididae,Pempheris,adusta,Pempheris adusta,37357903
37365901,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Unknown,spp,Unknown spp,
37311205,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,nigripinnis,Cephalopholis nigripinnis,37311904
37311208,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus,faveatus,Epinephelus faveatus,37311911
37438018,Animalia,Chordata,Actinopterygii,Perciformes,Siganidae,Siganus,stellatus,Siganus stellatus,37438902
37288000,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Unknown,spp,Unknown spp,
37026002,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinidae,Rhina,ancylostomus,Rhina ancylostomus,37026901
37365096,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Centropyge,joculator,Centropyge joculator,37365904
37311202,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Mirolabrichthys,evansi,Mirolabrichthys evansi,37311971
37311203,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Pyronotanthias,flavoguttatus,Pyronotanthias flavoguttatus,37311972
37039902,Animalia,Chordata,Elasmobranchii,Rajiformes,Aetobatidae,Aetobatus,spp,Aetobatus spp,37039906
