fishbase_scientific,fl_is_tl
Ambassis agrammus,N
Ambassis macleayi,N
Antimora rostrata,N
Apristurus australis,N
Apristurus melanoasper,N
Argyrosomus japonicus,Y
Atelomycterus fasciatus,N
Bolinichthys photothorax,N
Carcharhinus amboinensis,N
Cephaloscyllium hiscosellum,N
Cetoscarus ocellatus,N
Chimaera lignaria,N
Choeroichthys suillus,N
Cirripectes gilberti,Y
Cirripectes hutchinsi,Y
Dalatias licha,N
Dinematichthys iluocoeteoides,Y
Electrona risso,N
Etmopterus bigelowi,N
Eustomias macronema,N
Eustomias satterleei,N
Eviota sigillata,N
Galaxiella munda,Y
Galaxiella nigrostriata,Y
Galaxiella pusilla,Y
Genypterus blacodes,Y
Glaucostegus typus,N
Gollum attenuatus,N
Halichoeres claudia,Y
Harriotta raleighana,N
Hemigaleus australiensis,N
Hippocampus whitei,N
Hypseleotris galii,Y
Idiacanthus fasciola,N
Lampanyctus intricarius,N
Larimichthys polyactis,Y
Lepidogalaxias salamandroides,Y
Lepidonotothen squamifrons,Y
Leptoichthys fistularius,Y
Lobianchia gemellarii,N
Maccullochella peelii,Y
Macruronus novaezelandiae,Y
Melanotaenia splendida,N
Mene maculata,N
Merlangius merlangus,Y
Merluccius australis,Y
Merluccius hubbsi,Y
Merluccius paradoxus,N
Mitsukurina owstoni,N
Molva molva,Y
Mustelus antarcticus,N
Mustelus lenticulatus,N
Mustelus stevensi,N
Myripristis murdjan,N
Nannatherina balstoni,Y
Nannoperca australis,Y
Nannoperca obscura,Y
Nannoperca oxleyana,Y
Nannoperca vittata,Y
Narcinops nelsoni,N
Nemipterus mesoprion,N
Neocyttus rhomboidalis,Y
Neoniphon sammara,N
Nettastoma melanura,Y
Notolychnus valdiviae,N
Notorynchus cepedianus,N
Notothenia coriiceps,Y
Nototheniops larseni,N
Orectolobus ornatus,N
Orectolobus parvimaculatus,N
Osteomugil cunnesius,N
Ostorhinchus rubrimacula,N
Otolithes ruber,Y
Parapercis colias,Y
Parexocoetus brachypterus,N
Parupeneus macronemus,N
Pavoraja nitida,N
Phyllopteryx taeniolatus,N
Platycephalus bassensis,Y
Platycephalus conatus,Y
Platycephalus fuscus,Y
Platycephalus laevigatus,Y
Platycephalus speculator,Y
Platycephalus westraliae,Y
Pleuronectes platessa,Y
Poecilia latipinna,Y
Polyprion americanus,Y
Polyprion oxygeneios,Y
Pomacanthus imperator,Y
Pristis pristis,N
Promethichthys prometheus,N
Psettodes erumei,Y
Pseudocarcharias kamoharai,N
Pseudocyttus maculatus,Y
Pseudorhombus arsius,Y
Reinhardtius hippoglossoides,Y
Rhabdamia gracilis,N
Rhinochimaera pacifica,N
Scarus psittacus,N
Schindleria brevipinguis,N
Sebastes entomelas,N
Sicyopterus lagocephalus,Y
Sillago bassensis,N
Sillago burrus,N
Sillago lutea,N
Sillago sihama,N
Silurus glanis,Y
Simipercis trispinosa,Y
Solea solea,Y
Squalus chloroculus,N
Stethojulis trilineata,Y
Stigmatopora nigra,Y
Stolephorus nelsoni,N
Stolephorus waitei,N
Thalassoma hardwicke,N
Thryssa hamiltonii,N
Thryssa setirostris,N
Trematomus eulepidotus,Y
Trichiurus lepturus,Y
Trimmatom nanus,Y
Trygonoptera imitata,N
Trygonorrhina dumerilii,N
Upeneus guttatus,N
Upeneus tragula,N
Upeneus vittatus,N
Urolophus bucculentus,N
Urolophus cruciatus,N
Urolophus expansus,N
Urolophus paucimaculatus,N
Urolophus viridis,N
Xiphophorus maculatus,Y
Zeus faber,Y
