CAAB	ScientificName	Authority	CommonName
40001001	Aptenodytes forsteri	Gray, 1844	emperor penguin
40001002	Aptenodytes patagonicus	Miller, 1778	king penguin
40001003	Eudyptes chrysocome	(Forster, 1781)	rockhopper penguin
40001004	Eudyptes chrysolophus	(Brandt, 1837)	macaroni penguin
40001005	Eudyptes pachyrhynchus	Gray, 1845	fiordland penguin
40001006	Eudyptes robustus	Oliver, 1953	snares penguin
40001007	Eudyptes sclateri	Buller, 1888	erect-crested penguin
40001008	Eudyptula minor	(Forster, 1781)	little penguin
40001009	Pygoscelis adeliae	(Hombron & Jacquinot, 1841)	Adelie penguin
40001010	Pygoscelis antarctica	(Forster, 1781)	chinstrap penguin
40001011	Pygoscelis papua	(Forster, 1781)	gentoo penguin
40001012	Spheniscus magellanicus	(Forster, 1781)	magellanic penguin
40001901	Aptenodytes spp.	-	
40001902	Eudyptes spp.	-	
40001903	Eudyptula spp.	-	
40001904	Pygoscelis spp.	-	
40001905	Spheniscus spp.	-	
40001000	Spheniscidae	-	penguins
40040018	Diomedea amsterdamensis	Roux, Jouventin, Mougin, Stahl & Weimerskitch, 1983	Amsterdam albatross
40040011	Diomedea antipodensis	Robertson & Warham, 1992	antipodean albatross
40040019	Diomedea dabbenena	Mathews, 1929	Tristan albatross
40040005	Diomedea epomophora	Lesson, 1825	southern royal albatross
40040006	Diomedea exulans	Linnaeus, 1758	wandering albatross
40040010	Diomedea gibsoni	Robertson & Warham, 1992	Gibson's albatross
40040012	Diomedea sanfordi	Murphy, 1917	northern royal albatross
40040008	Phoebetria fusca	(Hilsenberg, 1822)	sooty albatross
40040009	Phoebetria palpebrata	(J.R. Forster, 1785)	light-mantled sooty albatross
40040001	Thalassarche bulleri	(Rothschild, 1893)	Buller's albatross
40040014	Thalassarche carteri	(Rothschild, 1903)	Indian yellow-nosed albatross
40040002	Thalassarche cauta	(Gould, 1841)	shy albatross
40040003	Thalassarche chlororhynchos	(Gmelin, 1786)	yellow-nosed albatross
40040004	Thalassarche chrysostoma	(Forster, 1785)	grey-headed albatross
40040017	Thalassarche eremita	(Murphy, 1930)	Chatham albatross
40040013	Thalassarche impavida	(Mathews, 1912)	Campbell albatross
40040007	Thalassarche melanophrys	(Temminck, 1828)	black-browed albatross
40040015	Thalassarche platei	(Reichenow, 1898)	Pacific albatross
40040016	Thalassarche salvini	(Rothschild, 1893)	Salvin's albatross
40040901	Diomedea spp.	-	
40040902	Phoebetria spp.	-	
40040903	Thalassarche spp.	-	
40040000	Diomedeidae	-	albatrosses
40041001	Bulweria bulwerii	(Jardine and Selby, 1828)	Bulwer's petrel
40041002	Calonectris leucomelas	(Temminck, 1835)	streaked shearwater
40041003	Daption capense	(Linnaeus, 1758)	Cape petrel
40041004	Fulmarus glacialoides	(Smith, 1840)	southern fulmar
40041005	Halobaena caerulea	(Gmelin, 1789)	blue petrel
40041006	Lugensa brevirostris	(Lesson, 1831)	Kerguelen petrel
40041007	Macronectes giganteus	(Gmelin, 1789)	southern giant-petrel
40041008	Macronectes halli	Mathews, 1912	northern giant-petrel
40041009	Pachyptila belcheri	(Mathews, 1912)	slender-billed prion
40041010	Pachyptila crassirostris	(Mathews, 1912)	fulmar prion
40041011	Pachyptila desolata	(Gmelin, 1789)	Antarctic prion
40041012	Pachyptila salvini	(Mathews, 1912)	Salvin's prion
40041013	Pachyptila turtur	(Kuhl, 1820)	fairy prion
40041014	Pachyptila vittata	(Forster, 1777)	broad-billed prion
40041015	Pagodroma nivea	(Forster, 1777)	snow petrel
40041016	Pelecanoides georgicus	Murphy & Harper, 1916	South Georgian diving-petrel
40041017	Pelecanoides urinatrix	(Gmelin, 1789)	common diving-petrel
40041018	Procellaria aequinoctialis	Linnaeus, 1758	white-chinned petrel
40041019	Procellaria cinerea	Gmelin, 1789	grey petrel
