id,imcra_names,imcra_codes
37465089,Timor Transition,1
37465089,Northwest Shelf Transition,26
37465089,Northwest Shelf Province,27
37465011,Northern Shelf Province,25
37465011,Northwest Shelf Transition,26
37465011,Northwest Shelf Province,27
37465011,Southeast Shelf Transition,37
37465011,Central Eastern Shelf Province,38
37465011,Central Eastern Shelf Transition,39
37465011,Northeast Shelf Province,40
37465011,Northeast Shelf Transition,41
37210016,Timor Province,2
37210016,Christmas Island Province,23
37210016,Northwest Transition,3
37210017,Lord Howe Province,14
37210017,Northeast Province,18
37210017,Timor Province,2
37210017,Cape Province,20
37210017,Cocos (Keeling) Island Province,22
37210017,Christmas Island Province,23
37210017,Northern Shelf Province,25
37210017,Northwest Shelf Transition,26
37210017,Northwest Shelf Province,27
37210017,Northwest Transition,3
37210017,Central Eastern Shelf Province,38
37210017,Central Eastern Shelf Transition,39
37210017,Northeast Shelf Province,40
37210017,Northeast Shelf Transition,41
37210019,Timor Province,2
37210019,Cocos (Keeling) Island Province,22
37210019,Northwest Transition,3
37210011,Timor Transition,1
37210011,Lord Howe Province,14
37210011,Central Eastern Transition,15
37210011,Christmas Island Province,23
37210011,Northern Shelf Province,25
37210011,Northwest Shelf Transition,26
37210011,Northwest Shelf Province,27
37210011,Central Western Shelf Transition,28
37210011,Central Western Shelf Province,29
37210011,Southwest Shelf Transition,30
37210011,Southeast Shelf Transition,37
37210011,Central Eastern Shelf Province,38
37210011,Central Eastern Shelf Transition,39
37210011,Northeast Shelf Province,40
37210011,Northeast Shelf Transition,41
37210021,Central Eastern Province,12
37210021,Lord Howe Province,14
37210021,Timor Province,2
37210021,Northwest Shelf Transition,26
37210021,Northwest Shelf Province,27
37210021,Central Eastern Shelf Province,38
37287031,Lord Howe Province,14
37287031,Timor Province,2
37287031,Christmas Island Province,23
37287031,Central Western Shelf Transition,28
37287031,Central Eastern Shelf Province,38
37287031,Central Eastern Shelf Transition,39
37235001,Northeast Province,18
37235001,Timor Province,2
37235001,Norfolk Island Province,21
37235001,Northern Shelf Province,25
37235001,Northwest Shelf Transition,26
37235001,Northwest Shelf Province,27
37235001,Central Western Shelf Transition,28
37235001,Central Western Shelf Province,29
37235001,Southwest Shelf Transition,30
37235001,Southeast Shelf Transition,37
37235001,Central Eastern Shelf Province,38
37235001,Central Eastern Shelf Transition,39
37235001,Northeast Shelf Province,40
37235001,Northeast Shelf Transition,41
37372003,Lord Howe Province,14
37372003,Timor Province,2
37372003,Northern Shelf Province,25
37372003,Northwest Shelf Transition,26
37372003,Northwest Shelf Province,27
37372003,Central Western Shelf Transition,28
37372003,Central Western Shelf Province,29
37372003,Southwest Shelf Transition,30
37372003,Central Eastern Shelf Province,38
37372003,Central Eastern Shelf Transition,39
37372003,Northeast Shelf Province,40
37372003,Northeast Shelf Transition,41
37372145,Cocos (Keeling) Island Province,22
37372145,Christmas Island Province,23
37372010,Northeast Province,18
37372010,Timor Province,2
37372010,Cape Province,20
37372010,Cocos (Keeling) Island Province,22
37372010,Christmas Island Province,23
37372010,Central Western Shelf Transition,28
37372010,Northeast Shelf Province,40
37372010,Northeast Shelf Transition,41
37372011,Lord Howe Province,14
37372011,Timor Province,2
37372011,Norfolk Island Province,21
37372011,Christmas Island Province,23
37372011,Northern Shelf Province,25
37372011,Northwest Shelf Transition,26
37372011,Northwest Shelf Province,27
37372011,Central Western Shelf Transition,28
37372011,Central Western Shelf Province,29
37372011,Southwest Shelf Transition,30
37372011,Southeast Shelf Transition,37
37372011,Central Eastern Shelf Province,38
37372011,Central Eastern Shelf Transition,39
37372011,Northeast Shelf Province,40
37372011,Northeast Shelf Transition,41
37372012,Lord Howe Province,14
37372012,Northeast Province,18
37372012,Timor Province,2
37372012,Norfolk Island Province,21
37372012,Cocos (Keeling) Island Province,22
37372012,Christmas Island Province,23
37372012,Northern Shelf Province,25
37372012,Northwest Shelf Transition,26
37372012,Northwest Shelf Province,27
37372012,Central Western Shelf Transition,28
37372012,Central Western Shelf Province,29
37372012,Southwest Shelf Transition,30
37372012,Southeast Shelf Transition,37
37372012,Central Eastern Shelf Province,38
37372012,Central Eastern Shelf Transition,39
37372012,Northeast Shelf Province,40
37372013,Lord Howe Province,14
37372013,Northeast Province,18
37372013,Timor Province,2
37372013,Norfolk Island Province,21
37372013,Cocos (Keeling) Island Province,22
37372013,Christmas Island Province,23
37372013,Northern Shelf Province,25
37372013,Northwest Shelf Transition,26
37372013,Northwest Shelf Province,27
37372013,Central Western Shelf Transition,28
37372013,Central Western Shelf Province,29
37372013,Northwest Transition,3
37372013,Southwest Shelf Transition,30
37372013,Southeast Shelf Transition,37
37372013,Central Eastern Shelf Province,38
37372013,Central Eastern Shelf Transition,39
37372013,Northeast Shelf Province,40
37372013,Northeast Shelf Transition,41
37372014,Lord Howe Province,14
37372014,Central Eastern Shelf Province,38
37372014,Central Eastern Shelf Transition,39
37372014,Northeast Shelf Province,40
37372014,Northeast Shelf Transition,41
37465001,Central Western Shelf Province,29
37465001,Southwest Shelf Transition,30
37465001,Southwest Shelf Province,31
37465001,Great Australian Bight Shelf Transition,32
37465001,Spencer Gulf Shelf Province,33
37465043,Southwest Shelf Transition,30
37465043,Southwest Shelf Province,31
37465043,Great Australian Bight Shelf Transition,32
37465043,Spencer Gulf Shelf Province,33
37465043,Western Bass Strait Shelf Transition,34
37465043,Bass Strait Shelf Province,35
37465043,Tasmanian Shelf Province,36
37465043,Southeast Shelf Transition,37
37465043,Central Eastern Shelf Province,38
37465002,Southwest Shelf Transition,30
37465002,Southwest Shelf Province,31
37465002,Great Australian Bight Shelf Transition,32
37465002,Spencer Gulf Shelf Province,33
37465002,Western Bass Strait Shelf Transition,34
37465002,Bass Strait Shelf Province,35
37465002,Tasmanian Shelf Province,36
37465002,Southeast Shelf Transition,37
37465002,Central Eastern Shelf Province,38
37465002,Central Eastern Shelf Transition,39
37393010,Northeast Province,18
37393010,Timor Province,2
37393010,Northwest Shelf Province,27
37393010,Northwest Transition,3
37393010,Central Eastern Shelf Province,38
37393010,Central Eastern Shelf Transition,39
37393010,Northeast Shelf Province,40
37393007,Northwest Shelf Province,27
37393007,Northwest Transition,3
37311131,Lord Howe Province,14
37311131,Norfolk Island Province,21
37311131,Central Eastern Shelf Province,38
37311131,Central Eastern Shelf Transition,39
37311090,Lord Howe Province,14
37311090,Bass Strait Shelf Province,35
37311090,Southeast Shelf Transition,37
37311090,Central Eastern Shelf Province,38
37311090,Central Eastern Shelf Transition,39
37311132,Central Western Shelf Transition,28
37311132,Central Western Shelf Province,29
37311132,Southwest Shelf Transition,30
37311132,Southwest Shelf Province,31
37311133,Central Eastern Shelf Province,38
37311035,Central Western Shelf Province,29
37311035,Southwest Shelf Transition,30
37311035,Southwest Shelf Province,31
37311035,Great Australian Bight Shelf Transition,32
37380002,Northern Shelf Province,25
37380002,Northwest Shelf Transition,26
37380002,Northwest Shelf Province,27
37380002,Central Western Shelf Transition,28
37380002,Central Western Shelf Province,29
37380002,Northeast Shelf Province,40
37380002,Northeast Shelf Transition,41
37380003,Northern Shelf Province,25
37380003,Central Eastern Shelf Transition,39
37380003,Northeast Shelf Province,40
37380003,Northeast Shelf Transition,41
37380004,Timor Transition,1
37380004,Central Eastern Shelf Transition,39
37380004,Northeast Shelf Province,40
37380004,Northeast Shelf Transition,41
37372015,Northeast Province,18
37372015,Northeast Transition,19
37372015,Timor Province,2
37372015,Cape Province,20
37372015,Northwest Shelf Transition,26
37372015,Northeast Shelf Province,40
37372015,Northeast Shelf Transition,41
37441024,Timor Transition,1
37441024,Central Eastern Province,12
37441024,Tasman Basin Province,13
37441024,Lord Howe Province,14
37441024,Central Eastern Transition,15
37441024,Kenn Transition,16
37441024,Kenn Province,17
37441024,Northeast Province,18
37441024,Northeast Transition,19
37441024,Timor Province,2
37441024,Cape Province,20
37441024,Norfolk Island Province,21
37441024,Cocos (Keeling) Island Province,22
37441024,Christmas Island Province,23
37441024,Northern Shelf Province,25
37441024,Northwest Shelf Transition,26
37441024,Northwest Shelf Province,27
37441024,Northwest Transition,3
37441024,Northwest Province,4
37428030,Bass Strait Shelf Province,35
37428030,Central Eastern Shelf Province,38
37228062,Northwest Province,4
37353004,Southeast Shelf Transition,37
37353004,Central Eastern Shelf Province,38
37353004,Central Eastern Shelf Transition,39
37353004,Northeast Shelf Province,40
37353003,Central Western Shelf Province,29
37353003,Southwest Shelf Transition,30
37353003,Southwest Shelf Province,31
37353003,Great Australian Bight Shelf Transition,32
37353003,Spencer Gulf Shelf Province,33
37353003,Western Bass Strait Shelf Transition,34
37353003,Bass Strait Shelf Province,35
37353003,Tasmanian Shelf Province,36
37353003,Southeast Shelf Transition,37
37353012,Northern Shelf Province,25
37353012,Northwest Shelf Transition,26
37353012,Northwest Shelf Province,27
37353012,Central Western Shelf Transition,28
37353012,Central Western Shelf Province,29
37353011,Northern Shelf Province,25
37353011,Northwest Shelf Transition,26
37353011,Northeast Shelf Province,40
37353011,Northeast Shelf Transition,41
37353014,Northern Shelf Province,25
37353014,Northwest Shelf Transition,26
37353014,Northwest Shelf Province,27
37353014,Central Western Shelf Transition,28
37353014,Central Western Shelf Province,29
37290017,Northern Shelf Province,25
37290017,Northwest Shelf Transition,26
37290017,Northwest Shelf Province,27
37290017,Central Western Shelf Transition,28
37290017,Central Western Shelf Province,29
