"","australian_source","caab","class","order","family","subfamily","genus","species","scientific_name","australian_common_name","global_region","marine_region","global_source","fb_code","fb_length_at_maturity_cm","fb_length_weight_measure","fb_a","fb_b","fb_a_ll","fb_b_ll","fb_length_weight_source","fb_vulnerability","fb_countries","fb_status","length_max_cm","length_max_type","length_max_source","fb_trophic_level","fb_trophic_level_se","fb_trophic_level_source","foa_min_depth","foa_max_depth","rls_trophic_group","rls_water_column","rls_substrate_type","rls_thermal_niche","local_source","epbc_threat_status","iucn_ranking","fishing_mortality","fishing_type","min_legal_nt","max_legal_nt","min_legal_wa","max_legal_wa","min_legal_qld","max_legal_qld","min_legal_nsw","max_legal_nsw","min_legal_vic","max_legal_vic","min_legal_sa","max_legal_sa","min_legal_tas","max_legal_tas"
"1","CAAB","37053001","Actinopterygii","Elopiformes","Elopidae",NA,"Elops","hawaiensis","Elops hawaiensis","Hawaiian Giant Herring","Australia","CS, TE, SW, NW, N, SE","FishBase","6415",NA,"TL",0.00472,3,0,1.16267502307892,"Species specific",87.84,"American Samoa, Australia, Brunei Darsm, Myanmar, Chinese Taipei, Fiji, French Polynesia, Hong Kong, Indonesia, Japan, Korea (South), Malaysia, New Caledonia, Papua New Guinea, Philippines, Singapore, Viet Nam, Thailand, Tonga, Hawaii, Samoa","native",120,"SL","Fishbase","4.0","0.62","based on food items","1","40",NA,NA,NA,NA,"Harvey et al 2020",NA,"Data Deficient","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CAAB","37053003","Actinopterygii","Elopiformes","Elopidae",NA,"Elops","machnata","Elops machnata","Australian Giant Herring","Australia","NW, SW","FishBase","5512",NA,"TL",0.004,3.044,0,1.16352999210358,"Species specific",39.94,"Australia, Bangladesh, Myanmar, Sri Lanka, China, Chinese Taipei, Tuamotu Is., Djibouti, Hong Kong, India, Indonesia, Japan, Kenya, Madagascar, Malaysia, Mauritius, Mozambique, Oman, New Caledonia, Pakistan, Papua New Guinea, Philippines, La Reunion Is., Seychelles, Viet Nam, Somalia, South Africa, Thailand, Tanzania, Hawaii, Yemen, Andaman Is., Socotra Arch.","native",118,"FL","Fishbase","4.0","0.3","based on diet studies","0","50",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CAAB","37054001","Actinopterygii","Elopiformes","Megalopidae",NA,"Megalops","cyprinoides","Megalops cyprinoides","Oxeye Herring","Australia","SW, NW, N, TE, CS","FishBase","227",NA,"FL",0.0136,3.005,0,1,"Species specific",90,"American Samoa, Australia, Bahrain, Bangladesh, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Fiji, French Polynesia, Djibouti, Guam, Hong Kong, India, Indonesia, Japan, Kenya, Korea (North), Korea (South), Kuwait, Madagascar, Malawi, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, North Marianas, Micronesia, Palau, Pakistan, Papua New Guinea, Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Zimbabwe, Sudan, Eswatini, Thailand, Tonga, United Arab Em., Egypt, Tanzania, Samoa, Yemen, Eritrea, Andaman Is., Rodriguez","native",152,"TL","Fishes of Australia","3.5","0.1","based on diet studies",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CAAB","37055001","Actinopterygii","Albuliformes","Albulidae","Albulinae","Albula","argentea","Albula argentea","Pacific Bonefish","Australia","N, CS, TE, NW","FishBase","58326",NA,NA,0.01318,3.04,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",54.16,"Australia, Sri Lanka, Fiji, Tahiti, Marquesas Is., French Polynesia, Indonesia, Japan, Korea (South), Madagascar, Oman, New Caledonia, Papua New Guinea, Seychelles, Somalia, Hawaii, NA","native",110,NA,"Fishes of Australia","3.7","0.3","based on size and trophs of closest relative","1","90",NA,NA,NA,NA,"Harvey et al 2020",NA,"Data Deficient","Y","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CAAB","37079001","Actinopterygii","Saccopharyngiformes","Eurypharyngidae",NA,"Eurypharynx","pelecanoides","Eurypharynx pelecanoides","Pelican Eel","Australia","NW, CS","FishBase","4526",NA,"TL",0.00058,3,NA,NA,"Species specific",60,"Australia, Canada, Cape Verde, Chile, Juan Fernández, Colombia, Costa Rica, Ecuador, El Salvador, Faeroe Is., France, Greenland, Guatemala, Iceland, Ireland, Japan, Mexico, Morocco, New Caledonia, New Zealand, Nicaragua, Panama, Papua New Guinea, Peru, Portugal, Madeira Is., Azores Is., Spain, Canary Is., USA, Hawaii","native",100,"TL","Fishbase","4.1","0.57","based on food items","500","3000",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CAAB","37085032","Actinopterygii","Clupeiformes","Pristigasteridae",NA,"Ilisha","elongata","Ilisha elongata","Elongate Ilisha","Australia","CS","FishBase","1627",NA,"TL",0.0056,3.09,0,1.13601994514465,"Species specific",33.59,"Australia, Myanmar, Sri Lanka, China, Chinese Taipei, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Korea (North), Korea (South), Kuwait, Malaysia, Pakistan, Russia, Singapore, Viet Nam, Thailand","native",60,NA,"Fishbase","3.8","0.61","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CAAB","37087001","Actinopterygii","Clupeiformes","Chirocentridae",NA,"Chirocentrus","dorab","Chirocentrus dorab","Dorab Wolf Herring","Australia","NW, N, CS","FishBase","6358",NA,"TL",0.007,2.801,0,1.11444997787476,"Species specific",73.2,"Australia, Bahrain, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Mayotte, Fiji, Djibouti, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Ryukyu Is., Jordan, Kenya, Korea (South), Kuwait, Macau, Madagascar, Malaysia, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, Palau, Pakistan, Papua New Guinea, Philippines, Timor-Leste, Qatar, Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tonga, United Arab Em., Egypt, Tanzania, Yemen, Eritrea, Andaman Is., Rodriguez, Socotra Arch.","native",100,"SL","Fishbase","4.4","0.89","based on food items","0","120",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CAAB","37087002","Actinopterygii","Clupeiformes","Chirocentridae",NA,"Chirocentrus","nudus","Chirocentrus nudus","Whitefin Wolf Herring","Australia","CS, N","FishBase","1452",NA,"TL",0.019,2.84,0,1.13249003887177,"Species specific",52.85,"Australia, Bahrain, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Comoros, Mayotte, Fiji, Djibouti, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Jordan, Kenya, Kuwait, Macau, Madagascar, Malaysia, Mozambique, Oman, Pakistan, Papua New Guinea, Philippines, Timor-Leste, Qatar, Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, United Arab Em., Egypt, Tanzania, Yemen, Eritrea, Andaman Is.","native",100,"SL","Fishbase","4.2","0.74","based on food items","0","50",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CAAB","37109028","Actinopterygii","Stomiiformes","Melanostomiidae","Melanostomiinae","Opostomias","micripnus","Opostomias micripnus","Obese Dragonfish","Australia","SW, TE","FishBase","16704",NA,NA,0.00309,3.12,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",40,"Australia, Chile, Juan Fernández, Namibia, New Zealand","native",50,NA,"Fishbase","4.7","0.9","based on size and trophs of closest relative",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CAAB","37112003","Actinopterygii","Stomiiformes","Stomiidae","Stomiinae","Stomias","longibarbatus","Stomias longibarbatus","Longbarb Scaly Dragonfish","Australia","CS","FishBase","11719",NA,NA,0.00186,3.19,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",40.98,"Argentina, Australia, Brazil, Cameroon, Cape Verde, Chile, Congo, Congo Dem Rp, Benin, Eq Guinea, Gabon, Gambia, Ghana, Gibraltar, Guinea, Ivory Coast, Japan, Liberia, Mauritania, Mexico, Morocco, Namibia, New Zealand, Nigeria, Portugal, Madeira Is., Guinea-Bissau, Sao Tome Princ., Senegal, Sierra Leone, South Africa, Spain, Canary Is., West Sahara, Togo, USA, Hawaii, Uruguay","native",43,"SL","Fishbase","4.2","0.7","based on size and trophs of closest relative","400","1463",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
