"caab_code","caab_scientific","fb_trophic_level"
37007002,"Heterodontus marshallae",NA
37035031,"Neotrygon trigonoides",NA
37039001,"Myliobatis tenuicaudatus",NA
37068058,"Muraenichthys velinasalis",NA
37085001,"Etrumeus jacksoniensis",NA
37085010,"Dussumieria elopsoides",NA
37086017,"Thryssa nasuta",NA
37109011,"Eustomias achirus",NA
37109017,"Eustomias multifilis",NA
37109020,"Eustomias vitiazi",NA
37109024,"Melanostomias paucilaternatus",NA
37122055,"Dasyscopelus brachygnathos",NA
37126015,"Stemonosudis multifasciata",NA
37132001,"Gyrinomimus parri",NA
37132002,"Rhamphocetichthys savagei",NA
37132004,"Danacetichthys galathenus",NA
37137001,"Parataeniophorus brevis",NA
37210013,"Histiophryne narungga",NA
37210031,"Kuiterichthys pietschi",NA
37212011,"Halieutopsis echinoderma",NA
37212017,"Halicmetus marmoratus",NA
37212048,"Halicmetus westraliensis",NA
37212049,"Halicmetus drypus",NA
37212056,"Halieutopsis taiwanea",NA
37224006,"Pseudophycis palmata",NA
37228062,"Xyelacyba myersi",NA
37228132,"Bassozetus squamosus",NA
37251004,"Poromitra atlantica",NA
37268001,"Lampris australensis",NA
37282121,"Hippocampus montebelloensis",NA
37282144,"Urocampus coelorhynchus",NA
37282145,"Urocampus guentheri",NA
37282146,"Urocampus paucianulus",NA
37287067,"Parascorpaena grandisquamis",NA
37287116,"Phenacoscorpius longicaudalis",NA
37287148,"Scorpaena vesperalis",NA
37288035,"Lepidotrigla larsonae",NA
37296012,"Insidiator macracanthus",NA
37296025,"Onigocia macrocephala",NA
37296033,"Platycephalus australis",NA
37296042,"Cymbacephalus parilis",NA
37311059,"Epinephelus insularis",NA
37311060,"Hyporthodus griseofasciatus",NA
37311101,"Hypoplectrodes cardinalis",NA
37311110,"Plectranthias mcgroutheri",NA
37311128,"Pseudanthias ventralis",NA
37311191,"Parascombrops analis",NA
37311230,"Tosanoides bennetti",NA
37311233,"Plectranthias cruentus",NA
37311236,"Plectranthias ferrugineus",NA
37311237,"Plectranthias grahami",NA
37311238,"Plectranthias azumanus",NA
37311239,"Plectranthias moretonensis",NA
37311244,"Plectranthias melanesius",NA
37327027,"Jaydia carinata",NA
37327192,"Apogon fugax",NA
37337005,"Platycaranx malabaricus",NA
37337011,"Platycaranx chrysophrys",NA
37337021,"Turrum caeruleopinnatum",NA
37337022,"Turrum gymnostethus",NA
37337031,"Carangichthys humerosus",NA
37337037,"Turrum fulvoguttatum",NA
37337038,"Scyris indica",NA
37337041,"Atropus aurochs",NA
37337042,"Atropus hedlandensis",NA
37337043,"Platycaranx talamparoides",NA
37337048,"Atropus mentalis",NA
37337068,"Ferdauia ferdau",NA
37337070,"Craterognathus plagiotaenia",NA
37337079,"Flavocaranx bajad",NA
37341004,"Aurigequula longispinis",NA
37347018,"Scolopsis japonica",NA
37357019,"Leptobrama pectoralis",NA
37361005,"Microcanthus joyceae",NA
37365063,"Chaetodontoplus ballinae",NA
37372076,"Dischistodus darwiniensis",NA
37372131,"Stegastes apicalis",NA
37372133,"Stegastes gascoynei",NA
37376004,"Aplodactylus westralis",NA
37381022,"Moolgarda engeli",NA
37384014,"Choerodon typus",NA
37384033,"Pteragogus turdus",NA
37384087,"Cirrhilabrus apterygia",NA
37384195,"Suezichthys devisi",NA
37386007,"Cetoscarus ocellatus",NA
37386020,"Chlorurus microrhinos",NA
37386037,"Chlorurus rhakoura",NA
37386046,"Scarus fuscocaudalis",NA
37390029,"Parapercis algrahami",NA
37390031,"Parapercis pogonoskii",NA
37400023,"Uranoscopus terraereginae",NA
37408018,"Crossosalarias macrospilus",NA
37408056,"Mimoblennius atrocinctus",NA
37408101,"Andamia reyi",NA
37408104,"Cirrisalarias bunares",NA
37416034,"Heteroclinus argyrospilos",NA
37427003,"Bathycallionymus bifilum",NA
37427006,"Pseudocalliurichthys goodladi",NA
37427007,"Calliurichthys grossi",NA
37427008,"Calliurichthys afilum",NA
37427010,"Repomucenus sublaevis",NA
37427011,"Repomucenus belcheri",NA
37427013,"Calliurichthys australis",NA
37427019,"Repomucenus meridionalis",NA
37427024,"Repomucenus sphinx",NA
37427028,"Foetorepus apricus",NA
37427033,"Pterosynchiropus occidentalis",NA
