"species","trophic_level","se","metric"
"Eptatretus longipinnis","4.2","0.41","based on food items"
"Eptatretus cirrhatus","2.0","0.00","based on food items"
"Eptatretus strahani","4.2","0.7","based on size and trophs of closest relative"
"Eptatretus alastairi","4.2","0.7","based on size and trophs of closest relative"
"Eptatretus gomoni","4.3","0.7","based on size and trophs of closest relative"
"Heptranchias perlo","4.2","0.4","based on diet studies"
"Notorynchus cepedianus","4.7","0.2","based on diet studies"
"Hexanchus nakamurai","4.2","0.7","based on diet studies"
"Hexanchus griseus","4.5","0.2","based on diet studies"
"Chlamydoselachus anguineus","4.2","0.4","based on diet studies"
"Heterodontus portusjacksoni","3.5","0.48","based on food items"
"Heterodontus galeatus","3.7","0.53","based on food items"
"Carcharias taurus","4.5","0.4","based on diet studies"
"Odontaspis ferox","4.2","0.56","based on food items"
"Megachasma pelagios","3.4","0.2","based on diet studies"
"Mitsukurina owstoni","4.1","0.62","based on food items"
"Pseudocarcharias kamoharai","4.5","0.58","based on food items"
"Isurus oxyrinchus","4.5","0.0","based on diet studies"
"Isurus paucus","4.5","0.0","based on diet studies"
"Carcharodon carcharias","4.5","0.4","based on diet studies"
"Lamna nasus","4.6","0.0","based on diet studies"
"Cetorhinus maximus","3.2","0.3","based on diet studies"
"Alopias vulpinus","4.5","0.0","based on diet studies"
"Alopias superciliosus","4.5","0.0","based on diet studies"
"Alopias pelagicus","4.5","0.66","based on food items"
"Orectolobus ornatus","4.0","0.60","based on food items"
"Parascyllium collare","3.8","0.6","based on size and trophs of closest relative"
"Orectolobus maculatus","4.2","0.64","based on food items"
"Parascyllium variolatum","3.8","0.6","based on size and trophs of closest relative"
"Parascyllium ferrugineum","3.7","0.6","based on size and trophs of closest relative"
"Stegostoma tigrinum","3.1","0.4","based on diet studies"
"Brachaelurus waddi","3.9","0.62","based on food items"
"Chiloscyllium punctatum","4.1","0.64","based on food items"
"Nebrius ferrugineus","4.1","0.4","based on diet studies"
"Eucrossorhinus dasypogon","4.0","0.60","based on food items"
"Sutorectus tentaculatus","3.8","0.6","based on size and trophs of closest relative"
"Brachaelurus colcloughi","3.5","0.37","based on food items"
"Hemiscyllium ocellatum","3.4","0.2","based on diet studies"
"Hemiscyllium trispeculare","3.5","0.37","based on food items"
"Orectolobus hutchinsi","4.0","0.6","based on size and trophs of closest relative"
"Orectolobus wardi","4.0","0.61","based on food items"
"Parascyllium sparsimaculatum","3.7","0.6","based on size and trophs of closest relative"
"Parascyllium elongatum","3.6","0.5","based on size and trophs of closest relative"
"Orectolobus halei","4.1","0.6","based on size and trophs of closest relative"
"Orectolobus floridus","3.8","0.6","based on size and trophs of closest relative"
"Orectolobus parvimaculatus","3.9","0.6","based on size and trophs of closest relative"
"Orectolobus reticulatus","3.7","0.6","based on size and trophs of closest relative"
"Hemiscyllium hallstromi","3.5","0.3","based on size and trophs of closest relative"
"Rhincodon typus","3.6","0.5","based on diet studies"
"Cephaloscyllium laticeps","4.3","0.5","based on size and trophs of closest relative"
"Asymbolus vincenti","4.5","0.80","based on food items"
"Halaelurus sellus","4.3","0.5","based on size and trophs of closest relative"
"Atelomycterus fasciatus","3.7","0.3","based on size and trophs of closest relative"
"Cephaloscyllium hiscosellum","4.0","0.5","based on size and trophs of closest relative"
"Galeus gracilis","3.9","0.2","based on size and trophs of closest relative"
"Figaro boardmani","4.2","0.56","based on food items"
"Asymbolus submaculatus","4.0","0.6","based on size and trophs of closest relative"
"Cephaloscyllium albipinnum","4.2","0.5","based on size and trophs of closest relative"
"Apristurus sinensis","3.8","0.4","based on size and trophs of closest relative"
"Apristurus platyrhynchus","4.0","0.4","based on size and trophs of closest relative"
"Apristurus melanoasper","4.0","0.4","based on size and trophs of closest relative"
"Apristurus ampliceps","4.0","0.4","based on size and trophs of closest relative"
"Apristurus pinguis","4.0","0.4","based on size and trophs of closest relative"
"Apristurus bucephalus","3.9","0.4","based on size and trophs of closest relative"
"Apristurus australis","3.9","0.4","based on size and trophs of closest relative"
"Apristurus longicephalus","3.9","0.4","based on size and trophs of closest relative"
"Asymbolus parvus","3.9","0.6","based on size and trophs of closest relative"
"Asymbolus rubiginosus","4.0","0.6","based on size and trophs of closest relative"
"Asymbolus pallidus","4.0","0.6","based on size and trophs of closest relative"
"Asymbolus occiduus","4.1","0.6","based on size and trophs of closest relative"
"Asymbolus analis","4.3","0.6","based on size and trophs of closest relative"
"Atelomycterus macleayi","3.7","0.3","based on size and trophs of closest relative"
"Aulohalaelurus labiosus","3.8","0.3","based on size and trophs of closest relative"
"Cephaloscyllium variegatum","4.1","0.5","based on size and trophs of closest relative"
"Cephaloscyllium zebrum","4.0","0.5","based on size and trophs of closest relative"
"Cephaloscyllium speccum","4.1","0.5","based on size and trophs of closest relative"
"Figaro striatus","4.0","0.6","based on size and trophs of closest relative"
"Bythaelurus incanus","4.3","0.5","based on size and trophs of closest relative"
"Atelomycterus marnkalha","3.7","0.3","based on size and trophs of closest relative"
"Cephaloscyllium cooki","3.8","0.5","based on size and trophs of closest relative"
"Cephaloscyllium signourum","4.1","0.5","based on size and trophs of closest relative"
"Apristurus albisoma","3.9","0.4","based on size and trophs of closest relative"
"Pseudotriakis microdon","4.3","0.5","based on diet studies"
"Gollum attenuatus","4.2","0.4","based on diet studies"
"Mustelus antarcticus","4.5","0.59","based on food items"
"Furgaleus macki","3.8","0.41","based on food items"
"Mustelus ravidus","3.6","0.4","based on size and trophs of closest relative"
"Hypogaleus hyugaensis","4.2","0.7","based on diet studies"
"Iago garricki","4.5","0.37","based on food items"
"Galeorhinus galeus","4.3","0.1","based on diet studies"
