FAMILY	GENUS	SPECIES	CAAB CODE
Myxinidae	Eptatretus	longipinnis	37004001
Myxinidae	Eptatretus	cirrhatus	37004002
Myxinidae	Eptatretus	strahani	37004004
Myxinidae	Eptatretus	alastairi	37004005
Myxinidae	Eptatretus	gomoni	37004006
Hexanchidae	Heptranchias	perlo	37005001
Hexanchidae	Notorynchus	cepedianus	37005002
Hexanchidae	Hexanchus	nakamurai	37005004
Hexanchidae	Hexanchus	griseus	37005005
Chlamydoselachidae	Chlamydoselachus	anguineus	37006001
Heterodontidae	Heterodontus	portusjacksoni	37007001
Heterodontidae	Heterodontus	marshallae	37007002
Heterodontidae	Heterodontus	galeatus	37007003
Carchariidae	Carcharias	taurus	37008001
Odontaspididae	Odontaspis	ferox	37008003
Megachasmidae	Megachasma	pelagios	37009001
Mitsukurinidae	Mitsukurina	owstoni	37009002
Pseudocarchariidae	Pseudocarcharias	kamoharai	37009003
Lamnidae	Isurus	oxyrinchus	37010001
Lamnidae	Isurus	paucus	37010002
Lamnidae	Carcharodon	carcharias	37010003
Lamnidae	Lamna	nasus	37010004
Cetorhinidae	Cetorhinus	maximus	37011001
Alopiidae	Alopias	vulpinus	37012001
Alopiidae	Alopias	superciliosus	37012002
Alopiidae	Alopias	pelagicus	37012003
Orectolobidae	Orectolobus	ornatus	37013001
Parascylliidae	Parascyllium	collare	37013002
Orectolobidae	Orectolobus	maculatus	37013003
Parascylliidae	Parascyllium	variolatum	37013004
Parascylliidae	Parascyllium	ferrugineum	37013005
Stegostomatidae	Stegostoma	tigrinum	37013006
Brachaeluridae	Brachaelurus	waddi	37013007
Hemiscylliidae	Chiloscyllium	punctatum	37013008
Ginglymostomatidae	Nebrius	ferrugineus	37013010
Orectolobidae	Eucrossorhinus	dasypogon	37013011
Orectolobidae	Sutorectus	tentaculatus	37013012
Brachaeluridae	Brachaelurus	colcloughi	37013013
Hemiscylliidae	Hemiscyllium	ocellatum	37013014
Hemiscylliidae	Hemiscyllium	trispeculare	37013015
Orectolobidae	Orectolobus	hutchinsi	37013016
Orectolobidae	Orectolobus	wardi	37013017
Parascylliidae	Parascyllium	sparsimaculatum	37013018
Parascylliidae	Parascyllium	elongatum	37013019
Orectolobidae	Orectolobus	halei	37013020
Orectolobidae	Orectolobus	floridus	37013021
Orectolobidae	Orectolobus	parvimaculatus	37013022
Orectolobidae	Orectolobus	reticulatus	37013023
Hemiscylliidae	Hemiscyllium	hallstromi	37013024
Rhincodontidae	Rhincodon	typus	37014001
Scyliorhinidae	Cephaloscyllium	laticeps	37015001
Pentanchidae	Asymbolus	vincenti	37015003
Pentanchidae	Halaelurus	sellus	37015004
Scyliorhinidae	Atelomycterus	fasciatus	37015005
Scyliorhinidae	Cephaloscyllium	hiscosellum	37015007
Pentanchidae	Galeus	gracilis	37015008
Pentanchidae	Figaro	boardmani	37015009
Pentanchidae	Asymbolus	submaculatus	37015010
Scyliorhinidae	Cephaloscyllium	albipinnum	37015013
Pentanchidae	Apristurus	sinensis	37015014
Pentanchidae	Apristurus	platyrhynchus	37015015
Pentanchidae	Apristurus	melanoasper	37015016
Pentanchidae	Apristurus	ampliceps	37015017
Pentanchidae	Apristurus	pinguis	37015018
Pentanchidae	Apristurus	bucephalus	37015019
Pentanchidae	Apristurus	australis	37015020
Pentanchidae	Apristurus	longicephalus	37015021
Pentanchidae	Asymbolus	parvus	37015022
Pentanchidae	Asymbolus	rubiginosus	37015024
Pentanchidae	Asymbolus	pallidus	37015025
Pentanchidae	Asymbolus	occiduus	37015026
Pentanchidae	Asymbolus	analis	37015027
Scyliorhinidae	Atelomycterus	macleayi	37015028
Scyliorhinidae	Aulohalaelurus	labiosus	37015029
Scyliorhinidae	Cephaloscyllium	variegatum	37015031
Scyliorhinidae	Cephaloscyllium	zebrum	37015032
Scyliorhinidae	Cephaloscyllium	speccum	37015033
Pentanchidae	Figaro	striatus	37015034
Scyliorhinidae	Bythaelurus	incanus	37015035
Scyliorhinidae	Atelomycterus	marnkalha	37015037
Scyliorhinidae	Cephaloscyllium	cooki	37015038
Scyliorhinidae	Cephaloscyllium	signourum	37015039
Scyliorhinidae	Apristurus	albisoma	37015040
Pseudotriakidae	Pseudotriakis	microdon	37016001
Pseudotriakidae	Gollum	attenuatus	37016002
Triakidae	Mustelus	antarcticus	37017001
Triakidae	Furgaleus	macki	37017003
Triakidae	Mustelus	ravidus	37017005
Triakidae	Hypogaleus	hyugaensis	37017006
Triakidae	Iago	garricki	37017007
Triakidae	Galeorhinus	galeus	37017008
Triakidae	Hemitriakis	falcata	37017009
Triakidae	Hemitriakis	abdita	37017010
Triakidae	Mustelus	stevensi	37017012
Carcharhinidae	Carcharhinus	brachyurus	37018001
Carcharhinidae	Carcharhinus	obscurus	37018003
Carcharhinidae	Prionace	glauca	37018004
Carcharhinidae	Loxodon	macrorhinus	37018005
Carcharhinidae	Rhizoprionodon	acutus	37018006
Carcharhinidae	Carcharhinus	plumbeus	37018007
Carcharhinidae	Carcharhinus	falciformis	37018008
Carcharhinidae	Carcharhinus	coatesi	37018009
Hemigaleidae	Hemipristis	elongata	37018011
Carcharhinidae	Carcharhinus	altimus	37018012
Carcharhinidae	Carcharhinus	sorrah	37018013
Carcharhinidae	Carcharhinus	tilstoni	37018014
Hemigaleidae	Hemigaleus	australiensis	37018020
Carcharhinidae	Carcharhinus	leucas	37018021
Carcharhinidae	Galeocerdo	cuvier	37018022
Carcharhinidae	Carcharhinus	brevipinna	37018023
Carcharhinidae	Rhizoprionodon	taylori	37018024
Carcharhinidae	Carcharhinus	macloti	37018025
Carcharhinidae	Carcharhinus	amboinensis	37018026
Carcharhinidae	Carcharhinus	albimarginatus	37018027
Carcharhinidae	Negaprion	acutidens	37018029
Carcharhinidae	Carcharhinus	amblyrhynchos	37018030
Carcharhinidae	Carcharhinus	longimanus	37018032
Carcharhinidae	Carcharhinus	amblyrhynchoides	37018033
Carcharhinidae	Carcharhinus	cautus	37018034
Carcharhinidae	Carcharhinus	fitzroyensis	37018035
Carcharhinidae	Carcharhinus	melanopterus	37018036
Carcharhinidae	Rhizoprionodon	oligolinx	37018037
Carcharhinidae	Triaenodon	obesus	37018038
Carcharhinidae	Carcharhinus	limbatus	37018039
Carcharhinidae	Glyphis	glyphis	37018041
Carcharhinidae	Glyphis	garricki	37018042
Sphyrnidae	Sphyrna	lewini	37019001
Sphyrnidae	Sphyrna	mokarran	37019002
Sphyrnidae	Eusphyra	blochii	37019003
Sphyrnidae	Sphyrna	zygaena	37019004
Centrophoridae	Centrophorus	moluccensis	37020001
Dalatiidae	Dalatias	licha	37020002
Centrophoridae	Deania	calceus	37020003
Centrophoridae	Deania	quadrispinosa	37020004
Etmopteridae	Etmopterus	lucifer	37020005
Squalidae	Squalus	megalops	37020006
Squalidae	Squalus	acanthias	37020008
Centrophoridae	Centrophorus	squamosus	37020009
Centrophoridae	Centrophorus	harrissoni	37020010
Centrophoridae	Centrophorus	uyato	37020011
Somniosidae	Centroselachus	crepidater	37020012
Somniosidae	Scymnodon	macracanthus	37020013
Dalatiidae	Isistius	brasiliensis	37020014
Etmopteridae	Etmopterus	pusillus	37020015
Dalatiidae	Squaliolus	aliae	37020017
Somniosidae	Centroscymnus	owstonii	37020019
Etmopteridae	Etmopterus	granulosus	37020021
Etmopteridae	Etmopterus	unicolor	37020022
Etmopteridae	Centroscyllium	kamoharai	37020024
Somniosidae	Centroscymnus	coelolepis	37020025
Etmopteridae	Etmopterus	bigelowi	37020027
Etmopteridae	Etmopterus	fusus	37020028
Etmopteridae	Etmopterus	dianthus	37020029
Etmopteridae	Etmopterus	evansi	37020030
Etmopteridae	Etmopterus	dislineatus	37020031
Etmopteridae	Etmopterus	brachyurus	37020032
Etmopteridae	Etmopterus	molleri	37020033
Dalatiidae	Euprotomicrus	bispinatus	37020034
Somniosidae	Scymnodalatias	albicauda	37020035
Somniosidae	Somniosus	antarcticus	37020036
Squalidae	Squalus	notocaudatus	37020037
Squalidae	Squalus	albifrons	37020038
Squalidae	Squalus	crassispinus	37020039
Squalidae	Squalus	nasutus	37020040
Squalidae	Squalus	grahami	37020041
Somniosidae	Zameus	squamulosus	37020042
Dalatiidae	Isistius	plutodus	37020043
Squalidae	Squalus	edmundsi	37020046
Squalidae	Squalus	montalbani	37020047
Squalidae	Squalus	chloroculus	37020048
Squalidae	Cirrhigaleus	australis	37020049
Centrophoridae	Centrophorus	westraliensis	37020050
Somniosidae	Scymnodalatias	sherwoodi	37020052
Squalidae	Squalus	raoulensis	37020058
Etmopteridae	Etmopterus	litvinovi	37020059
Oxynotidae	Oxynotus	bruniensis	37021001
Echinorhinidae	Echinorhinus	brucus	37022001
Echinorhinidae	Echinorhinus	cookei	37022002
Pristiophoridae	Pristiophorus	nudipinnis	37023001
Pristiophoridae	Pristiophorus	cirratus	37023002
Pristiophoridae	Pristiophorus	delicatus	37023004
Squatinidae	Squatina	australis	37024001
Squatinidae	Squatina	tergocellata	37024002
Squatinidae	Squatina	albipunctata	37024004
Squatinidae	Squatina	pseudocellata	37024005
Pristidae	Pristis	zijsron	37025001
Pristidae	Anoxypristis	cuspidata	37025002
Pristidae	Pristis	pristis	37025003
Pristidae	Pristis	clavata	37025004
Rhinidae	Rhina	ancylostomus	37026002
Rhinidae	Rhynchobatus	palpebratus	37026004
Rhinidae	Rhynchobatus	australiae	37026005
Trygonorrhinidae	Aptychotrema	vincentiana	37027001
Rhinobatidae	Rhinobatos	sainsburyi	37027003
Trygonorrhinidae	Trygonorrhina	fasciata	37027006
Trygonorrhinidae	Aptychotrema	timorensis	37027007
Trygonorrhinidae	Aptychotrema	rostrata	37027009
Glaucostegidae	Glaucostegus	typus	37027010
Trygonorrhinidae	Trygonorrhina	dumerilii	37027011
Hypnidae	Hypnos	monopterygius	37028001
Narcinidae	Narcinops	tasmaniensis	37028002
Torpedinidae	Tetronarce	nobiliana	37028003
Narcinidae	Narcinops	lasti	37028004
Narcinidae	Narcinops	westraliensis	37028005
Narcinidae	Narcinops	ornata	37028007
Narcinidae	Narcinops	nelsoni	37028008
Arhynchobatidae	Irolita	waitii	37031001
Rajidae	Dentiraja	australis	37031002
Rajidae	Dentiraja	cerva	37031003
Rajidae	Dentiraja	confusa	37031005
Rajidae	Spiniraja	whitleyi	37031006
Rajidae	Dentiraja	lemprieri	37031007
Arhynchobatidae	Pavoraja	nitida	37031009
Rajidae	Dipturus	gudgeri	37031010
Rajidae	Dentiraja	healdi	37031011
Rajidae	Okamejei	leptoura	37031013
Arhynchobatidae	Notoraja	hirticauda	37031015
Arhynchobatidae	Bathyraja	ishiharai	37031016
Arhynchobatidae	Irolita	westraliensis	37031017
Arhynchobatidae	Notoraja	azurea	37031018
Arhynchobatidae	Notoraja	ochroderma	37031019
Arhynchobatidae	Notoraja	sticta	37031020
Arhynchobatidae	Insentiraja	laxipella	37031021
Arhynchobatidae	Insentiraja	subtilispinosa	37031022
Arhynchobatidae	Pavoraja	arenaria	37031023
Arhynchobatidae	Pavoraja	mosaica	37031024
Arhynchobatidae	Pavoraja	pseudonitida	37031025
Arhynchobatidae	Pavoraja	umbrosa	37031026
Arhynchobatidae	Pavoraja	alleni	37031027
Rajidae	Dipturus	canutus	37031028
Rajidae	Dipturus	grahami	37031029
Rajidae	Dentiraja	falloarga	37031030
Rajidae	Dentiraja	oculus	37031031
Rajidae	Dipturus	apricus	37031032
Rajidae	Dipturus	melanospilus	37031033
Rajidae	Dipturus	wengi	37031034
Rajidae	Dipturus	acrobelus	37031035
Rajidae	Dipturus	queenslandicus	37031036
Rajidae	Zearaja	maugeana	37031037
Rajidae	Dentiraja	flindersi	37031038
Rajidae	Leucoraja	pristispina	37031039
Rajidae	Rajella	challengeri	37031040
Rajidae	Amblyraja	hyperborea	37031041
Rajidae	Dentiraja	polyommata	37031042
Rajidae	Dentiraja	endeavouri	37031043
Rajidae	Okamejei	arafurensis	37031044
Arhynchobatidae	Bathyraja	richardsoni	37031046
Arhynchobatidae	Bathyraja	murrayi	37031048
Arhynchobatidae	Bathyraja	irrasa	37031049
Arhynchobatidae	Bathyraja	arctowskii	37031050
Arhynchobatidae	Bathyraja	eatonii	37031750
Arhynchobatidae	Bathyraja	maccaini	37031751
Anacanthobatidae	Sinobatis	bulbicauda	37033001
Anacanthobatidae	Sinobatis	filicauda	37033002
Anacanthobatidae	Sinobatis	caerulea	37033003
Dasyatidae	Bathytoshia	brevicaudata	37035001
Dasyatidae	Bathytoshia	lata	37035002
Dasyatidae	Himantura	australis	37035003
Dasyatidae	Neotrygon	australiae	37035004
Dasyatidae	Hemitrygon	fluviorum	37035008
Dasyatidae	Taeniura	lymma	37035009
Dasyatidae	Pteroplatytrygon	violacea	37035010
Dasyatidae	Pastinachus	ater	37035011
Dasyatidae	Neotrygon	annotata	37035012
Dasyatidae	Neotrygon	leylandi	37035013
Dasyatidae	Taeniurops	meyeni	37035017
Dasyatidae	Urogymnus	granulatus	37035019
Dasyatidae	Maculabatis	astra	37035020
Dasyatidae	Hemitrygon	parvonigra	37035021
Dasyatidae	Maculabatis	toshi	37035022
Dasyatidae	Urogymnus	dalyensis	37035023
Dasyatidae	Pateobatis	fai	37035024
Dasyatidae	Pateobatis	jenkinsii	37035025
Dasyatidae	Himantura	leoparda	37035026
Dasyatidae	Urogymnus	asperrimus	37035027
Dasyatidae	Megatrygon	microps	37035028
Dasyatidae	Neotrygon	picta	37035029
Dasyatidae	Neotrygon	ningalooensis	37035030
Dasyatidae	Neotrygon	trigonoides	37035031
Dasyatidae	Urogymnus	acanthobothrium	37035032
Dasyatidae	Pateobatis	hortlei	37035033
Gymnuridae	Gymnura	australis	37037001
Hexatrygonidae	Hexatrygon	bickelli	37037002
Urolophidae	Urolophus	bucculentus	37038001
Urolophidae	Urolophus	cruciatus	37038002
Urolophidae	Urolophus	gigas	37038003
Urolophidae	Urolophus	paucimaculatus	37038004
Urolophidae	Urolophus	sufflavus	37038005
Urolophidae	Trygonoptera	testacea	37038006
Urolophidae	Urolophus	viridis	37038007
Urolophidae	Urolophus	expansus	37038008
Urolophidae	Urolophus	westraliensis	37038009
Urolophidae	Urolophus	flavomosaicus	37038010
Urolophidae	Urolophus	mitosis	37038011
Urolophidae	Trygonoptera	galba	37038013
Urolophidae	Trygonoptera	imitata	37038014
Urolophidae	Trygonoptera	mucosa	37038015
Urolophidae	Trygonoptera	ovalis	37038016
Urolophidae	Trygonoptera	personata	37038017
Urolophidae	Urolophus	kapalensis	37038018
Urolophidae	Urolophus	piperatus	37038019
Urolophidae	Urolophus	circularis	37038020
Urolophidae	Urolophus	lobatus	37038021
Urolophidae	Urolophus	orarius	37038022
Plesiobatidae	Plesiobatis	daviesi	37038023
Myliobatidae	Myliobatis	tenuicaudatus	37039001
Myliobatidae	Aetomylaeus	caeruleofasciatus	37039002
Aetobatidae	Aetobatus	ocellatus	37039003
Myliobatidae	Myliobatis	hamlyni	37039004
Myliobatidae	Aetomylaeus	vespertilio	37039005
Rhinopteridae	Rhinoptera	neglecta	37040001
Rhinopteridae	Rhinoptera	javanica	37040002
Mobulidae	Mobula	eregoodoo	37041001
Mobulidae	Mobula	mobular	37041002
Mobulidae	Mobula	thurstoni	37041003
Mobulidae	Mobula	birostris	37041004
Mobulidae	Mobula	alfredi	37041005
Chimaeridae	Chimaera	ogilbyi	37042001
Chimaeridae	Chimaera	fulva	37042005
Chimaeridae	Chimaera	obscura	37042006
Chimaeridae	Chimaera	macrospina	37042007
Chimaeridae	Chimaera	lignaria	37042008
Chimaeridae	Chimaera	argiloba	37042009
Chimaeridae	Hydrolagus	homonycteris	37042010
Chimaeridae	Hydrolagus	marmoratus	37042011
Chimaeridae	Hydrolagus	trolli	37042012
Callorhinchidae	Callorhinchus	milii	37043001
Rhinochimaeridae	Harriotta	raleighana	37044001
Rhinochimaeridae	Rhinochimaera	pacifica	37044002
Rhinochimaeridae	Harriotta	haeckeli	37044003
Rhinochimaeridae	Rhinochimaera	africana	37044004
Elopidae	Elops	hawaiensis	37053001
Elopidae	Elops	machnata	37053003
Megalopidae	Megalops	cyprinoides	37054001
Albulidae	Albula	argentea	37055001
Albulidae	Albula	oligolepis	37055002
Anguillidae	Anguilla	australis	37056001
Anguillidae	Anguilla	reinhardtii	37056002
Anguillidae	Anguilla	bicolor	37056003
Anguillidae	Anguilla	obscura	37056004
Moringuidae	Moringua	ferruginea	37057001
Moringuidae	Moringua	javanica	37057002
Moringuidae	Moringua	microchir	37057003
Moringuidae	Neoconger	tuberculatus	37057004
Moringuidae	Moringua	abbreviata	37057005
Moringuidae	Moringua	bicolor	37057006
Moringuidae	Moringua	macrochir	37057007
Chlopsidae	Kaupichthys	atronasus	37059001
Chlopsidae	Kaupichthys	brachychirus	37059002
Chlopsidae	Kaupichthys	diodontus	37059003
Chlopsidae	Chlopsis	sagmacollaris	37059004
Muraenidae	Gymnothorax	cribroris	37060002
Muraenidae	Gymnothorax	minor	37060003
Muraenidae	Gymnothorax	longinquus	37060004
Muraenidae	Gymnothorax	pseudothyrsoideus	37060005
Muraenidae	Gymnothorax	prasinus	37060006
Muraenidae	Gymnothorax	mccoskeri	37060008
Muraenidae	Gymnothorax	cephalospilus	37060009
Muraenidae	Gymnothorax	thyrsoideus	37060010
Muraenidae	Uropterygius	nagoensis	37060012
Muraenidae	Uropterygius	marmoratus	37060014
Muraenidae	Gymnothorax	pictus	37060015
Muraenidae	Gymnothorax	favagineus	37060016
Muraenidae	Anarchias	allardicei	37060017
Muraenidae	Anarchias	cantonensis	37060018
Muraenidae	Anarchias	leucurus	37060019
