"level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","qualifiers"
"Biota","Ascidians","Stalked","Colonial",,,,,,,,
"Biota","Ascidians","Stalked","Solitary",,,,,,,,
"Biota","Ascidians","Stalked",,,,,,,,,
"Biota","Ascidians","Unstalked","Colonial",,,,,,,,
"Biota","Ascidians","Unstalked","Solitary",,,,,,,,
"Biota","Ascidians","Unstalked",,,,,,,,,
"Biota","Ascidians",,,,,,,,,,
"Biota","Bacterial mats","Cyanobacteria",,,,,,,,,
"Biota","Bacterial mats","Other",,,,,,,,,
"Biota","Bacterial mats",,,,,,,,,,
"Biota","Bedforms","2D","Ripples (<10cm height)",,,,,,,,
"Biota","Bedforms","2D","Waves (>10cm height)",,,,,,,,
"Biota","Bedforms","2D",,,,,,,,,
"Biota","Bedforms","3D","Ripples (<10cm height)",,,,,,,,
"Biota","Bedforms","3D","Waves (>10cm height)",,,,,,,,
"Biota","Bedforms","3D",,,,,,,,,
"Biota","Bedforms","Bioturbated",,,,,,,,,
"Biota","Bedforms","None",,,,,,,,,
"Biota","Bedforms",,,,,,,,,,
"Biota","Bioturbation","Crawling traces","Complex trail",,,,,,,,
"Biota","Bioturbation","Crawling traces","Crater row",,,,,,,,
"Biota","Bioturbation","Crawling traces","Disturbed trace",,,,,,,,
"Biota","Bioturbation","Crawling traces","Mounded trail",,,,,,,,
"Biota","Bioturbation","Crawling traces","Perforated trail",,,,,,,,
"Biota","Bioturbation","Crawling traces","Thick trail",,,,,,,,
"Biota","Bioturbation","Crawling traces","Thin trail",,,,,,,,
"Biota","Bioturbation","Crawling traces",,,,,,,,,
"Biota","Bioturbation","Dwelling traces","Burrow cluster",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Crater cone",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Elongate depression",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Fractured mound",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Large mound",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Oblique burrow",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Paired burrow",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Rounded crater ring",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Single burrow",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Small mound",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Spiked crater ring",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Spotted mound",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Trapdoor burrow",,,,,,,,
"Biota","Bioturbation","Dwelling traces","Vertical burrow",,,,,,,,
"Biota","Bioturbation","Dwelling traces",,,,,,,,,
"Biota","Bioturbation","Feeding traces","Large rosette",,,,,,,,
"Biota","Bioturbation","Feeding traces","Petal rosette",,,,,,,,
"Biota","Bioturbation","Feeding traces","Pincushion rosette",,,,,,,,
"Biota","Bioturbation","Feeding traces","Rayed mound",,,,,,,,
"Biota","Bioturbation","Feeding traces","Small rosette",,,,,,,,
"Biota","Bioturbation","Feeding traces",,,,,,,,,
"Biota","Bioturbation","Organism tests","Globule xenophyophore",,,,,,,,
"Biota","Bioturbation","Organism tests","Lumpy xenophyophore",,,,,,,,
"Biota","Bioturbation","Organism tests",,,,,,,,,
"Biota","Bioturbation","Resting traces","Large depression",,,,,,,,
"Biota","Bioturbation","Resting traces","Star impression",,,,,,,,
"Biota","Bioturbation","Resting traces","Urchin trace",,,,,,,,
"Biota","Bioturbation","Resting traces",,,,,,,,,
"Biota","Bioturbation","Unknown origin","Fern",,,,,,,,
"Biota","Bioturbation","Unknown origin","Matchstick",,,,,,,,
"Biota","Bioturbation","Unknown origin","Mesh",,,,,,,,
"Biota","Bioturbation","Unknown origin","Ovoid pinnate",,,,,,,,
"Biota","Bioturbation","Unknown origin","Pogostick",,,,,,,,
"Biota","Bioturbation","Unknown origin","Round pinnate",,,,,,,,
"Biota","Bioturbation","Unknown origin","Spider",,,,,,,,
"Biota","Bioturbation","Unknown origin",,,,,,,,,
"Biota","Bioturbation","Waste casts","Coiled casts",,,,,,,,
"Biota","Bioturbation","Waste casts","Curly casts",,,,,,,,
"Biota","Bioturbation","Waste casts","Mounded casts",,,,,,,,
"Biota","Bioturbation","Waste casts","Nest casts",,,,,,,,
"Biota","Bioturbation","Waste casts","Round casts",,,,,,,,
"Biota","Bioturbation","Waste casts","Spirals",,,,,,,,
"Biota","Bioturbation","Waste casts","Switchbacks",,,,,,,,
"Biota","Bioturbation","Waste casts","Wavy casts",,,,,,,,
"Biota","Bioturbation","Waste casts",,,,,,,,,
"Biota","Bioturbation",,,,,,,,,,
"Biota","Brachiopods",,,,,,,,,,
"Biota","Bryozoa","Hard","Branching",,,,,,,,
"Biota","Bryozoa","Hard","Encrusting",,,,,,,,
"Biota","Bryozoa","Hard","Fenestrate",,,,,,,,
"Biota","Bryozoa","Hard","Massive",,,,,,,,
"Biota","Bryozoa","Hard",,,,,,,,,
"Biota","Bryozoa","Soft","Dendroid",,,,,,,,
"Biota","Bryozoa","Soft","Foliaceous",,,,,,,,
"Biota","Bryozoa","Soft",,,,,,,,,
"Biota","Bryozoa",,,,,,,,,,
"Biota","Cnidaria","Colonial anemones","Corallimorphs",,,,,,,,
"Biota","Cnidaria","Colonial anemones","Zoanthids",,,,,,,,
"Biota","Cnidaria","Colonial anemones",,,,,,,,,
"Biota","Cnidaria","Corals","Black & Octocorals",,,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Blue coral (Heliopora)",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Fleshy",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Fleshy","Arborescent",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Fleshy","Mushroom",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Non-fleshy",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Non-fleshy","Arborescent",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Non-fleshy","Bottle-brush",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Non-fleshy","Bottle-brush","Complex",,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Non-fleshy","Bottle-brush","Simple",,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)","Non-fleshy","Bushy",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)","Fern-frond",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)","Fern-frond","Complex",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)","Fern-frond","Simple",,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)","Rigid",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals",,,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Branching",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
