Length,Weight,N
9,15,1
13,38,1
13,42,1
15,67,1
15,69,1
16,73,1
16,77,1
17,81,1
17,82,1
17,83,1
17,86,1
17,87,1
17,87,1
16,87,1
18,92,1
17,95,1
18,97,1
17,97,1
18,99,1
18,107,1
17,107,1
19,108,1
17,108,1
19,112,1
19,118,1
19,119,1
19,119,1
18,122,1
19,128,1
19,130,1
20,130,1
19,131,1
20,131,1
20,131,1
20,134,1
19,135,2
19,138,1
20,140,1
20,140,1
20,145,1
20,146,1
20,146,1
19,148,1
20,154,1
20,156,1
21,158,1
20,158,1
21,158,1
20,160,1
20,160,1
20,163,1
21,164,1
20,164,1
21,165,1
22,170,1
21,173,1
22,175,1
20,177,1
20,179,1
22,179,1
22,190,1
22,191,1
22,192,1
22,193,1
22,195,1
22,199,1
22,199,1
22,199,1
23,200,1
21,200,1
22,201,1
22,205,1
25,206,1
22,206,1
22,208,1
22,210,1
23,213,1
23,213,1
23,213,1
22,214,1
23,214,1
22,215,1
23,216,1
24,217,1
22,220,1
24,221,1
22,225,1
23,228,1
22,230,1
23,232,1
23,232,1
24,233,1
24,234,1
23,239,1
24,241,1
22,241,1
24,242,1
25,242,1
24,245,1
23,245,1
24,245,1
24,246,1
25,247,1
23,247,1
24,248,1
23,248,1
24,248,1
23,250,1
24,251,1
25,252,1
23,252,1
24,253,1
24,253,1
23,254,1
23,256,1
23,256,1
24,256,1
24,257,1
25,257,1
24,258,1
24,259,1
24,263,1
24,263,1
24,263,1
25,268,1
25,268,1
24,269,1
25,271,1
25,272,1
24,272,1
25,272,1
25,272,1
24,274,1
25,274,1
25,274,1
24,274,1
24,274,1
25,276,1
23,276,1
26,276,1
25,277,1
26,278,1
26,278,1
24,278,1
25,279,1
24,280,1
25,280,1
24,280,1
25,282,1
24,282,1
25,284,1
27,284,1
25,286,1
26,286,1
24,287,1
26,287,1
24,288,1
26,288,1
25,288,1
24,290,1
26,290,1
26,292,1
25,292,1
25,292,1
26,293,1
24,293,1
26,293,1
25,293,1
26,294,1
27,294,1
26,295,1
25,296,1
25,296,1
26,298,1
25,298,1
26,298,1
25,299,1
25,300,1
26,300,1
25,300,1
25,300,1
25,300,1
26,300,1
25,302,1
26,303,1
26,305,1
26,307,1
25,308,1
26,310,1
27,310,1
25,310,1
26,311,1
25,311,1
24,311,1
25,312,1
25,312,1
26,313,1
27,313,1
26,313,1
26,313,1
25,314,1
25,314,1
25,315,1
26,315,1
26,316,1
25,316,1
27,318,1
27,320,1
25,320,1
25,320,1
26,320,1
26,322,1
25,323,1
27,323,1
24,323,1
26,324,1
26,324,1
25,324,1
25,324,1
25,325,1
26,325,1
