# ----------------------------------------
# Report CSV Export
# Account: MEG
# Property: CheckEM pkgdown
# ----------------------------------------
# 
# All Users
# Start date: 20231202
# End date: 20241202
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Australia,570,562,610,0.45556385362210605,1.0701754385964912,68.69298245614036,6190,0,0,0
United States,109,106,22,0.1732283464566929,0.2018348623853211,14.807339449541285,471,0,0,0
South Africa,19,18,35,0.4666666666666667,1.8421052631578947,112.05263157894737,349,0,0,0
United Kingdom,18,18,21,0.4117647058823529,1.1666666666666667,124.11111111111111,223,0,0,0
Netherlands,17,17,9,0.4090909090909091,0.5294117647058824,33.470588235294116,86,0,0,0
France,10,9,3,0.3,0.3,6.8,33,0,0,0
Brazil,7,7,8,0.5714285714285714,1.1428571428571428,104.28571428571429,66,0,0,0
Canada,7,6,5,0.625,0.7142857142857143,67.57142857142857,34,0,0,0
New Zealand,7,6,6,0.5454545454545454,0.8571428571428571,173.28571428571428,67,0,0,0
Finland,6,6,0,0,0,0,19,0,0,0
(not set),4,4,1,0.25,0.25,4.75,14,0,0,0
Italy,4,4,3,0.5,0.75,8,20,0,0,0
Norway,4,4,3,0.42857142857142855,0.75,35.5,40,0,0,0
Philippines,4,4,3,0.6,0.75,70,25,0,0,0
Austria,3,3,0,0,0,0,9,0,0,0
Croatia,3,3,4,0.5714285714285714,1.3333333333333333,264.3333333333333,82,0,0,0
India,3,3,3,0.6,1,73.33333333333333,26,0,0,0
Indonesia,3,3,3,0.6,1,77,36,0,0,0
Portugal,3,3,4,0.6666666666666666,1.3333333333333333,20,22,0,0,0
Belgium,2,2,2,1,1,40,8,0,0,0
Brunei,2,2,0,0,0,0,8,0,0,0
China,2,2,2,0.6666666666666666,1,151.5,26,0,0,0
Ireland,2,2,1,0.5,0.5,13.5,7,0,0,0
Mozambique,2,2,0,0,0,0,6,0,0,0
Saudi Arabia,2,2,3,0.5,1.5,189.5,38,0,0,0
Seychelles,2,2,1,0.3333333333333333,0.5,599,31,0,0,0
Switzerland,2,2,7,0.5833333333333334,3.5,1161.5,82,0,0,0
Germany,1,1,1,1,1,0,3,0,0,0
Hong Kong,1,1,1,0.3333333333333333,1,327,32,0,0,0
Israel,1,1,1,1,1,191,6,0,0,0
Malaysia,1,0,1,1,1,0,1,0,0,0
Mexico,1,1,1,1,1,119,9,0,0,0
Montserrat,1,1,1,1,1,17,7,0,0,0
Russia,1,0,0,0,0,7,3,0,0,0
Réunion,1,1,0,0,0,0,3,0,0,0
Singapore,1,0,1,1,1,37,2,0,0,0
South Korea,1,0,1,1,1,47,7,0,0,0
Spain,1,1,1,1,1,160,11,0,0,0
St. Helena,1,1,1,1,1,1,7,0,0,0
Sudan,1,1,2,1,2,508,9,0,0,0
