OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
EG-C01-001	0	1	20240505_R07_L08_Left_MAH00688.MP4	7164	1.99199	20240505_R07_L08_Left_MAH00690.MP4	60706	61.99193	1
EG-C01-043	0	1	20240505_R01_L02_Left_MAH00501.MP4	6946	1.93137	20240505_R01_L02_Left_MAH00503.MP4	60548	61.93131	1
EG-C01-044	0	1	20240505_R17_L18_Left_MAH00505.MP4	4801	1.33494	20240505_R17_L18_Left_MAH00507.MP4	58403	61.33488	1
EG-C01-045	0	1	20240505_R03_L04_Left_MAH00468.MP4	4878	1.35635	20240505_R03_L04_Left_MAH00470.MP4	58480	61.35630	1
EG-C01-046	0	1	20240505_R15_L16_Left_MAH00768.MP4	10237	2.84645	20240505_R15_L16_Left_MAH00770.MP4	63839	62.84639	1
EG-C01-047	0	1	20240505_R09_L10_Left_MAH00425.MP4	2990	0.83139	20240505_R09_L10_Left_MAH00427.MP4	56592	60.83133	1
EG-C02-002	0	1	20240501_R15_L16_Left_MAH00711.MP4	13318	3.70314	20240501_R15_L16_Left_MAH00713.MP4	66920	63.70308	1
EG-C02-048	0	1	20240501_R01_L02_Left_MAH00431.MP4	22515	6.26042	20240501_R01_L02_Left_MAH00433.MP4	76117	66.26036	1
EG-C02-049	0	1	20240501_R03_L04_Left_MAH00400.MP4	8470	2.35513	20240501_R03_L04_Left_MAH00402.MP4	62072	62.35507	1
EG-C02-050	0	1	20240501_R07_L08_Left_MAH00621.MP4	11536	3.20765	20240501_R07_L08_Left_MAH00623.MP4	65138	63.20759	1
EG-C02-051	0	1	20240501_R09_L10_Left_MAH00360.MP4	8659	2.40768	20240501_R09_L10_Left_MAH00362.MP4	62261	62.40762	1
EG-C02-052	0	1	20240501_R13_L14_Left_MAH00580.MP4	5969	2.23584	20240501_R13_L14_Left_MAH00582.MP4	59571	62.23578	1
EG-C03-053	0	1	20240502_R1201_L28_Left_MAH00500.MP4	13649	3.79518	20240502_R1201_L28_Left_MAH00502.MP4	67251	63.79512	1
EG-C03-055	0	1	20240502_R31_L32_Left_MAH00511.MP4	17062	4.74418	20240502_R31_L32_Left_MAH00513.MP4	70664	64.74412	1
EG-C04-004	0	1	20240505_R13_L14_Left_MAH00644.MP4	6220	1.72951	20240505_R13_L14_Left_MAH00646.MP4	59822	61.72945	1
EG-C04-058	0	1	20240505_R01_L02_Left_MAH00497.MP4	8281	2.30258	20240505_R01_L02_Left_MAH00499.MP4	61883	62.30252	1
EG-C04-059	0	1	20240505_R07_L08_Left_MAH00684.MP4	16796	4.67022	20240505_R07_L08_Left_MAH00686.MP4	70338	64.67016	1
EG-C04-060	0	1	20240505_R03_L04_Left_MAH00464.MP4	8138	2.26282	20240505_R03_L04_Left_MAH00466.MP4	61740	62.26276	1
