OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
EG-C01-001	0	0	1225.60794	403.66042	697.96526	417.94928
EG-C01-001	1	0	1066.00000	1005.30000	267.40000	964.50000
EG-C01-001	1	1	1207.60000	978.00000	456.10000	955.20000
EG-C01-001	2	0	1674.70000	547.90000	1475.50000	631.00000
EG-C01-001	3	0	1388.40000	675.60000	1281.60000	732.00000
EG-C01-001	4	0	1642.80000	709.20000	1539.60000	807.60000
EG-C01-001	5	0	974.40000	778.80000	578.40000	756.00000
EG-C01-001	5	1	864.00000	970.80000	435.60000	932.40000
EG-C01-001	6	0	1080.40000	844.50000	901.30000	852.80000
EG-C01-001	6	1	983.80000	818.40000	826.90000	813.80000
EG-C01-001	7	0	830.30000	813.50000	549.20000	777.40000
EG-C01-001	7	1	686.90000	851.90000	430.70000	788.20000
EG-C01-001	8	0	632.20000	865.90000	301.20000	794.00000
EG-C01-001	8	1	806.80000	880.00000	463.10000	824.40000
EG-C01-001	9	0	650.40000	812.40000	422.40000	742.80000
EG-C01-001	9	1	723.60000	784.80000	525.60000	733.20000
EG-C01-001	10	0	1447.20000	801.50000	1150.80000	856.80000
EG-C01-001	10	1	1290.90000	813.80000	1001.10000	844.80000
EG-C01-001	11	0	751.60000	474.70000	622.80000	453.60000
EG-C01-001	11	1	965.50000	354.70000	847.20000	355.20000
EG-C01-001	12	0	496.80000	670.80000	214.80000	596.40000
EG-C01-001	12	1	646.80000	597.60000	453.60000	558.00000
EG-C01-001	13	0	1392.70000	788.20000	1182.50000	842.80000
EG-C01-001	13	1	1202.80000	787.60000	1006.70000	813.70000
EG-C01-001	14	0	1804.80000	763.20000	1564.80000	880.80000
EG-C01-001	14	1	1508.40000	709.20000	1315.20000	772.80000
EG-C01-001	15	0	1131.60000	451.20000	716.40000	452.40000
EG-C01-001	15	1	901.20000	398.40000	562.60000	394.30000
EG-C01-001	16	0	928.80000	470.40000	564.50000	453.20000
EG-C01-001	16	1	693.60000	490.80000	397.20000	456.00000
EG-C01-001	17	0	700.80000	560.40000	373.20000	516.00000
EG-C01-001	17	1	525.60000	616.80000	222.00000	558.00000
EG-C01-001	18	0	1438.80000	752.40000	919.20000	789.60000
EG-C01-001	18	1	1186.80000	801.60000	606.00000	798.00000
EG-C01-001	19	0	782.80000	432.10000	492.00000	400.80000
EG-C01-001	19	1	540.00000	456.00000	266.40000	396.00000
EG-C01-001	20	0	1367.10000	790.50000	929.40000	821.40000
EG-C01-001	20	1	1204.20000	870.90000	742.50000	870.60000
