OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
EG-C01-001	1.09	2024 08 28 15:20:48	D:\20240505\EG-C01-001\	EG-C01-001.EMObs
EG-C01-043	1.09	2024 08 28 15:20:48	D:\20240505\EG-C01-043\	EG-C01-043.EMObs
EG-C01-044	1.09	2024 08 28 15:20:48	D:\20240505\EG-C01-044\	EG-C01-044.EMObs
EG-C01-045	1.09	2024 08 28 15:20:48	D:\20240505\EG-C01-045\	EG-C01-045.EMObs
EG-C01-046	1.09	2024 08 28 15:20:48	D:\20240505\EG-C01-046\	EG-C01-046.EMObs
EG-C01-047	1.09	2024 08 28 15:20:48	D:\20240505\EG-C01-047\	EG-C01-047.EMObs
EG-C02-002	1.09	2024 08 28 15:20:48	F:\20240501\EG-C02-002\	EG-C02-002.EMObs
EG-C02-048	1.09	2024 08 28 15:20:48	F:\20240501\EG-C02-048\	EG-C02-048.EMObs
EG-C02-049	1.09	2024 08 28 15:20:48	D:\20240501\EG-C02-049\	EG-C02-049.EMObs
EG-C02-050	1.09	2024 08 28 15:20:48	D:\20240501\EG-C02-050\	EG-C02-050.EMObs
EG-C02-051	1.09	2024 08 28 15:20:48	F:\20240501\EG-C02-051\	EG-C02-051.EMObs
EG-C02-052	1.09	2024 08 28 15:20:48	F:\20240501\EG-C02-052\	EG-C02-052.EMObs
EG-C03-053	1.09	2024 08 28 15:20:48	F:\20240502\EG-C03-053\	EG-C03-053.EMObs
EG-C03-055	1.09	2024 08 28 15:20:48	F:\20240502\EG-C03-055\	EG-C03-055.EMObs
EG-C04-004	1.09	2024 08 28 15:20:48	D:\20240505\EG-C04-004\	EG-C04-004.EMObs
EG-C04-058	1.09	2024 08 28 15:20:48	D:\20240505\EG-C04-058\	EG-C04-058.EMObs
EG-C04-059	1.09	2024 08 28 15:20:48	D:\20240505\EG-C04-059\	EG-C04-059.EMObs
EG-C04-060	1.09	2024 08 28 15:20:48	D:\20240505\EG-C04-060\	EG-C04-060.EMObs
EG-C04-062	1.09	2024 08 28 15:20:48	D:\20240505\EG-C04-062\	EG-C04-062.EMObs
EG-C05-005	1.09	2024 08 28 15:20:48	F:\20240501\EG-C05-005\	EG-C05-005.EMObs
EG-C05-063	1.09	2024 08 28 15:20:48	F:\20240501\EG-C05-063\	EG-C05-063.EMObs
EG-C05-064	1.09	2024 08 28 15:20:48	D:\20240501\EG-C05-064\	EG-C05-064.EMObs
EG-C05-065	1.09	2024 08 28 15:20:48	F:\20240501\EG-C05-065\	EG-C05-065.EMObs
EG-C06-006	1.09	2024 08 28 15:20:48	D:\20240502\EG-C06-006\	EG-C06-006.EMObs
EG-C06-069	1.09	2024 08 28 15:20:48	D:\20240502\EG-C06-069\	EG-C06-069.EMObs
EG-C06-070	1.09	2024 08 28 15:20:48	D:\20240502\EG-C06-070\	EG-C06-070.EMObs
EG-C06-071	1.09	2024 08 28 15:20:48	D:\20240502\EG-C06-071\	EG-C06-071.EMObs
EG-C06-072	1.09	2024 08 28 15:20:48	D:\20240502\EG-C06-072\	EG-C06-072.EMObs
EG-C07-007	1.09	2024 08 28 15:20:48	D:\20240502\EG-C07-007\	EG-C07-007.EMObs
EG-C07-073	1.09	2024 08 28 15:20:48	F:\20240502\EG-C07-073\	EG-C07-073.EMObs
EG-C07-074	1.09	2024 08 28 15:20:48	D:\20240502\EG-C07-074\	EG-C07-074.EMObs
EG-C07-075	1.09	2024 08 28 15:20:48	F:\20240502\EG-C07-075\	EG-C07-075.EMObs
EG-C07-076	1.09	2024 08 28 15:20:48	F:\20240502\EG-C07-076\	EG-C07-076.EMObs
EG-C07-077	1.09	2024 08 28 15:20:48	D:\20240502\EG-C07-077\	EG-C07-077.EMObs
EG-C08-008	1.09	2024 08 28 15:20:48	F:\20240502\EG-C08-008\	EG-C08-008.EMObs
EG-C08-078	1.09	2024 08 28 15:20:48	F:\20240502\EG-C08-078\	EG-C08-078.EMObs
EG-C08-079	1.09	2024 08 28 15:20:48	F:\20240502\EG-C08-079\	EG-C08-079.EMObs
EG-C08-080	1.09	2024 08 28 15:20:48	F:\20240502\EG-C08-080\	EG-C08-080.EMObs
EG-C08-081	1.09	2024 08 28 15:20:48	F:\20240502\EG-C08-081\	EG-C08-081.EMObs
EG-C08-082	1.09	2024 08 28 15:20:48	D:\20240502\EG-C08-082\	EG-C08-082.EMObs
EG-C09-009	1.09	2024 08 28 15:20:48	D:\20240503\R23_L24\EG-C09-009\	EG-C09-009.EMObs
EG-C09-083	1.09	2024 08 28 15:20:48	G:\20240503\R1201_L28\EG-C09-083\	EG-C09-083.EMObs
EG-C09-084	1.09	2024 08 28 15:20:48	E:\20240503\R25_L26\EG-C09-084\	EG-C09-084.EMObs
EG-C09-085	1.09	2024 08 28 15:20:48	E:\20240503\R31_L32\EG-C09-085\	EG-C09-085.EMObs
EG-C11-011	1.09	2024 08 28 15:20:48	G:\20240503\R07_L08\EG-C11-011\	EG-C11-011.EMObs
EG-C11-093	1.09	2024 08 28 15:20:48	D:\20240503\R15_L16\EG-C11-093\	EG-C11-093.EMObs
EG-C11-095	1.09	2024 08 28 15:20:48	G:\20240503\R03_L04\EG-C11-095\	EG-C11-095.EMObs
EG-C11-097	1.09	2024 08 28 15:20:48	G:\20240503\R01_L02\EG-C11-097\	EG-C11-097.EMObs
EG-C12-012	1.09	2024 08 28 15:20:48	D:\20240506\EG-C12-012\	EG-C12-012.EMObs
EG-C12-100	1.09	2024 08 28 15:20:48	D:\20240506\EG-C12-100\	EG-C12-100.EMObs
EG-C12-101	1.09	2024 08 28 15:20:48	D:\20240506\EG-C12-101\	EG-C12-101.EMObs
EG-C12-102	1.09	2024 08 28 15:20:48	D:\20240506\EG-C12-102\	EG-C12-102.EMObs
EG-C14-014	1.09	2024 08 28 15:20:48	D:\20240501\EG-C14-014\	EG-C14-014.EMObs
EG-C14-108	1.09	2024 08 28 15:20:48	F:\20240501\EG-C14-108\	EG-C14-108.EMObs
EG-C14-110	1.09	2024 08 28 15:20:48	D:\20240501\EG-C14-110\	EG-C14-110.EMObs
EG-C14-111	1.09	2024 08 28 15:20:48	D:\20240501\EG-C14-111\	EG-C14-111.EMObs
EG-C14-112	1.09	2024 08 28 15:20:48	D:\20240501\EG-C14-112\	EG-C14-112.EMObs
EG-C15-015	1.09	2024 08 28 15:20:48	G:\20240504\R23_L24\EG-C15-015\	EG-C15-015.EMObs
EG-C15-113	1.09	2024 08 28 15:20:48	D:\20240504\R1201_L28\	EG-C15-113.EMObs
EG-C15-114	1.09	2024 08 28 15:20:48	E:\20240504\R31_L32\EG-C15-114\	EG-C15-114.EMObs
EG-C15-116	1.09	2024 08 28 15:20:48	D:\20240504\R05_L06\	EG-C15-116.EMObs
EG-C15-117	1.09	2024 08 28 15:20:48	D:\20240504\R25_L26\EG-C15-117\	EG-C15-117.EMObs
EG-C16-016	1.09	2024 08 28 15:20:48	D:\20240505\EG-C16-016\	EG-C16-016.EMObs
EG-C16-118	1.09	2024 08 28 15:20:48	D:\20240505\EG-C16-118\	EG-C16-118.EMObs
EG-C16-119	1.09	2024 08 28 15:20:48	D:\20240505\EG-C16-119\	EG-C16-119.EMObs
EG-C16-120	1.09	2024 08 28 15:20:48	D:\20240505\EG-C16-120\	EG-C16-120.EMObs
EG-C16-121	1.09	2024 08 28 15:20:48	D:\20240505\EG-C16-121\	EG-C16-121.EMObs
EG-C16-122	1.09	2024 08 28 15:20:48	D:\20240505\EG-C16-122\	EG-C16-122.EMObs
EG-C17-017	1.09	2024 08 28 15:20:48	D:\20240505\EG-C17-017\	EG-C17-017.EMObs
EG-C17-123	1.09	2024 08 28 15:20:48	F:\20240505\EG-C17-123\	EG-C17-123.EMObs
EG-C17-125	1.09	2024 08 28 15:20:48	D:\20240505\EG-C17-125\	EG-C17-125.EMObs
EG-C17-127	1.09	2024 08 28 15:20:48	D:\20240505\EG-C17-127\	EG-C17-127.EMObs
EG-C18-018	1.09	2024 08 28 15:20:48	E:\20240507\EG-C18-018\	EG-C18-018.EMObs
EG-C18-128	1.09	2024 08 28 15:20:48	E:\20240507\EG-C18-128\	EG-C18-128.EMObs
EG-C18-130	1.09	2024 08 28 15:20:48	E:\20240507\EG-C18-130\	EG-C18-130.EMObs
EG-C18-131	1.09	2024 08 28 15:20:48	D:\20240507\EG-C18-131\	EG-C18-131.EMObs
EG-C18-132	1.09	2024 08 28 15:20:48	E:\20240507\EG-C18-132\	EG-C18-132.EMObs
EG-C19-019	1.09	2024 08 28 15:20:48	D:\20240503\R21_L22\EG-C19-019\	EG-C19-019.EMObs
EG-C19-133	1.09	2024 08 28 15:20:48	E:\20240503\R05_L06\EG-C19-133\	EG-C19-133.EMObs
EG-C19-134	1.09	2024 08 28 15:20:48	G:\20240503\R31_L32\EG-C19-134\	EG-C19-134.EMObs
EG-C20-020	1.09	2024 08 28 15:20:48	D:\20240505\EG-C20-020\	EG-C20-020.EMObs
EG-C20-138	1.09	2024 08 28 15:20:48	D:\20240505\EG-C20-138\	EG-C20-138.EMObs
EG-C20-139	1.09	2024 08 28 15:20:48	D:\20240505\EG-C20-139\	EG-C20-139.EMObs
EG-C20-140	1.09	2024 08 28 15:20:48	D:\20240505\EG-C20-140\	EG-C20-140.EMObs
EG-C20-141	1.09	2024 08 28 15:20:48	D:\20240505\EG-C20-141\	EG-C20-141.EMObs
EG-C20-142	1.09	2024 08 28 15:20:48	D:\20240505\EG-C20-142\	EG-C20-142.EMObs
EG-C21-021	1.09	2024 08 28 15:20:48	F:\20240502\EG-C21-021\	EG-C21-021.EMObs
EG-C22-149	1.09	2024 08 28 15:20:48	D:\20240505\EG-C22-149\	EG-C22-149.EMObs
EG-C23-023	1.09	2024 08 28 15:20:48	D:\20240507\EG-C23-023\	EG-C23-023.EMObs
EG-C23-153	1.09	2024 08 28 15:20:48	D:\20240507\EG-C23-153\	EG-C23-153.EMObs
