OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
Fish_MB5	1	20140817_NMP_FishMB5_Left108.avi	13694	20140817_NMP_FishMB5_Right109.avi	15774	9.12933		0.03067	57.57831	6.39434	6.7789	2333.00985	16.77965	63.24923	22.16368	-672.71767	-32.87644	-2233.67523	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	2	20140817_NMP_FishMB5_Left108.avi	13694	20140817_NMP_FishMB5_Right109.avi	15774	9.12933	1	0.03067	46.08574	5.33512	6.15116	2436.20558	18.21324	40.27005	21.81445	-761.44371	-2.1789	-2314.15133	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	3	20140817_NMP_FishMB5_Left108.avi	13694	20140817_NMP_FishMB5_Right109.avi	15774	9.12933	1	0.03067	42.39001	3.28932	8.95886	2508.61972	19.06886	7.17978	6.46829	-819.12293	27.27204	-2370.96325	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	4	20140817_NMP_FishMB5_Left108.avi	13694	20140817_NMP_FishMB5_Right109.avi	15774	9.12933	1	0.03067	40.42674	4.66744	7.85057	2157.5051	20.07386	50.2425	23.44792	-732.30748	-109.99989	-2026.43875	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	5	20140817_NMP_FishMB5_Left108.avi	13694	20140817_NMP_FishMB5_Right109.avi	15774	9.12933	1	0.03067	57.09762	4.45385	8.3389	2716.56016	21.90957	14.59174	13.69411	-1007.16866	114.57626	-2520.35368	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	7	20140817_NMP_FishMB5_Left108.avi	13698	20140817_NMP_FishMB5_Right109.avi	15778	9.132	1	0.03333	174.51429	12.38496	12.60051	4113.66805	24.83054	25.97812	0.33963	-1639.6592	543.77767	-3733.37494	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
Fish_MB5	8	20140817_NMP_FishMB5_Left108.avi	13706	20140817_NMP_FishMB5_Right109.avi	15786	9.13733	1	0.03867	191.58626	19.87096	13.49193	5427.42983	23.70252	23.15006	6.29975	-1979.85471	916.65718	-4969.59852	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
Fish_MB5	10	20140817_NMP_FishMB5_Left108.avi	13739	20140817_NMP_FishMB5_Right109.avi	15819	9.15933	1	0.06067	42.63525	4.40246	3.41653	2675.08082	17.97861	18.80566	14.26356	-825.65668	7.99909	-2544.46153	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	11	20140817_NMP_FishMB5_Left108.avi	13739	20140817_NMP_FishMB5_Right109.avi	15819	9.15933	1	0.06067	57.58383	6.40149	8.26385	2781.44589	17.63955	31.86235	4.22551	-842.05387	-36.75066	-2650.66707	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	12	20140817_NMP_FishMB5_Left108.avi	13739	20140817_NMP_FishMB5_Right109.avi	15819	9.15933	1	0.06067	49.68692	4.77223	6.34683	2632.33959	20.51121	23.7183	17.64581	-921.62954	36.37848	-2465.45885	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	15	20140817_NMP_FishMB5_Left108.avi	13795	20140817_NMP_FishMB5_Right109.avi	15875	9.19667	1	0.098	128.59731	4.59083	6.07284	2342.10384	14.08818	33.1503	12.42126	-565.04086	-75.80367	-2271.65865	Chaetodontidae	Chaetodon	trifasciatus	37365094	1	AD	Passing			
Fish_MB5	16	20140817_NMP_FishMB5_Left108.avi	13841	20140817_NMP_FishMB5_Right109.avi	15921	9.22733	1	0.12867	37.79825	1.70175	7.47625	1816.16903	13.64954	17.80701	29.9735	-9.07934	-428.48777	-1764.87556	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	17	20140817_NMP_FishMB5_Left108.avi	13842	20140817_NMP_FishMB5_Right109.avi	15922	9.228	1	0.12933	70.10348	2.34541	8.39462	2072.84058	11.91056	19.69867	11.9645	40.85301	-425.84727	-2028.21429	Pomacentridae	Pomacentrus	vaiuli	37372126	1	AD	Passing			
Fish_MB5	18	20140817_NMP_FishMB5_Left108.avi	13870	20140817_NMP_FishMB5_Right109.avi	15950	9.24667	1	0.148	74.31092	5.57385	12.57675	3374.2086	9.01633	18.22397	6.62358	263.70017	-458.34847	-3332.51595	Pomacentridae	Pomacentrus	vaiuli	37372126	1	AD	Passing			
Fish_MB5	20	20140817_NMP_FishMB5_Left108.avi	13897	20140817_NMP_FishMB5_Right109.avi	15977	9.26467	1	0.166	90.31917	4.85846	7.77492	2250.71735	18.94158	43.70783	4.94606	-369.26961	-630.39988	-2128.84113	Pomacentridae	Pomacentrus	vaiuli	37372126	1	AD	Passing			
Fish_MB5	21	20140817_NMP_FishMB5_Left108.avi	13901	20140817_NMP_FishMB5_Right109.avi	15981	9.26733	1	0.16867	216.58683	9.52856	16.6572	4429.6312	10.15886	17.96001	16.02216	656.57502	-423.46568	-4360.18562	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
