OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
1	0	1	Left_MAH00204.MP4	5996	46.69637	Left_MAH00206.MP4	59599	106.69631	1
11	0	1	Left_MAH01231.MP4	68793	41.65133	Left_MAH01234.MP4	41394	101.65127	1
12	0	1	Left_MAH01218.MP4	59560	16.56099	Left_MAH01221.MP4	32160	76.56093	1
13	0	1	Left_MAH00240.MP4	61816	39.74470	Left_MAH00243.MP4	34419	99.74465	1
14	0	1	Left_MAH00242.MP4	68521	41.59238	Left_MAH00245.MP4	41123	101.59232	1
15	0	1	Left_MAH00243.MP4	19718	73.11777	Left_MAH00245.MP4	73381	133.11771	1
16	0	1	Left_MAH00192.MP4	75677	43.59883	Left_MAH00195.MP4	48280	103.59877	1
17	0	1	Left_MAH01244.MP4	26631	75.04024	Left_MAH01246.MP4	80294	135.04018	1
18	0	1	Left_MAH00236.MP4	23340	51.53565	Left_MAH00238.MP4	76075	111.29424	1
19	0	1	Left_MAH00255.MP4	4233	46.23953	Left_MAH00257.MP4	57836	106.23947	1
2	0	1	Left_MAH00217.MP4	48675	36.07409	Left_MAH00220.MP4	21277	96.07403	1
20	0	1	Left_MAH00217.MP4	57366	38.49067	Left_MAH00220.MP4	29968	98.49061	1
21	0	1	Left_MAH00248.MP4	64369	40.42121	Left_MAH00251.MP4	37031	100.42115	1
22	0	1	Left_MAH00223.MP4	12596	48.54822	Left_MAH00225.MP4	62690	107.55578	1
23	0	1	Left_MAH01224.MP4	80188	44.81978	Left_MAH01227.MP4	52850	104.81972	1
24	0	1	Left_MAH00206.MP4	38227	33.18565	Left_MAH00209.MP4	10830	93.18559	1
25	0	1	Left_MAH00238.MP4	21953	73.72282	Left_MAH00240.MP4	75616	133.72276	1
26	0	1	Left_MAH01213.MP4	41229	11.46395	Left_MAH01216.MP4	13770	71.46389	1
27	0	1	Left_MAH00230.MP4	5279	46.56346	Left_MAH00232.MP4	56193	105.81571	1
28	0	1	Left_MAH00232.MP4	4957	69.01339	Left_MAH00234.MP4	58620	129.01333	1
29	0	1	Left_MAH00236.MP4	74742	43.33885	Left_MAH00239.MP4	47345	103.33879	1
3	0	1	Left_MAH00209.MP4	50147	36.48339	Left_MAH00212.MP4	22689	96.48333	1
30	0	1	Left_MAH00225.MP4	16598	49.72746	Left_MAH00227.MP4	70261	109.72740	1
31	0	1	Left_MAH00199.MP4	60881	16.92830	Left_MAH00202.MP4	33422	76.92824	1
32	0	1	Left_MAH00230.MP4	75515	43.53710	Left_MAH00233.MP4	48057	103.53704	1
33	0	1	Left_MAH00231.MP4	16585	49.65739	Left_MAH00233.MP4	70248	109.65733	1
34	0	1	Left_MAH00248.MP4	56506	38.25155	Left_MAH00251.MP4	29108	98.25149	1
35	0	1	Left_MAH00342.MP4	31546	76.37352	Left_MAH00345.MP4	4148	136.37346	1
36	0	1	Left_MAH00222.MP4	72207	42.60061	Left_MAH00225.MP4	44869	102.60055	1
37	0	1	Left_MAH00216.MP4	70682	42.17658	Left_MAH00219.MP4	43344	102.17652	1
38	0	1	Left_MAH00254.MP4	68808	41.67219	Left_MAH00257.MP4	41410	101.67213	1
39	0	1	Left_MAH00236.MP4	10362	47.92705	Left_MAH00238.MP4	62771	107.59499	1
4	0	1	Left_MAH00213.MP4	37638	33.03912	Left_MAH00216.MP4	10239	93.03906	1
40	0	1	Left_MAH00186.MP4	20558	50.79547	Left_MAH00188.MP4	74161	110.79541	1
41	0	1	Left_MAH00335.MP4	19933	50.58832	Left_MAH00337.MP4	73596	110.58826	1
42	0	1	Left_MAH00243.MP4	15454	71.88237	Left_MAH00245.MP4	69116	131.88231	1
43	0	1	Left_MAH00198.MP4	35682	32.46132	Left_MAH00201.MP4	8284	92.46126	1
44	0	1	Left_MAH00316.MP4	48407	58.53904	Left_MAH00319.MP4	20949	118.53898	1
45	0	1	Left_MAH00308.MP4	45882	12.75774	Left_MAH00311.MP4	18423	72.75769	1
46	0	1	Left_MAH00347.MP4	46518	35.47433	Left_MAH00350.MP4	19060	95.47427	1
47	0	1	Left_MAH00229.MP4	78660	66.95105	Left_MAH00232.MP4	51262	126.95099	1
48	0	1	Left_MAH00243.MP4	58168	38.68031	Left_MAH00246.MP4	30830	98.68025	1
5	0	1	Left_MAH00219.MP4	33469	31.86266	Left_MAH00222.MP4	6012	91.86260	1
50	0	1	Left_MAH01237.MP4	6587	46.91075	Left_MAH01239.MP4	60190	106.91069	1
51	0	1	Left_MAH00234.MP4	67622	41.35910	Left_MAH00237.MP4	39287	101.11490	1
