OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
10	1.09	2023 08 10 14:08:21	D:\20230318\L035_R036\10\	10.EMObs
12	1.09	2023 08 10 14:08:21	F:\20230315\L031_R032\12\	12.EMObs
14	1.09	2023 08 10 14:08:21	E:\20230318\L031_R032\14\	14.EMObs
15	1.09	2023 08 10 14:08:21	D:\20230318\L037_R038\15\	15.EMObs
16	1.09	2023 08 10 14:08:21	F:\20230315\L039_R040\16\	16.EMObs
17	1.09	2023 08 10 14:08:21	F:\20230315\L041_R042\17\	17.EMObs
19	1.09	2023 08 10 14:08:21	F:\20230318\L031_R032\19\	19.EMObs
2	1.09	2023 08 10 14:08:21	F:\20230315\L029_R030\2\	2.EMObs
21	1.09	2023 08 10 14:08:21	F:\20230318\L033_R034\21\	21.EMObs
22	1.09	2023 08 10 14:08:21	F:\20230318\L035_R036\22\	22.EMObs
23	1.09	2023 08 10 14:08:21	F:\20230315\L033_R034\23\	23.EMObs
24	1.09	2023 08 10 14:08:21	F:\20230315\L035_R036\24\	24.EMObs
26	1.09	2023 08 10 14:08:21	F:\20230315\L031_R032\26\	26.EMObs
29	1.09	2023 08 10 14:08:21	F:\20230315\L035_R036\29\	29.EMObs
3	1.09	2023 08 10 14:08:21	G:\20230315\L027_R028\3\	3.EMObs
31	1.09	2023 08 10 14:08:21	G:\20230318\L029_R030\31\	31.EMObs
32	1.09	2023 08 10 14:08:21	E:\20230315\L039_R040\32\	32.EMObs
34	1.09	2023 08 10 14:08:21	F:\20230318\L027_R028\34\	34.EMObs
35	1.09	2023 08 10 14:08:21	G:\20230315\L027_R028\35\	35.EMObs
36	1.09	2023 08 10 14:08:21	G:\20230315\L037_R038\36\	36.EMObs
37	1.09	2023 08 10 14:08:21	F:\20230315\L041_R042\37\	37.EMObs
39	1.09	2023 08 10 14:08:21	G:\20230318\L027_R028\39\	39.EMObs
4	1.09	2023 08 10 14:08:21	E:\20230315\L037_R038\4\	4.EMObs
40	1.09	2023 08 10 14:08:21	D:\20230318\L029_R030\40\	40.EMObs
44	1.09	2023 08 10 14:08:21	F:\20230315\L033_R034\44\	44.EMObs
45	1.09	2023 08 10 14:08:21	D:\20230318\L041_R042\45\	45.EMObs
46	1.09	2023 08 10 14:08:21	G:\20230318\L041_R042\46\	46.EMObs
47	1.09	2023 08 10 14:08:21	G:\20230318\L033_R034\47\	47.EMObs
5	1.09	2023 08 10 14:08:21	F:\20230315\L029_R030\5\	5.EMObs
6	1.09	2023 08 10 14:08:21	F:\20230318\L037_R038\6\	6.EMObs
7	1.09	2023 08 10 14:08:21	G:\20230318\L039_R040\7\	7.EMObs
8	1.09	2023 08 10 14:08:21	G:\20230318\L039_R040\8\	8.EMObs
