OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
10_1	0	0	1295.60771	600.98510	1499.11232	621.26080
10_1	0	1	1369.37133	605.00894	1585.75105	636.55142
10_1	1	0	1334.18273	663.12966	701.69321	647.03428
10_1	1	1	1419.48030	693.71088	630.88013	680.83458
10_1	2	0	1553.21459	708.76751	1483.77452	750.74218
10_1	2	1	1597.20453	702.86587	1537.95725	748.05961
10_1	3	0	1289.42582	770.15946	1041.45432	775.23100
10_1	3	1	1341.73093	782.23100	1067.20453	789.44858
10_1	4	0	791.81894	849.83607	487.64459	804.76900
10_1	4	1	848.14753	836.95976	540.75440	791.89270
10_1	5	0	1466.15256	563.33830	1421.08969	584.26230
10_1	5	1	1747.79547	505.39493	1768.71752	544.02385
10_1	6	0	1411.43336	593.91952	1501.55909	614.84352
10_1	6	1	1741.35792	585.87183	1913.56245	638.98659
10_1	7	0	658.23973	671.17735	624.44258	627.71982
10_1	7	1	772.50629	661.52012	756.41241	626.11028
10_1	8	0	339.58089	383.07004	284.86169	344.44113
10_1	8	1	437.75356	444.23249	413.61274	397.55589
10_1	9	0	682.38055	535.97615	125.53227	482.86140
10_1	9	1	835.27242	519.88077	461.89438	481.25186
10_1	10	0	516.61358	614.84352	447.40989	564.94784
10_1	10	1	666.28667	606.79583	598.69237	560.11923
10_1	11	0	445.80050	571.38599	516.61358	523.09985
10_1	11	1	563.28583	558.50969	630.88013	515.05216
10_1	12	0	1216.69740	437.79434	1161.97821	434.57526
10_1	12	1	1327.74518	445.84203	1310.04191	447.45156
10_1	13	0	1369.58927	658.30104	1099.21207	669.56781
10_1	13	1	1678.59179	601.96721	1355.10478	638.98659
10_2	0	0	1351.85729	697.16418	580.23085	707.23881
10_2	0	1	1416.32739	691.11940	640.67156	709.25373
10_2	1	0	539.93704	537.98507	550.01049	546.04478
10_2	1	1	848.18468	588.35821	914.66946	600.44776
10_2	1	2	1073.83001	552.08955	1075.84470	572.23881
10_2	1	3	1200.75551	435.22388	1226.94648	453.35821
10_2	1	4	1456.62120	171.26866	1533.17943	167.23881
10_2	2	0	1436.47429	957.08955	592.31899	977.23881
10_2	2	1	1639.95803	912.76119	896.53725	940.97015
10_2	3	0	1331.88667	643.61940	1549.34208	696.83582
10_2	3	1	1390.64848	646.64179	1624.22141	709.93284
10_2	4	0	481.51102	771.71642	24.17629	755.59701
10_2	4	1	763.56768	791.86567	368.68835	781.79104
10_2	5	0	335.19307	577.53731	559.99161	574.40299
10_2	5	1	391.94019	585.59701	611.36621	580.11194
10_2	6	0	489.82267	686.29851	465.64848	673.46269
10_2	6	1	598.28017	687.97761	531.12592	681.85821
10_3	0	0	1365.96013	675.00000	507.70199	685.07463
10_3	0	1	1440.50367	672.98507	572.17209	683.05970
10_3	1	0	1462.66527	697.16418	1309.54879	705.22388
10_3	1	1	1577.50262	697.16418	1392.15110	719.32836
10_3	2	0	1650.03148	697.16418	1515.04722	715.29851
10_3	2	1	1881.72088	695.14925	1720.54565	715.29851
10_3	3	0	1450.57712	689.10448	1335.73977	705.22388
10_3	3	1	1490.87093	693.13433	1398.19517	715.29851
10_3	4	0	439.20252	556.11940	543.96642	568.20896
10_3	4	1	521.80483	552.08955	614.48059	560.14925
10_3	5	0	1613.76705	562.16418	1587.57608	572.23881
10_3	5	1	1861.57398	564.17910	1780.98636	574.25373
10_3	6	0	481.51102	396.94030	525.83421	421.11940
10_3	6	1	717.22980	427.16418	755.50892	443.28358
10_3	7	0	92.00420	112.23134	75.55089	176.92537
10_3	7	1	163.18993	154.20896	179.30745	215.88060
10_3	8	0	1108.07975	429.17910	952.94858	435.22388
10_3	8	1	1309.54879	405.00000	1126.21196	411.04478
10_3	9	0	1327.68101	616.56716	1212.84365	628.65672
10_3	9	1	1438.48898	564.17910	1372.00420	566.19403
10_3	10	0	916.68416	527.91045	940.86044	525.89552
10_3	10	1	999.28646	537.98507	1007.34523	542.01493
10_4	0	0	1009.08634	437.79434	893.21039	434.57526
10_4	0	1	1110.47779	445.84203	1026.78961	455.49925
10_4	1	0	1147.49371	927.09389	621.22381	927.09389
10_4	1	1	1345.44845	1002.74218	688.81811	1015.61848
10_4	2	0	695.25566	919.04620	244.62699	901.34128
10_4	2	1	1036.44593	877.19821	595.47360	872.36960
10_4	3	0	962.41408	812.81669	683.98994	812.81669
10_4	3	1	1160.36882	833.74069	881.94468	845.00745
10_4	4	0	1205.43168	165.78241	1086.33697	157.73472
10_4	4	1	1382.46438	130.37258	1229.57251	114.27720
