OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
10_1	0	Frey_10_1_1258_1259_1258_1.MP4	18025	Frey_10_1_1258_1259_1259_1.MP4	19034	10.0239	Bottom Time	1.84406	241.00774	25.31187	4.84341	3893.86108	19.78725	57.33508	2.86113	1302.08533	-205.37871	-3663.95244	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Passing			
10_1	1	Frey_10_1_1258_1259_1258_1.MP4	18048	Frey_10_1_1258_1259_1259_1.MP4	19057	10.03669	Bottom Time	1.85686	106.21487	1.42438	0.67371	751.223	7.05372	89.56121	4.47937	29.48171	-87.41225	-745.53734					1	AD	Passing	PLACEHODLER		
10_1	2	Frey_10_1_1258_1259_1258_1.MP4	19997	Frey_10_1_1258_1259_1259_1.MP4	21006	11.12055	Bottom Time	2.94072	55.05184	2.62648	2.10993	1887.01442	24.7661	2.85631	9.59224	751.46259	-245.34023	-1713.4572	Sebastidae	Helicolenus	percoides	37287001	1	AD	Passing			
10_1	3	Frey_10_1_1258_1259_1258_1.MP4	19997	Frey_10_1_1258_1259_1259_1.MP4	21006	11.12055	Bottom Time	2.94072	63.95507	3.7992	2.25593	1360.8433	14.77772	60.71452	1.89956	230.17376	-259.81804	-1315.83021	Sebastidae	Helicolenus	percoides	37287001	1	AD	Passing			
10_1	4	Frey_10_1_1258_1259_1258_1.MP4	21011	Frey_10_1_1258_1259_1259_2.MP4	600	11.68445	Bottom Time	3.50461	54.4773	1.33668	2.10378	1294.09208	18.68037	5.69694	11.69593	-305.26228	-280.37621	-1225.91942	Sebastidae	Helicolenus	percoides	37287001	1	AD	Passing			
10_1	5	Frey_10_1_1258_1259_1258_4.MP4	5441	Frey_10_1_1258_1259_1259_4.MP4	6420	38.54462	Bottom Time	30.36478	333.6053	2.97805	5.35761	1957.05655	25.20051	11.47765	11.64891	833.14343	-15.61618	-1770.79036	Neosebastidae	Neosebastes	scorpaenoides	37287005	1	AD	Passing			
10_1	6	Frey_10_1_1258_1259_1258_5.MP4	18620	Frey_10_1_1258_1259_1259_5.MP4	19599	57.68541	Bottom Time	49.50557	473.93004	7.58449	1.36756	2552.89243	25.80625	38.6935	1.70497	1105.63666	-112.53462	-2298.29574	Platycephalidae	Platycephalus	aurimaculatus	37296035	1	AD	Passing			
10_1	7	Frey_10_1_1258_1259_1258_6.MP4	7366	Frey_10_1_1258_1259_1259_6.MP4	8345	63.23873	Bottom Time	55.05889	231.9946	7.5143	2.57539	2106.62457	13.21291	44.72895	1.77841	-447.75501	-177.11301	-2050.85677	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
10_1	8	Frey_10_1_1258_1259_1258_6.MP4	7366	Frey_10_1_1258_1259_1259_6.MP4	8345	63.23873	Bottom Time	55.05889	186.24685	5.72819	4.04038	1898.86176	25.38553	74.99137	15.16233	-791.83524	188.89935	-1715.51449	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
10_1	9	Frey_10_1_1258_1259_1258_6.MP4	7366	Frey_10_1_1258_1259_1259_6.MP4	8345	63.23873	Bottom Time	55.05889	212.73993	2.0628	0.80384	1045.90042	19.2674	58.23348	3.88415	-344.41904	22.0376	-987.31837	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
10_1	10	Frey_10_1_1258_1259_1258_6.MP4	7366	Frey_10_1_1258_1259_1259_6.MP4	8345	63.23873	Bottom Time	55.05889	188.93096	3.92565	3.1095	1858.1354	18.49023	26.59639	1.0808	-585.53936	-66.42115	-1762.21425	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
10_1	11	Frey_10_1_1258_1259_1258_6.MP4	7366	Frey_10_1_1258_1259_1259_6.MP4	8345	63.23873	Bottom Time	55.05889	212.91713	9.64976	2.08001	2528.82603	18.85511	44.72371	5.15293	-817.25576	-0.69809	-2393.12633	Cheilodactylidae	Nemadactylus	macropterus	37377003	10	AD	Passing			
10_1	12	Frey_10_1_1258_1259_1258_6.MP4	7418	Frey_10_1_1258_1259_1259_6.MP4	8397	63.26765	Bottom Time	55.08781	236.79924	4.27336	3.54792	1968.01807	13.71734	24.54082	2.60255	441.78281	150.39429	-1911.8851	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
10_1	13	Frey_10_1_1258_1259_1258_6.MP4	7418	Frey_10_1_1258_1259_1259_6.MP4	8397	63.26765	Bottom Time	55.08781	253.78444	1.91543	6.74483	1283.38313	18.27132	25.51305	12.62769	388.28298	-105.50822	-1218.67822	Cheilodactylidae	Nemadactylus	macropterus	37377003	2	AD	Passing			
10_2	0	Frey_10_2_1260_1261_1260_1.MP4	14397	Frey_10_2_1260_1261_1261_1.MP4	15338	8.00633	Bottom Time	1.62607	35.23162	0.56927	2.08618	704.00326	8.01312	2.64025	2.4089	19.13965	-96.25351	-697.12949					1	AD	Passing	PLACEHOLDER		
10_2	1	Frey_10_2_1260_1261_1260_1.MP4	16444	Frey_10_2_1260_1261_1261_1.MP4	17385	9.14469	Bottom Time	2.76443	2491.22295	24.39378	3.84217	2170.05808	8.64581	6.58395	21.56137	103.17395	309.47028	-2145.39864	Otariidae	Arctocephalus	forsteri	41 131001	1	AD	Passing			
10_2	2	Frey_10_2_1260_1261_1260_3.MP4	5417	Frey_10_2_1260_1261_1261_3.MP4	6418	26.81957	Bottom Time	20.43931	167.52643	0.75987	2.87214	759.00695	19.6092	25.22593	0.60376	103.66056	-232.67837	-714.98728	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Passing			
10_2	3	Frey_10_2_1260_1261_1260_4.MP4	6357	Frey_10_2_1260_1261_1261_4.MP4	7358	39.15412	Bottom Time	32.77385	165.70344	21.50713	3.43002	3970.18664	21.7943	43.53279	1.54307	1428.08204	-365.17872	-3686.40856	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Passing			
10_2	4	Frey_10_2_1260_1261_1260_6.MP4	1319	Frey_10_2_1260_1261_1261_6.MP4	2320	59.97603	Bottom Time	53.59576	211.0619	1.31982	4.99514	1146.55436	24.79182	16.99609	11.42592	-440.78315	-191.9785	-1040.8849	Cheilodactylidae	Nemadactylus	macropterus	37377003	6	AD	Passing			
10_2	5	Frey_10_2_1260_1261_1260_6.MP4	1319	Frey_10_2_1260_1261_1261_6.MP4	2320	59.97603	Bottom Time	53.59576	214.77367	28.1843	6.997	3920.5892	20.54473	73.50174	7.19624	-1371.39784	-111.03786	-3671.23388	Cheilodactylidae	Nemadactylus	macropterus	37377003	6	AD	Passing			
10_2	6	Frey_10_2_1260_1261_1260_6.MP4	1319	Frey_10_2_1260_1261_1261_6.MP4	2320	59.97603	Bottom Time	53.59576	180.77907	4.79637	1.86614	1944.6198	20.28886	34.48947	0.06004	-642.14293	-205.7601	-1823.96859	Cheilodactylidae	Nemadactylus	macropterus	37377003	5	AD	Passing			
10_3	0	Frey_10_3_1262_1263_1262_1.MP4	12250	Frey_10_3_1262_1263_1263_1.MP4	12965	6.81236	Bottom Time	0.01057	38.16879	0.56494	0.52267	704.61872	6.41321	8.18716	2.68631	3.70031	-78.61746	-700.20936					1	AD	Passing	Placeholder		
10_3	1	Frey_10_3_1262_1263_1262_2.MP4	3298	Frey_10_3_1262_1263_1263_2.MP4	4103	13.82937	Bottom Time	7.02758	144.20761	5.69479	5.53112	1859.80817	21.34021	58.17511	4.21805	639.32313	-222.07033	-1732.29245	Pinguipedidae	Parapercis	allporti	37390001	3	AD	Passing			
10_3	2	Frey_10_3_1262_1263_1262_2.MP4	3373	Frey_10_3_1262_1263_1263_2.MP4	4178	13.87108	Bottom Time	7.06928	208.162	4.342	1.20283	1962.60654	28.57287	45.54407	8.71363	915.17667	-208.68383	-1723.57974	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Passing			
10_3	3	Frey_10_3_1262_1263_1262_2.MP4	3373	Frey_10_3_1262_1263_1263_2.MP4	4178	13.87108	Bottom Time	7.06928	122.70513	5.66036	2.30274	2113.83463	20.7934	36.83045	8.02839	708.2546	-247.97275	-1976.15328	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Passing			
