OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
10_1	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_10_1_1258_1259.EMObs
10_2	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_10_2_1260_1261.EMObs
10_3	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_10_3_1262_1263.EMObs
10_4	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_10_4_1278_1279.EMObs
10_5	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_10_5_1276_1277.EMObs
10_6	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_10_6_1280_1281.EMObs
11_1	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_11_1_1258_1259.EMObs
11_2	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_11_2_1262_1263.EMObs
11_3	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_11_3_1278_1279.EMObs
11_4	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_11_4_1280_1281.EMObs
11_5	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_11_5_1276_1277.EMObs
11_6	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_11_6_1260_1261.EMObs
12_1	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_12_1_1258_1259.EMObs
12_2	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_12_2_1260_1261.EMObs
12_3	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_12_3_1276_1277.EMObs
12_4	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_12_4_1278_1279.EMObs
12_5	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_12_5_1262_1263.EMObs
12_6	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_12_6_1280_1281.EMObs
13_1	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_13_1_1262_1263.EMObs
13_2	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_13_2_1260_1261.EMObs
13_3	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_13_3_1280_1281.EMObs
13_4	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_13_4_1258_1259.EMObs
13_5	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_13_5_1278_1279.EMObs
13_6	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_13_6_1279_1277.EMObs
14_1	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_14_1_1280_1281.EMObs
14_2	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_14_2_1262_1263.EMObs
14_3	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_14_3_1258_1259.EMObs
14_4	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_14_4_1276_1277.EMObs
14_5	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_14_5_1260_1261.EMObs
14_6	1.09	2022 02 04 20:57:52	R:\TAFI\Data\CERF\BRUVS Video\202107_Freycinet\Converted\	Frey_14_6_1278_1279.EMObs
