OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.10	0	L027 (07).MP4	2379	R028 (07).MP4	3966	0.66149		-1.00000	-61.36789	99.13632	-651.37152	0.33935	0.34660	0.87034	1.63916	661.72418	10.35588								sync		
npz6.13	0	L039 (07).MP4	2552	R040 (07).MP4	4253	0.70960		-1.00000	0.67444	100.08666	-846.11837	0.42316	0.45161	1.43515	1.86337	852.01766	6.26476								sync		
npz6.14	0	L029 (01).MP4	14633	R030 (01).MP4	13785	4.06879		-1.00000	11.64185	100.57393	-457.31893	0.23287	0.24872	0.44495	0.36594	468.39220	11.99593								sync		
npz6.14	10	L029 (03).MP4	75253	R030 (03).MP4	74405	65.98703	1	24.18138	993.02451	55.70011	-1719.60673	3.18934	0.85121	5.60714	7.83366	1986.51642	30.02035	Serranidae	Epinephelus	rivulatus	37311022	1	AD	Passing			
npz6.15	0	L043 (07).MP4	1899	R044 (07).MP4	3210	0.52803		-1.00000	-29.32086	74.60885	-617.60435	0.32217	0.32470	0.83293	1.12741	622.78514	7.32956								sync		
npz6.17	0	L031 (08).MP4	9869	R032 (08).MP4	11392	47.82333		-1.00000	-6.83521	-116.26317	-467.55621	0.23736	0.25821	0.46499	4.47829	481.84297	14.24249	Nempiteridae							sync		
npz6.18	0	L035 (03).MP4	20544	R036 (02).MP4	6537	28.23543		-1.00000	31.89741	144.63054	-1291.29269	0.64440	0.74173	3.34017	0.88625	1299.75854	6.18509								sync		
npz6.2	0	L033 (03).MP4	2213	R034 (03).MP4	677	45.69454		-1.00000	-15.84387	99.02039	-1360.22202	0.67183	0.71514	3.69208	3.66911	1363.91349	4.07872								sync		
npz6.20	0	L039 (01).MP4	12270	R040 (01).MP4	10710	3.41174		-1.00000	-123.87123	9.01725	-1280.72387	0.69885	0.62622	3.24666	2.43814	1286.73191	5.52486	Nemipteridae							sync		
npz6.20	3	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	639.84656	-62.93023	-3658.82478	4.78186	1.79227	26.02272	11.78949	3714.88393	10.02482	Carangidae	Carangoides	sp		1	AD	Passing			
npz6.20	4	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1230.01055	-126.26415	-3592.38517	8.49768	1.86194	24.89042	7.67593	3799.22358	19.04808	Carangidae	Carangoides	sp		1	AD	Passing			
npz6.20	5	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1387.52450	581.60388	-2480.60323	5.89693	2.82557	10.62878	0.89993	2901.18591	31.05357	Carangidae	Carangoides	sp		1	AD	Passing			
npz6.20	6	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1345.27374	310.84255	-2606.19008	6.30231	1.99990	12.31550	32.69748	2949.34082	27.80918	Carangidae	Carangoides	sp		1	AD	Passing			
npz6.20	7	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1474.43489	80.22522	-2574.84906	6.60204	1.30503	11.67071	12.26023	2968.20519	29.81062	Carangidae	Carangoides	sp		1	AD	Passing			
npz6.20	14	L039 (04).MP4	48422	R040 (04).MP4	46922	81.11631	1	30.15596	-392.72795	-317.24742	-947.36166	0.82448	0.71592	1.68794	9.58350	1073.48744	28.35842	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.20	15	L039 (04).MP4	48422	R040 (04).MP4	46922	81.11631	1	30.15596	1045.67703	-278.57767	-2565.86261	5.11527	1.75754	12.56787	6.51709	2784.72564	22.99593	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.21	0	L035 (07).MP4	4229	R036 (06).MP4	6337	1.17590		-1.00000	-20.88774	133.82218	-983.26810	0.49341	0.55508	1.95688	3.67367	992.55268	7.48055								sync		
npz6.21	10	L035 (11).MP4	35268	R036 (10).MP4	37496	99.96487	1	38.37806	-454.84635	427.20097	-1391.42790	1.36058	1.35850	3.80629	7.52761	1524.94507	23.90473	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.22	0	L037 (01).MP4	10388	R038 (01).MP4	7417	2.88844		-1.00000	18.47795	-74.16979	-383.37082	0.19103	0.19996	0.29530	3.60748	390.91659	11.69366								sync		
npz6.22	1	L037 (03).MP4	69991	R038 (03).MP4	67020	64.54059	1	13.97007	873.74928	119.54150	-1727.68170	2.70142	0.91372	5.42389	33.53515	1939.74535	26.98668	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.22	2	L037 (04).MP4	48521	R038 (04).MP4	45550	81.11020	1	30.53968	-23.73513	76.36282	-445.40808	0.22661	0.23430	0.40727	4.79042	452.52955	9.76825	Haemulidae	Diagramma	pictum	37350003	3	AD	Passing			
npz6.22	3	L037 (05).MP4	43085	R038 (05).MP4	40114	102.13843	1	51.56791	-328.73874	855.04809	-2656.14473	2.09377	4.70395	13.84453	39.27491	2809.67636	18.62770	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
npz6.22	4	L037 (05).MP4	53995	R038 (05).MP4	51024	105.17201	1	54.60149	-72.35828	233.67306	-1445.45286	0.73871	0.99038	4.17870	19.93941	1466.00572	9.19536	Lethrinidae	Lethrinus	miniatus	37351009	3	AD	Passing			
npz6.24	0	L027 (01).MP4	19517	R028 (01).MP4	18372	5.42681		-1.00000	-53.80611	97.67056	-409.85208	0.20898	0.21813	0.33458	9.65608	424.75094	15.47464								sync		
npz6.26	0	L041 (01).MP4	10106	R042 (01).MP4	7511	2.81003		-1.00000	-11.07511	118.98841	-1513.91218	0.74557	0.82818	4.58452	6.46492	1518.62141	4.22103								sync		
npz6.26	7	L041 (03).MP4	9777	R042 (03).MP4	7182	47.81471	1	11.77927	52.99245	638.28449	-3633.81720	1.79522	4.98229	25.92674	16.00234	3689.82964	9.70339	Labridae	Choerodon	rubescens	37384039	1	AD	Passing	length error for some reason		
npz6.26	13	L041 (03).MP4	32206	R042 (03).MP4	29611	54.05122	1	18.01578	-1716.69345	396.07674	-6748.35875	22.61533	6.54795	89.23506	42.47672	6974.54365	14.56834	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
npz6.26	21	L041 (04).MP4	21061	R042 (04).MP4	18466	73.49175	1	37.45631	-3136.25076	1041.35243	-6811.43710	39.66387	14.11055	87.48515	4.20359	7570.74363	25.78952	Carangidae		spp		1	AD	Passing			
npz6.27	0	L043 (02).MP4	80616	R044 (02).MP4	79837	44.95547		-1.00000	-36.23883	173.84744	-1181.81370	0.59596	0.71957	2.93211	3.23931	1195.08151	8.47617								sync		
