Dot Point Measurements

Generated: Friday 08 October 2021 13:30:50

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
npz6.10.jpg	      0		768	1103													Unknown			Limited					15.8
npz6.10.jpg	      0		725	718													Unknown			Open					28.8
npz6.10.jpg	      0		785	1047													Unknown			Limited					9.5
npz6.10.jpg	      0		974	186													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			86.2
npz6.10.jpg	      0		1054	73													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			100.0
npz6.10.jpg	      0		768	1362													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			43.2
npz6.10.jpg	      0		1018	461													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			58.8
npz6.10.jpg	      0		1072	462													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			61.1
npz6.10.jpg	      0		779	1265													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			32.6
npz6.10.jpg	      0		756	953													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			7.1
npz6.10.jpg	      0		551	317													Open Water			Open					76.1
npz6.10.jpg	      0		872	1535													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.8
npz6.10.jpg	      0		922	991													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			11.4
npz6.10.jpg	      0		759	239													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			79.1
npz6.10.jpg	      0		946	1836													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			95.1
npz6.10.jpg	      0		707	861													Unknown			Open					16.7
npz6.10.jpg	      0		937	1593													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			69.0
npz6.10.jpg	      0		605	1301													Open Water			Open					43.0
npz6.10.jpg	      0		597	1509													Open Water			Open					63.4
npz6.10.jpg	      0		796	1523													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			60.3
npz6.12.jpg	      0		948	1198													Unknown			Limited					36.7
npz6.12.jpg	      0		945	1175													Unknown			Limited					34.4
npz6.12.jpg	      0		691	527													Unconsolidated	Sand	mud (fine sand)	Open		82001015			39.2
npz6.12.jpg	      0		1013	1684													Unconsolidated	Sand	mud (fine sand)	Open		82001015			87.5
npz6.12.jpg	      0		809	1830													Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
npz6.12.jpg	      0		673	32													Unknown			Open					90.5
npz6.12.jpg	      0		564	140													Open Water			Open					82.0
npz6.12.jpg	      0		738	497													Unconsolidated	Sand	mud (fine sand)	Open		82001015			41.1
npz6.12.jpg	      0		832	1549													Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.5
npz6.12.jpg	      0		798	1005													Unconsolidated	Sand	mud (fine sand)	Open		82001015			13.1
npz6.12.jpg	      0		601	112													Open Water			Open					83.8
npz6.12.jpg	      0		896	1393													Unknown			Limited					54.8
npz6.12.jpg	      0		979	1138													Unconsolidated	Sand	mud (fine sand)	Open		82001015			32.8
npz6.12.jpg	      0		921	1668													Unconsolidated	Sand	mud (fine sand)	Open		82001015			83.8
npz6.12.jpg	      0		925	278													Unconsolidated	Sand	mud (fine sand)	Open		82001015			64.8
npz6.12.jpg	      0		735	1296													Unconsolidated	Sand	mud (fine sand)	Open		82001015			44.3
npz6.12.jpg	      0		658	531													Unknown			Open					39.9
npz6.12.jpg	      0		582	68													Open Water			Open					88.8
npz6.12.jpg	      0		693	1388													Unknown			Open					54.6
npz6.12.jpg	      0		1070	109													Unconsolidated	Sand	mud (fine sand)	Open		82001015			86.0
npz6.13.jpg	      0		716	251													Invertebrate Complex	Complex 1		Open					72.6
npz6.13.jpg	      0		667	41													Octocoral/Black	Branching (3D)		Open		11168902			95.4
npz6.13.jpg	      0		656	1415													Open Water			Open					53.2
npz6.13.jpg	      0		663	1859													Open Water			Open					100.0
npz6.13.jpg	      0		698	227													Invertebrate Complex	Complex 1		Open					75.3
npz6.13.jpg	      0		621	542													Open Water			Open					44.1
npz6.13.jpg	      0		985	695													Consolidated	Rock	Turf mat	Open		82001002			34.3
npz6.13.jpg	      0		661	1760													Open Water			Open					89.5
npz6.13.jpg	      0		974	1709													Invertebrate Complex	Complex 1		Open					86.3
npz6.13.jpg	      0		1058	1439													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			62.8
npz6.13.jpg	      0		767	617													Invertebrate Complex	Complex 1		Open					33.3
npz6.13.jpg	      0		578	1188													Open Water			Open					34.2
npz6.13.jpg	      0		670	833													Open Water			Open					14.5
npz6.13.jpg	      0		567	956													Open Water			Open					21.4
npz6.13.jpg	      0		763	1609													Open Water			Open					72.6
npz6.13.jpg	      0		736	957													Open Water			Open					4.4
npz6.13.jpg	      0		989	558													Bryozoa			Open		20000000			46.3
npz6.13.jpg	      0		597	33													Open Water			Open					97.4
npz6.13.jpg	      0		902	396													Invertebrate Complex	Complex 1		Open					58.7
npz6.13.jpg	      0		1042	1494													Invertebrate Complex	Complex 1		Open					67.2
npz6.14.jpg	      0		612	891													Macroalgae	Erect fine branching	Red	Open		90300910			24.6
npz6.14.jpg	      0		795	245													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			81.3
npz6.14.jpg	      0		1044	1821													Unknown			Limited					80.5
npz6.14.jpg	      0		903	411													Macroalgae	Erect fine branching	Red	Open		90300910			65.6
npz6.14.jpg	      0		752	1760													Macroalgae	Erect fine branching	Red	Open		90300910			70.5
npz6.14.jpg	      0		817	1012													Macroalgae	Erect fine branching	Red	Open		90300910			5.1
npz6.14.jpg	      0		739	1315													Unknown			Limited					26.4
