OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
npz6.10	0	0	1262.81074	358.40178	380.16240	350.01110
npz6.10	1	0	643.21810	495.95531	382.55185	501.98883
npz6.10	1	1	237.73727	384.93855	0.00000	448.89385
npz6.10	2	0	1071.62791	722.81564	773.55123	680.58101
npz6.10	2	1	831.47706	494.74860	487.54243	488.71508
npz6.10	3	0	797.68699	771.08380	465.82024	767.46369
npz6.10	3	1	381.34507	752.98324	95.33627	778.32402
npz6.10	4	0	862.85355	792.80447	599.77373	765.05028
npz6.10	4	1	540.64111	730.05587	277.56128	739.70950
npz6.10	5	0	535.81395	608.17877	392.20616	620.24581
npz6.10	5	1	133.95349	527.32961	15.68825	593.69832
npz6.10	6	0	400.65368	687.82123	375.31113	701.09497
npz6.10	6	1	56.71904	651.62011	78.44123	703.50838
npz6.10	7	0	1242.99183	574.39106	1133.17410	489.92179
npz6.10	7	1	948.53551	532.15642	821.82275	489.92179
npz6.10	8	0	1340.74167	451.30726	1025.76996	371.66480
npz6.10	8	1	1909.13891	543.01676	1548.30924	390.97207
npz6.10	9	0	1578.47894	699.88827	1539.86172	576.80447
npz6.10	9	1	1288.84978	676.96089	1246.61219	581.63128
npz6.10	10	0	639.59774	491.12849	594.94657	470.61453
npz6.10	10	1	384.96543	452.51397	363.24324	469.40782
npz6.10	11	0	506.85104	553.87709	572.01760	543.01676
npz6.10	11	1	273.94092	553.87709	349.96857	574.39106
npz6.13	0	0	1291.74684	369.31384	650.12658	371.74353
npz6.13	1	0	1888.62351	380.11173	1440.90509	375.28492
npz6.13	1	1	1207.99497	575.59777	883.36895	581.63128
npz6.13	2	0	1596.58077	593.69832	1409.52860	599.73184
npz6.13	2	1	1192.30673	610.59218	1005.25456	611.79888
npz6.13	3	0	556.32935	354.77095	445.30484	358.39106
npz6.13	3	1	232.91012	218.41341	119.47203	240.13408
npz6.13	4	0	1520.55311	580.42458	1352.80955	584.04469
npz6.13	4	1	1185.06600	631.10615	989.56631	631.10615
