OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
npz6.10	0	1	L027 (09).MP4	28830	53.09554	L027 (12).MP4	1772	113.20726	1
npz6.13	0	1	L039 (09).MP4	50435	59.10293	L039 (12).MP4	23134	119.13040	1
npz6.14	0	1	L029 (02).MP4	69348	41.80565	L029 (05).MP4	42986	102.09394	1
npz6.15	0	1	L043 (10).MP4	11318	70.71592				0
npz6.17	0	1	L031 (08).MP4	28827	53.09471	L031 (11).MP4	1494	113.11328	1
npz6.18	0	1 	L035 (03).MP4	44253	34.82785	L035 (06).MP4	17187	94.92038	1
npz6.2	0	1	L033 (03).MP4	38329	55.73679	L033 (06).MP4	11020	115.77872	1
npz6.20	0	1	L039 (03).MP4	21090	50.96035	L039 (05).MP4	74995	111.04482	1
npz6.21	0	1	L035 (09).MP4	59368	61.58680	L035 (12).MP4	32324	121.68573	1
npz6.22	0	1	L037 (03).MP4	19749	50.57052	L037 (05).MP4	73493	110.59354	1
npz6.24	0	1	L027 (03).MP4	7909	47.29530	L027 (05).MP4	61649	107.31721	1
npz6.26	0	1	L041 (02).MP4	48476	36.03544	L041 (05).MP4	21112	96.04567	1
npz6.27	0	1	L043 (03).MP4	31355	53.79763	L043 (06).MP4	3961	113.81592	1
npz6.28	0	1	L037 (18).MP4	53832	105.07636	L037 (21).MP4	27129	165.28679	1
npz6.36	0	1	L027 (20).MP4	27536	52.73574	L027 (23).MP4	256	112.76905	1
npz6.4	0	1	L029 (08).MP4	44161	57.32505	L029 (11).MP4	16787	117.34890	1
npz6.5	0	1	L041 (08).MP4	65484	63.30435	L041 (11).MP4	38486	123.41607	1
npz6.6	0	1	L031 (02).MP4	59669	18.62722	L031 (05).MP4	32864	78.80956	1
npz6.8	0	1	L033 (10).MP4	9164	70.13340	L033 (12).MP4	64961	130.72699	1
npz6.9	0	1	L037 (09).MP4	65033	63.16199	L037 (12).MP4	37754	123.19557	1
npz6.BOSS41	0	1	L033 (18).MP4	62877	85.08528	L033 (21).MP4	36290	145.31128	1
npz6.C01	0	1	L039 (18).MP4	78575	111.98993	L039 (21).MP4	51273	172.00016	1
npz6.C02	0	1	L043 (19).MP4	16529	94.68765	L043 (21).MP4	70288	154.71484	1
npz9.1	0	1	L027 (020).MP4	77	67.60698	L027 (022).MP4	53818	127.62889	1
npz9.10	0	1	L033 (013).MP4	32840	76.76697	L033 (016).MP4	5440	136.76719	1
npz9.11	0	1	L039 (05).MP4	16154	94.63315	L039 (07).MP4	70458	154.82856	1
npz9.12	0	1	L031 (03).MP4	68017	64.00867	L031 (06).MP4	40672	124.02390	1
npz9.13	0	1	L031 (019).MP4	9788	70.34027	L031 (021).MP4	63432	130.35217	1
npz9.14	0	1	L029 (011).MP4	18847	72.84249	L029 (013).MP4	72508	132.84215	1
npz9.16	0	1	L033 (20).MP4	46345	80.45538	L033 (23).MP4	19004	140.47172	1
npz9.17	0	1	L029 (019).MP4	14442	71.63434				0
npz9.18	0	1	L039 (020).MP4	34385	77.17960	L039 (023).MP4	7130	137.23682	1
npz9.19	0	1	R042 (05).MP4	16269	94.64844	R042 (07).MP4	69983	154.66284	1
npz9.2	0	1	L031 (011).MP4	43497	79.73021	L031 (014).MP4	16148	139.74461	1
npz9.21	0	1	L035 (012).MP4	21419	73.55765	L035 (014).MP4	75394	133.64462	1
npz9.22	0	1	L037 (011).MP4	44246	79.88814	L037 (014).MP4	16909	139.90532	1
npz9.24	0	1	L039 (011).MP4	76768	66.40829	L039 (014).MP4	49420	126.42241	1
npz9.25	0	1	L035 (020).MP4	48070	81.00148	L035 (023).MP4	20693	141.02477	1
npz9.26	0	1	L037 (03).MP4	74884	65.90111	L037 (06).MP4	47598	125.94943	1
npz9.27	0	1	L037 (019).MP4	26759	75.00938	L037 (021).MP4	80473	135.02406	1
npz9.28	0	1	L043 (020).MP4	23115	73.96278	L043 (022).MP4	76263	133.82008	1
npz9.29	0	1	L029 (03).MP4	78889	67.03169	L029 (06).MP4	51429	127.03163	1
npz9.3	0	1	L027 (012).MP4	6922	69.54336	L027 (014).MP4	59966	129.38843	1
npz9.30	0	1	L043 (05).MP4	24319	96.93740	L043 (07).MP4	78887	157.18953	1
npz9.4	0	1	R042 (013).MP4	40577	78.91828				0
npz9.5	0	1	L033 (05).MP4	246	68.56377	L033 (07).MP4	53909	128.56427	1
npz9.7	0	1	L027 (05).MP4	39250	101.08904	L027 (08).MP4	11850	161.08898	1
npz9.8	0	1	L043 (011).MP4	76950	66.42553	L043 (014).MP4	49523	126.43464	1
npz9.9	0	1	L035 (05).MP4	7013	92.12537	L035 (07).MP4	60679	152.12670	1
