OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
1.01	7	1.01_L373.avi	30992	1.01_R374.avi	30783	20.66133	1	11.81733	647.95931	-40.20356	-3590.41476	2.52341	1.23036	13.14965	7.78519	3648.63615	10.22942	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	11	1.01_L373.avi	31105	1.01_R374.avi	30896	20.73667	1	11.89267	127.50912	-121.86084	-2843.55529	1.01552	1.05046	8.36582	7.67501	2849.02006	3.15568	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	14	1.01_L373.avi	49990	1.01_R374.avi	49781	33.32667	1	24.48267	1123.71724	273.90464	-4825.5123	5.37214	1.91771	23.31401	6.64381	4962.19035	13.6374	Carangidae	Decapterus	spp		1	AD	Passing			
1.01	15	1.01_L373.avi	52614	1.01_R374.avi	52405	35.076	1	26.232	-1613.57418	943.22496	-10139.38928	16.37031	9.12602	103.25616	10.22371	10310.21387	10.7678	Carcharhinidae		sp10		1	AD	Passing			
1.01	16	1.01_L373.avi	59048	1.01_R374.avi	58839	39.36533	1	30.52133	921.1746	56.3648	-2649.07143	2.33835	0.87242	6.90713	0.6206	2805.23066	19.25459	Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
1.02	2	1.02_L369.avi	30923	1.02_R370.avi	31029	20.61533	1	9.57867	1434.12265	-25.91757	-5153.35763	7.07962	1.89801	26.05057	16.4972	5349.24988	15.57756	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.02	9	1.02_L369.avi	76715	1.02_R370.avi	76821	51.14333	1	40.10667	-806.42906	77.70362	-2133.74286	1.64746	0.70841	4.4088	5.74887	2282.37251	20.94006	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.03	5	1.03_L367.avi	40939	1.03_R368.avi	40125	27.29267	1	19.39467	-895.39819	174.38968	-2406.25112	2.00489	0.8476	5.53078	0.87867	2573.36242	20.92355	Carangidae	Decapterus	spp		1	AD	Passing			
1.03	8	1.03_L367.avi	56483	1.03_R368.avi	55669	37.65533	1	29.75733	-836.67751	-84.14435	-1994.74504	1.51388	0.67745	3.67393	0.26196	2164.74417	22.79292	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1.03	13	1.03_L367.avi	76821	1.03_R368.avi	76007	51.214	1	43.316	-756.93587	-46.36769	-1819.11326	1.28493	0.60455	3.07725	1.97516	1970.85639	22.59549	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.03	17	1.03_L367.avi	79945	1.03_R368.avi	79131	53.29667	1	45.39867	1580.42824	1067.99851	-4895.89516	7.167	4.89148	23.12246	3.55112	5254.34712	21.72948	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.03	18	1.03_L367.avi	79945	1.03_R368.avi	79131	53.29667	1	45.39867	1301.28001	1079.71556	-4317.13345	5.28024	4.41619	18.13839	24.92082	4636.45949	21.89197	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.03	19	1.03_L367.avi	80004	1.03_R368.avi	79190	53.336	1	45.438	1201.74716	994.56107	-5925.79189	7.07311	5.68833	35.03876	3.409	6127.67145	15.2542	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.05	11	1.05_L371.avi	79123	1.05_R372.avi	77710	52.74867	1	40.572	373.43734	-171.86652	-1284.75683	0.61236	0.48829	1.70189	10.82526	1348.92315	17.51461	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.05	14	1.05_L371.avi	79177	1.05_R372.avi	77764	52.78467	1	40.608	757.20622	281.50269	-1941.3083	1.39544	0.79132	3.63847	15.46795	2102.6847	22.79622	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.05	20	1.05_L371.avi	89532	1.05_R372.avi	88119	59.688	1	47.51133	-387.74782	854.74796	-5489.40484	2.75392	4.80961	30.93723	46.35269	5569.06706	10.21928	Scombridae	Scomberomorus	commerson	37441007	1	AD	Passing			
1.06	3	1.06_L378.avi	30621	1.06_R377.avi	31226	20.414	1	9.35533	-265.40991	-261.08599	-5476.02102	2.30168	2.54697	30.54067	2.1699	5488.66236	3.49676	Carangidae	Decapterus	spp		1	AD	Passing			
1.06	7	1.06_L378.avi	37907	1.06_R377.avi	38512	25.27133	1	14.21267	433.14493	-233.02484	-5185.86808	2.78903	2.30215	27.42339	3.16427	5209.14032	5.16191	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
1.06	8	1.06_L378.avi	37907	1.06_R377.avi	38512	25.27133	1	14.21267	556.23944	-221.27259	-5970.07947	3.80657	2.63869	36.23986	3.21308	6000.01773	5.53319	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
1.06	16	1.06_L378.avi	44138	1.06_R377.avi	44743	29.42533	1	18.36667	283.00824	622.83741	-2687.35491	1.1562	1.84954	7.4919	1.07512	2773.06626	14.82787	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.06	28	1.06_L378.avi	78301	1.06_R377.avi	78906	52.20067	1	41.142	1318.92546	-6.83267	-4041.26198	5.04973	1.34416	16.06248	1.10938	4251.04804	18.08152	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.06	31	1.06_L378.avi	78334	1.06_R377.avi	78939	52.22267	1	41.164	-828.0468	-182.34912	-1938.13531	1.4888	0.72531	3.54618	12.51347	2115.48605	23.50665	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.06	32	1.06_L378.avi	78334	1.06_R377.avi	78939	52.22267	1	41.164	585.51838	-158.91512	-1813.70648	1.14317	0.68337	3.34003	0.64317	1912.48973	18.34792	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.06	33	1.06_L378.avi	78337	1.06_R377.avi	78942	52.22467	1	41.166	1014.46621	-100.47813	-2829.85509	2.72286	0.99412	7.86642	1.69428	3007.87589	19.76084	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
2.03	0	2.03_L372.avi	9551	2.03_R371.avi	9689	6.36733		-1	-27.05216	-40.34068	-680.93522	0.24917	0.24125	0.53007	5.83388	682.66534	3.64239					1			sync		
2.03	6	2.03_L372.avi	94342	2.03_R371.avi	94480	62.89467	1	55.776	-351.19602	-263.85647	-1308.76519	0.61873	0.58123	1.84722	5.68767	1380.51628	18.2331	Synodontidae	Synodus	sp10		1	AD	Passing			
2.04	0	2.04_L375.avi	16595	2.04_R376.avi	16261	11.06333	1	2.23067	6.79064	-222.47505	-2217.7059	0.75113	0.91799	5.15023	12.00475	2228.84739	5.36991	Bothidae		spp		1	AD	Passing			
2.04	1	2.04_L375.avi	16721	2.04_R376.avi	16387	11.14733	1	2.31467	-636.14697	-216.09967	-1605.03972	1.01052	0.61911	2.46644	14.77994	1739.98118	22.59975	Bothidae		spp		1	AD	Passing			
2.04	4	2.04_L375.avi	28688	2.04_R376.avi	28353	19.12533	1	10.29267	2196.45973	1551.4012	-8391.06879	17.55049	12.43789	68.98905	83.14723	8811.43101	17.98013	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
2.04	9	2.04_L375.avi	68803	2.04_R376.avi	68468	45.86867	1	37.036	-1367.78563	507.48349	-5761.98975	7.67385	3.26543	32.93396	31.2143	5943.81215	14.33798	Carangidae	Decapterus	spp		1	AD	Passing			
