OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity
1.01	0	1.01_L373.avi	13332	1.01_R374.avi	13123	8.888	1	0.044	60.32225	0.82431	3.71427	1252.18427	17.35019	12.77054	12.1071	250.08068	-277.30597	-1195.20982	Labridae	Coris	caudimacula	37384092	1	AD	Passing
1.01	1	1.01_L373.avi	19445	1.01_R374.avi	19236	12.96333	1	4.11933	119.44867	9.56944	6.22461	3114.31732	8.9507	43.25408	2.87531	437.61158	-208.02616	-3076.39295	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing
1.01	2	1.01_L373.avi	19611	1.01_R374.avi	19402	13.074	1	4.23	65.15812	5.31176	8.01058	3187.04998	5.31806	20.20898	5.52882	216.482	-200.97457	-3173.33143	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing
1.01	3	1.01_L373.avi	30920	1.01_R374.avi	30711	20.61333	1	11.76933	62.92525	1.63398	6.15789	2932.18663	4.89256	0.97711	1.35436	209.68992	-136.27047	-2921.50286	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	4	1.01_L373.avi	30950	1.01_R374.avi	30741	20.63333	1	11.78933	48.98342	2.34212	8.06669	3475.24017	4.23288	3.88629	2.39642	-250.19782	-56.55075	-3465.76071	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	5	1.01_L373.avi	30990	1.01_R374.avi	30781	20.66	1	11.816	47.72524	4.4283	5.48046	2690.45092	4.52154	24.46197	12.79956	-81.60181	-195.77284	-2682.07761	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	6	1.01_L373.avi	30992	1.01_R374.avi	30783	20.66133	1	11.81733	72.02381	2.04294	9.13008	2613.11607	7.93265	7.39631	15.08529	-317.0502	-171.85906	-2588.11113	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	8	1.01_L373.avi	30993	1.01_R374.avi	30784	20.662	1	11.818	68.8576	5.34656	5.39486	2692.6673	6.33902	29.45304	1.8524	-262.3565	-139.8458	-2676.20429	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	9	1.01_L373.avi	30993	1.01_R374.avi	30784	20.662	1	11.818	60.03917	2.07968	6.3859	2814.72281	3.8518	7.47648	0.10766	-145.51206	-120.73993	-2808.36476	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	10	1.01_L373.avi	31011	1.01_R374.avi	30802	20.674	1	11.83	40.72928	1.3294	6.22021	2570.47128	4.31078	2.84428	3.04985	62.62806	-182.78131	-2563.19943	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing
1.01	12	1.01_L373.avi	36388	1.01_R374.avi	36179	24.25867	1	15.41467	619.21661	7.27595	8.28405	4988.00934	11.50307	2.95292	7.98286	-976.47276	189.60712	-4887.8203	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing
1.01	13	1.01_L373.avi	49987	1.01_R374.avi	49778	33.32467	1	24.48067	329.9371	2.76271	2.86982	2650.3647	18.18597	0.48794	13.97304	799.38257	212.65508	-2517.97505	Carangidae	Decapterus	spp		1	AD	Passing
1.01	17	1.01_L373.avi	59117	1.01_R374.avi	58908	39.41133	1	30.56733	405.07652	7.84998	3.70546	4895.56544	14.01577	0.04971	3.204	1185.62742	7.62033	-4749.82005	Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing
1.01	18	1.01_L373.avi	64389	1.01_R374.avi	64180	42.926	1	34.082	303.99529	3.8258	5.75788	3649.3823	9.79981	5.58473	8.4884	596.57179	-172.99323	-3596.13217	Balistidae	Abalistes	stellatus	37465011	1	AD	Passing
1.01	19	1.01_L373.avi	94172	1.01_R374.avi	93963	62.78133	1	53.93733	590.07547	1.45592	9.20678	2350.82963	6.83489	1.73659	14.9292	59.51596	273.36537	-2334.12278	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing
1.01	20	1.01_L373.avi	94183	1.01_R374.avi	93974	62.78867	1	53.94467	290.53383	1.2918	2.909	1755.05893	13.2558	6.24922	18.27303	-397.01392	65.82037	-1708.29724	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing
1.01	21	1.01_L373.avi	94263	1.01_R374.avi	94054	62.842	1	53.998	569.79005	8.1442	5.88517	3410.77964	9.51794	28.57362	6.63701	366.3802	428.78302	-3363.82645	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing
1.01	22	1.01_L373.avi	94588	1.01_R374.avi	94379	63.05867	1	54.21467	373.09115	2.26463	4.74973	1800.1955	13.72957	25.40505	4.65506	-382.37454	-190.62703	-1748.7581	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing
1.01	23	1.01_L373.avi	94717	1.01_R374.avi	94508	63.14467	1	54.30067	356.29484	3.37995	10.15322	3311.0896	12.02837	1.85401	3.20147	672.9055	-152.71686	-3238.39313	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing
1.02	0	1.02_L369.avi	20663	1.02_R370.avi	20769	13.77533	1	2.73867	61.5469	1.19976	1.8374	1747.55284	8.95182	10.98706	17.86692	144.78663	-230.17514	-1726.26683	Microdesmidae	Gunnellichthys	monostigma	37435004	1	AD	Passing
1.02	1	1.02_L369.avi	30682	1.02_R370.avi	30788	20.45467	1	9.418	407.51415	2.27288	3.42892	2873.11773	6.52159	5.60254	0.21799	-324.93457	-30.05486	-2854.52618	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing
1.02	3	1.02_L369.avi	51970	1.02_R370.avi	52076	34.64667	1	23.61	392.78384	2.77043	2.67325	2076.28049	16.11915	23.79237	3.03511	-568.17237	97.3367	-1994.65445	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing
1.02	4	1.02_L369.avi	52066	1.02_R370.avi	52172	34.71067	1	23.674	350.85673	1.86136	1.03686	2134.89692	14.20424	6.52324	5.30692	514.45638	98.80794	-2069.62714	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing
1.02	5	1.02_L369.avi	63905	1.02_R370.avi	64011	42.60333	1	31.56667	408.34856	1.58605	0.15269	1926.36764	10.21822	10.13738	4.63049	338.71786	-45.2963	-1895.81401	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing
1.02	6	1.02_L369.avi	63934	1.02_R370.avi	64040	42.62267	1	31.586	362.28865	2.00731	2.38778	1896.98773	8.40763	19.59148	10.31988	-234.67494	147.85279	-1876.60056	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing
1.02	7	1.02_L369.avi	76638	1.02_R370.avi	76744	51.092	1	40.05533	201.79458	8.34969	3.31594	3893.19901	18.02719	19.69666	7.29145	-1203.92749	46.40634	-3702.08098	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing
1.02	8	1.02_L369.avi	76659	1.02_R370.avi	76765	51.106	1	40.06933	283.4247	0.931	5.1607	1640.8325	5.73885	3.38323	9.55021	-151.36626	-63.31337	-1632.60864	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing
1.02	10	1.02_L369.avi	76908	1.02_R370.avi	77014	51.272	1	40.23533	280.95295	0.96022	4.42858	1355.79571	3.29805	14.64328	13.86866	-71.53711	-31.08539	-1353.5502	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing
1.02	11	1.02_L369.avi	76996	1.02_R370.avi	77102	51.33067	1	40.294	303.78851	0.93198	3.57867	1047.88938	6.74844	29.28593	9.51299	-115.06376	43.85507	-1040.62924	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing
1.02	12	1.02_L369.avi	77005	1.02_R370.avi	77111	51.33667	1	40.3	281.54962	2.11373	2.11683	1755.08689	7.89701	25.14866	4.87775	231.54285	67.3395	-1738.44278	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing
1.02	13	1.02_L369.avi	77298	1.02_R370.avi	77404	51.532	1	40.49533	463.4905	1.16616	3.66712	1082.30044	2.76639	36.07165	7.91998	-51.72201	7.31016	-1081.03915	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing
1.02	14	1.02_L369.avi	77331	1.02_R370.avi	77437	51.554	1	40.51733	543.769	1.55924	4.32475	1711.45622	14.00972	15.37522	13.05814	414.2981	-4.30472	-1660.54839	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing
1.02	15	1.02_L369.avi	77466	1.02_R370.avi	77572	51.644	1	40.60733	493.37999	6.89338	11.70468	2644.96922	9.35669	43.60204	10.61022	374.94054	210.56162	-2609.77883	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing
1.03	0	1.03_L367.avi	36836	1.03_R368.avi	36022	24.55733	1	16.65933	463.54905	1.17062	0.76797	1616.76582	7.1619	9.58369	6.02025	-200.36766	21.9633	-1604.15153	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing
1.03	1	1.03_L367.avi	36861	1.03_R368.avi	36047	24.574	1	16.676	409.21426	1.5317	2.31876	2071.95791	11.70525	0.81934	4.22005	-412.70954	79.79485	-2028.86993	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing
1.03	2	1.03_L367.avi	36924	1.03_R368.avi	36110	24.616	1	16.718	481.64403	2.99487	3.82078	2762.40322	16.47626	2.22296	10.28981	779.7365	76.36718	-2648.97161	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing
1.03	3	1.03_L367.avi	37113	1.03_R368.avi	36299	24.742	1	16.844	215.98898	4.61396	0.52061	2447.95299	14.233	34.18855	16.09506	-368.2922	476.03083	-2372.81044	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing
1.03	4	1.03_L367.avi	38172	1.03_R368.avi	37358	25.448	1	17.55	597.91033	3.5312	0.56612	1844.15232	16.05888	46.97758	0.15926	-485.31841	157.18622	-1772.1897	Lutjanidae	Pristipomoides	filamentosus	37346032	1	AD	Passing
1.03	6	1.03_L367.avi	40947	1.03_R368.avi	40133	27.298	1	19.4	468.83121	8.07548	7.61418	2594.6651	20.84946	78.65327	3.06751	-857.98374	341.57601	-2424.76323	Carangidae	Decapterus	spp		1	AD	Passing
1.03	7	1.03_L367.avi	50483	1.03_R368.avi	49669	33.65533	1	25.75733	370.06287	3.93307	1.52245	2145.52476	10.54451	36.23756	9.64564	-39.47625	390.64009	-2109.29335	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing
1.03	9	1.03_L367.avi	58462	1.03_R368.avi	57648	38.97467	1	31.07667	330.96619	3.2997	1.33249	2831.22709	17.60324	5.80603	2.54495	-849.65212	105.93293	-2698.65084	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing
1.03	10	1.03_L367.avi	58522	1.03_R368.avi	57708	39.01467	1	31.11667	365.24805	3.45591	6.32612	2397.9728	16.00082	21.91291	9.27001	620.54715	227.69973	-2305.06999	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing
1.03	11	1.03_L367.avi	67100	1.03_R368.avi	66286	44.73333	1	36.83533	348.78358	8.72835	7.08877	4285.08894	20.07862	17.29668	22.0245	1243.55088	785.96867	-4024.65174	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing
1.03	12	1.03_L367.avi	74297	1.03_R368.avi	73483	49.53133	1	41.63333	405.91273	3.59659	1.69038	2563.73996	15.36482	21.13588	0.697	-382.17944	561.59267	-2472.10743	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing
1.03	14	1.03_L367.avi	78542	1.03_R368.avi	77728	52.36133	1	44.46333	348.14867	3.37039	4.69106	2363.25835	11.0498	24.92263	17.86815	-60.41251	448.90007	-2319.44586	Carangidae	Seriola	dumerili	37337025	1	AD	Passing
1.03	15	1.03_L367.avi	78735	1.03_R368.avi	77921	52.49	1	44.592	323.03361	4.29105	2.70658	2529.45731	19.55918	29.91968	19.17855	-827.72695	178.77282	-2383.49798	Carangidae	Seriola	rivoliana	37337052	1	AD	Passing
1.03	16	1.03_L367.avi	78752	1.03_R368.avi	77938	52.50133	1	44.60333	313.12212	1.78795	1.42505	2088.37183	16.87602	4.65716	2.39309	-568.46357	210.70802	-1998.43644	Carangidae	Seriola	rivoliana	37337052	1	AD	Passing
1.03	20	1.03_L367.avi	80041	1.03_R368.avi	79227	53.36067	1	45.46267	395.52297	6.58695	3.14054	5988.04826	13.04836	2.48914	8.68934	-684.09774	1166.08622	-5833.43597	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing
1.03	21	1.03_L367.avi	93257	1.03_R368.avi	92443	62.17133	1	54.27333	315.71629	2.59592	4.72794	3285.09546	8.49443	1.69081	4.15086	-449.17841	183.59877	-3249.0587	Balistidae	Abalistes	filamentosus	37465089	1	AD	Passing
1.04	0	1.04_L375.avi	55733	1.04_R376.avi	55307	37.15533	1	27.93067	274.45492	6.36128	1.78887	3029.31809	8.90816	27.57253	4.07172	372.36312	285.29697	-2992.77788	Balistidae	Abalistes	filamentosus	37465089	1	AD	Passing
1.04	1	1.04_L375.avi	60652	1.04_R376.avi	60226	40.43467	1	31.21	531.56468	3.13552	2.33855	3003.06869	15.1901	5.42	4.70009	-645.86472	449.47263	-2898.14677	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing
