Family_correct,Genus_correct,Species_correct,Family,Genus,Species,Comment
Odacidae,Heteroscarus,acroptilus,Odacidae,Odax,acroptilus,
Odacidae,Heteroscarus,acroptilus,,Odax,acroptilus,
Balistidae,Rhinecanthus,aculeatus,Balistidae,Abalistes,aculeatus,
Pempherididae,Pempheris,adusta,Pempheridae,Pempheris,adusta,
Pempherididae,Pempheris,affinis,Pempheridae,Pempheris,affinis,
Serranidae,Chromileptes,altivelis,Serranidae,Cromileptes,altivelis,
Serranidae,Chromileptes,altivelis,,Cromileptes,altivelis,
Labridae,Pteragogus,enneacanthus,Labridae,Pteragogus,amboinensis,
Pempherididae,Pempheris,analis,Pempheridae,Pempheris,analis,
Scyliorhinidae,Asymbolus,analis,Scyliorhinidae,Asymbolis,analis,
Scyliorhinidae,Asymbolus,analis,,Asymbolis,analis,
Apogonidae,Ostorhinchus,angustatus,Apogonidae,Apogon,angustatus,
Exocoetidae,Cypselurus,angusticeps,,Cypselurus,angusticeps,
Labridae,Eupetrichthys,angustipes,Labridae,Eupetrichthys,angustipies,
Triakidae,Mustelus,antarcticus,Triakidae,Mustelus,antarticus,
Platycephalidae,Platycephalus,endrachtensis,Platycephalidae,Platycephalus,arenarius,
Siganidae,Siganus,argenteus,Siganidae,Signanus,argenteus,
Dasyatidae,Maculabatis,astra,Dasyatidae,Himantura,astra,
Dasyatidae,Pastinachus,ater,Dasyatidae,Pastinachus,atrus,
Sparidae,Chrysophrys,auratus,Sparidae,Chrysophrys,auratu,
Sparidae,Chrysophrys,auratus,Sparidae,Chyrosophyrs,auratus,
Sparidae,Chrysophrys,auratus,Sparidae,Chyrsophyrs,auratus,
Sparidae,Chrysophrys,auratus,Sparidae,Pagrus,auratus,
Sparidae,Chrysophrys,auratus,,Pagrus,auratus,
Sparidae,Chrysophrys,auratus,,Chrysophrys,auratus,
Sparidae,Chrysophrys,auratus,,Chyrosophyrs,auratus,
Sparidae,Chrysophrys,auratus,,Chyrsophyrs,auratus,
Apogonidae,Ostorhinchus,aureus,Apogonidae,Apogon,aureus,
Myliobatidae,Myliobatis,tenuicaudatus,Myliobatidae,Myliobatis,australis,
Myliobatidae,Myliobatis,tenuicaudatus,Myliobatididae,Myliobatis,australis,
Myliobatidae,Myliobatis,tenuicaudatus,,Mylobatis,australis,
Myliobatidae,Myliobatis,tenuicaudatus,Mylobatididae,Mylobatis,australis,
Tetrarogidae,Centropogon,australis,Scorpaenidae,Centropogon,australis,
Anguillidae,Anguilla,australis,Anguillidae,Anguilla,australis australis,
Monacanthidae,Nelusetta,ayraud,Monacanthidae,Nelusetta,ayraudi,
Carangidae,Trachinotus,baillonii,Carangidae,Trachinotus,bailloni,
Scaridae,Cetoscarus,ocellatus,Scaridae,Cetoscarus,bicolor,
Mullidae,Parupeneus,trifasciatus,Mullidae,Parupeneus,bifasciatus,
Kyphosidae,Kyphosus,bigibbus,Kyphosidae,Kyphosus,biggibus,
Nemipteridae,Scolopsis,bilineata,Nemipteridae,Scolopsis,bilineatus,
Labridae,Oxycheilinus,bimaculatus,Labridae,Cheilinus,bimaculatus,
Mobulidae,Mobula,birostris,Mobulidae,Manta,birostris,
Mobulidae,Mobula,birostris,,Manta,birostris,
Mobulidae,Mobula,birostris,Myliobatidae,Mobula,birostris,
Lutjanidae,Lutjanus,bitaeniatus,Lethrinidae,Lethrinus,bitaeniatus,
Scyliorhinidae,Figaro,boardmani,Scyliorhinidae,Galeus,boardmani,
Scyliorhinidae,Figaro,boardmani,,Galeus,boardmani,
Neosebastidae,Neosebastes,bougainvillii,Neosebastidae,Neosebastes,bougainvilli,
Rhinobatidae,Aptychotrema,rostrata,Rhinobatidae,Aptychotrema,bougainvillii,
Dasyatidae,Bathytoshia,brevicaudata,Dasyatidae,Dasyatis,brevicaudata,
Dasyatidae,Bathytoshia,brevicaudata,Dasyatidae,Dasyatis,brevicaudatus,
Mugilidae,Valamugil,buchanani,Mugilidae,Crenimugil,buchanani,
Mugilidae,Valamugil,buchanani,Mugilidae,Moolgarda,buchanani,
Mugilidae,Valamugil,buchanani,Mugilidae,Vagamugil,buchanani,
Glaucosomatidae,Glaucosoma,buergeri,Glaucosomatidae,Glaucosoma,burgeri,
Platycephalidae,Platycephalus,caeruleopunctatus,Platycephalidae,Platycephalus,caerulepunctatus,
Rachycentridae,Rachycentron,canadum,Rachycentridae,Rachycentron,canadus,
Apogonidae,Ostorhinchus,capricornis,Apogonidae,Apogon,capricornis,
Pempherididae,Pempheris,analis,Pempherididae,Pempheris,cf. analis,
Carangidae,Carangoides,chrysophrys,Carangidae,Caranx,chrysophrys,
Balistidae,Sufflamen,chrysopterum,Balistidae,Sufflamen,chrysopterus,
Platycephalidae,Thysanophrys,cirronasa,Platycephalidae,Thysanophrys,cirronasus,
Carangidae,Carangoides,caeruleopinnatus,Carangidae,Carangoides,coeruleopinnatus,
Sphyraenidae,Sphyraena,barracuda,Sphyraenidae,Sphyraena,commersoni,
Engraulidae,Stolephorus,commersonnii,Engraulidae,Stolephorus,commersonii,
Pempherididae,Pempheris,compressa,Pempheridae,Pempheris,compressa,
Apogonidae,Ostorhinchus,compressus,Apogonidae,Apogon,compressus,
Ostraciidae,Tetrosomus,reipublicae,Ostraciidae,Tetrosomus,concantenatus,
Ostraciidae,Tetrosomus,reipublicae,Ostraciidae,Tetrosomus,concatenatus,
Apogonidae,Ostorhinchus,cookii,Apogonidae,Apogon,cooki,
Scorpaenidae,Scorpaena,cardinalis,Scorpaenidae,Scorpaena,cookii,
Kyphosidae,Kyphosus,cornelii,Kyphosidae,Kyphosus,cornelli,
Tetraodontidae,Canthigaster,axiologus,Tetraodontidae,Canthigaster,coronata,
Phosichthyidae,Polymetme,corythaeola,,Polymetme,corythaeola,
Soleidae,Zebrias,craticula,Soleidae,Zebrias,craticulus,
Mugilidae,Moolgarda,cunnesius,Mugilidae,Osteomugil,cunnesius,
Mugilidae,Moolgarda,cunnesius,Mugilidae,Valamugil,cunnesius,
Odacidae,Olisthops,cyanomelas,Odacidae,Odax,cyanomelas,
Odacidae,Olisthops,cyanomelas,,Odax,cyanomelas,
Apogonidae,Ostorhinchus,cyanosoma,Apogonidae,Apogon,cyanosoma,
Mullidae,Parupeneus,cyclostomus,Mullidae,Parapuneus,cyclostomus,
Mullidae,Parupeneus,cyclostomus,Mullidae,Parupeneus,cylcostomas,
Carangidae,Pseudocaranx,georgianus,Carangidae,Pseudocaranx,dentex,
Pomacanthidae,Pygoplites,diacanthus,,Pygoplites,diacanthus,
Labridae,Oxycheilinus,digrammus,Labridae,Oxycheilinus,digramma,
Rhinidae,Rhynchobatus,australiae,Rhinobatidae,Rhynchobatus,djiddensis,
Rhinidae,Rhynchobatus,australiae,Rhinidae,Rhynchobatus,djiddensis,
Rhinidae,Rhynchobatus,australiae,Rhynchobatidae,Rhynchobatus,djiddensis,
Rhinidae,Rhynchobatus,australiae,Rhynchobatidae,Rhynchobatus,australiae,
Apogonidae,Ostorhinchus,doederleini,Apogonidae,Apogon,doederleini,
Carcharhinidae,Carcharhinus,coatesi,Carcharhinidae,Carcharhinus,dussumieri,
Gobiidae,Trimma,emeryi,,Trimma,emeryi,
Macroramphosidae,Notopogon,lilliei,Macroramphosidae,Notopogon,endeavouri,
Serranidae,Epinephelus,ergastularius,Serranidae,Hyporthodus,ergastularius,
Pomacentridae,Stegastes,fasciolatus,Pomacentridae,Stegastes,faciolatus,
Dasyatidae,Pateobatis,fai,Dasyatidae,Himantura,fai,
Serranidae,Pseudanthias,fasciatus,Serranidae,Pseudanthias,fasciata,
Blenniidae,Salarias,fasciatus,Blenniidae,Salarius,fasciatus,
Muraenidae,Gymnothorax,favagineus,Muraenidae,Gymnothorax,favafineus,
Parascylliidae,Parascyllium,ferrugineum,Parascylliidae,Paracyllium,ferrugineum,
Parascylliidae,Parascyllium,ferrugineum,,Paracyllium,ferrugineum,
Parascylliidae,Parascyllium,ferrugineum,Parascyllidae,Paracyllium,ferrugineum,
Monacanthidae,Paramonacanthus,filicauda,Monacanthidae,Arotrolepis,filicauda,
Pomacanthidae,Centropyge,flavicauda,Pomacanthidae,Centropyge,fisheri,
Sphyraenidae,Sphyraena,obtusata,Sphyraenidae,Sphyraena,flavicauda,
Mullidae,Mulloidichthys,flavolineatus,Mullidae,Mulloides,flavolineatus,
Haemulidae,Plectorhinchus,flavomaculatus,Haemulidae,Plectorhincus,flavomaculatus,
Haemulidae,Plectorhinchus,flavomaculatus,,Plectorhincus,flavomaculatus,
Albulidae,Albula,argentea,Albulidae,Albula,forsteri,
Balistidae,Sufflamen,fraenatum,Balistidae,Sufflamen,fraenatus,
Priacanthidae,Pristiapogon,fraenatus,Priacanthidae,Apogon,fraenatus,
Apogonidae,Pristiapogon,fraenatus,Apogonidae,Apogon,fraenatus,
Balistidae,Sufflamen,fraenatum,Balistidae,Sufflamen,frenatum,
Balistidae,Sufflamen,fraenatum,Balistidae,Sufflamen,frenatus,
Labridae,Notolabrus,fucicola,Labridae,Pseudolabrus,fucicola,
Labridae,Notolabrus,fucicola,Labridae,Notolabrus,fuciola,
Carangidae,Carangoides,fulvoguttatus,Carangidae,Caranx,fulvoguttatus,
Nemipteridae,Nemipterus,furcosus,Nemipteridae,Nemipterus,furca,
Scorpididae,Scorpis,georgiana,Scorpididae,Scorpis,georgianus,
Scaridae,Chlorurus,microrhinos,Scaridae,Chlorurus,gibbus,
