OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
1.02	5	1.02_L369.avi	63905	1.02_R370.avi	64011	42.60333	1	31.56667	408.34856	1.58605	0.15269	1926.36764	10.21822	10.13738	4.63049	338.71786	-45.2963	-1895.81401	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.02	6	1.02_L369.avi	63934	1.02_R370.avi	64040	42.62267	1	31.586	362.28865	2.00731	2.38778	1896.98773	8.40763	19.59148	10.31988	-234.67494	147.85279	-1876.60056	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.03	12	1.03_L367.avi	74297	1.03_R368.avi	73483	49.53133	1	41.63333	405.91273	3.59659	1.69038	2563.73996	15.36482	21.13588	0.697	-382.17944	561.59267	-2472.10743	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.04	1	1.04_L375.avi	60652	1.04_R376.avi	60226	40.43467	1	31.21	531.56468	3.13552	2.33855	3003.06869	15.1901	5.42	4.70009	-645.86472	449.47263	-2898.14677	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.04	18	1.04_L375.avi	77696	1.04_R376.avi	77270	51.79733	1	42.57267	349.05188	0.84743	2.98084	1327.20669	16.0255	5.25446	15.85004	-304.16001	-204.28498	-1275.63001	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
1.04	19	1.04_L375.avi	78275	1.04_R376.avi	77849	52.18333	1	42.95867	333.92966	0.78749	0.31011	1074.42705	15.37058	19.76908	0.21347	-190.65768	-211.55206	-1035.99656	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
1.04	23	1.04_L375.avi	101598	1.04_R376.avi	101172	67.732	1	58.50733	760.57058	3.84455	3.02928	3187.07182	12.92274	10.71498	21.1725	-633.08221	327.438	-3106.35125	Rachycentridae	Rachycentron	canadum	37335001	1	AD	Passing			
1.05	17	1.05_L371.avi	81635	1.05_R372.avi	80222	54.42333	1	42.24667	475.83869	1.22772	13.74926	1571.26006	13.83851	11.97617	15.27807	371.03046	59.83113	-1525.65226	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.05	21	1.05_L371.avi	91239	1.05_R372.avi	89826	60.826	1	48.64933	337.78312	1.24213	12.17721	1269.23243	15.33457	30.21397	19.5456	222.93347	-250.92801	-1224.04524	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
1.06	11	1.06_L378.avi	41667	1.06_R377.avi	42272	27.778	1	16.71933	329.78122	1.21397	1.4365	1282.00893	7.68571	24.90697	7.23877	171.10994	10.86744	-1270.4921	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
1.06	17	1.06_L378.avi	44149	1.06_R377.avi	44754	29.43267	1	18.374	409.58634	3.64731	2.25745	3000.03582	16.31634	12.24316	6.0167	-590.66195	601.2345	-2879.21004	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.06	18	1.06_L378.avi	45889	1.06_R377.avi	46494	30.59267	1	19.534	310.76168	2.13013	2.29226	1305.93859	12.88383	60.25216	15.4612	164.17115	-240.50032	-1273.0605	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
