OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
1.02	0	1.02_L369.avi	20663	1.02_R370.avi	20769	13.77533	1	2.73867	61.5469	1.19976	1.8374	1747.55284	8.95182	10.98706	17.86692	144.78663	-230.17514	-1726.26683	Microdesmidae	Gunnellichthys	monostigma	37435004	1	AD	Passing			
1.02	1	1.02_L369.avi	30682	1.02_R370.avi	30788	20.45467	1	9.418	407.51415	2.27288	3.42892	2873.11773	6.52159	5.60254	0.21799	-324.93457	-30.05486	-2854.52618	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.02	3	1.02_L369.avi	51970	1.02_R370.avi	52076	34.64667	1	23.61	392.78384	2.77043	2.67325	2076.28049	16.11915	23.79237	3.03511	-568.17237	97.3367	-1994.65445	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
1.02	4	1.02_L369.avi	52066	1.02_R370.avi	52172	34.71067	1	23.674	350.85673	1.86136	1.03686	2134.89692	14.20424	6.52324	5.30692	514.45638	98.80794	-2069.62714	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
1.02	5	1.02_L369.avi	63905	1.02_R370.avi	64011	42.60333	1	31.56667	408.34856	1.58605	0.15269	1926.36764	10.21822	10.13738	4.63049	338.71786	-45.2963	-1895.81401	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.02	6	1.02_L369.avi	63934	1.02_R370.avi	64040	42.62267	1	31.586	362.28865	2.00731	2.38778	1896.98773	8.40763	19.59148	10.31988	-234.67494	147.85279	-1876.60056	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.02	7	1.02_L369.avi	76638	1.02_R370.avi	76744	51.092	1	40.05533	201.79458	8.34969	3.31594	3893.19901	18.02719	19.69666	7.29145	-1203.92749	46.40634	-3702.08098	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	8	1.02_L369.avi	76659	1.02_R370.avi	76765	51.106	1	40.06933	283.4247	0.931	5.1607	1640.8325	5.73885	3.38323	9.55021	-151.36626	-63.31337	-1632.60864	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	10	1.02_L369.avi	76908	1.02_R370.avi	77014	51.272	1	40.23533	280.95295	0.96022	4.42858	1355.79571	3.29805	14.64328	13.86866	-71.53711	-31.08539	-1353.5502	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	11	1.02_L369.avi	76996	1.02_R370.avi	77102	51.33067	1	40.294	303.78851	0.93198	3.57867	1047.88938	6.74844	29.28593	9.51299	-115.06376	43.85507	-1040.62924	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	12	1.02_L369.avi	77005	1.02_R370.avi	77111	51.33667	1	40.3	281.54962	2.11373	2.11683	1755.08689	7.89701	25.14866	4.87775	231.54285	67.3395	-1738.44278	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	13	1.02_L369.avi	77298	1.02_R370.avi	77404	51.532	1	40.49533	463.4905	1.16616	3.66712	1082.30044	2.76639	36.07165	7.91998	-51.72201	7.31016	-1081.03915	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	14	1.02_L369.avi	77331	1.02_R370.avi	77437	51.554	1	40.51733	543.769	1.55924	4.32475	1711.45622	14.00972	15.37522	13.05814	414.2981	-4.30472	-1660.54839	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	15	1.02_L369.avi	77466	1.02_R370.avi	77572	51.644	1	40.60733	493.37999	6.89338	11.70468	2644.96922	9.35669	43.60204	10.61022	374.94054	210.56162	-2609.77883	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.03	0	1.03_L367.avi	36836	1.03_R368.avi	36022	24.55733	1	16.65933	463.54905	1.17062	0.76797	1616.76582	7.1619	9.58369	6.02025	-200.36766	21.9633	-1604.15153	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
1.03	1	1.03_L367.avi	36861	1.03_R368.avi	36047	24.574	1	16.676	409.21426	1.5317	2.31876	2071.95791	11.70525	0.81934	4.22005	-412.70954	79.79485	-2028.86993	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
1.03	2	1.03_L367.avi	36924	1.03_R368.avi	36110	24.616	1	16.718	481.64403	2.99487	3.82078	2762.40322	16.47626	2.22296	10.28981	779.7365	76.36718	-2648.97161	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
