OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
1.02	0	1.02_L369.avi	20647	13.76467	1	2.728	1198.74082	848.28358	Microdesmidae	Gunnellichthys	monostigma	37435004	1	AD	Passing			
1.02	1	1.02_L369.avi	23351	15.56733	1	4.53067	179.30745	318.35821	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	2	1.02_L369.avi	25930	17.28667	1	6.25	171.24869	282.08955	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	3	1.02_L369.avi	26648	17.76533	1	6.72867	425.09969	298.20896	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
1.02	4	1.02_L369.avi	29895	19.93	1	8.89333	263.92445	624.62687	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.02	5	1.02_L369.avi	30935	20.62333	1	9.58667	1672.19307	529.92537	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.02	6	1.02_L369.avi	30935	20.62333	1	9.58667	1436.47429	537.98507	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.02	7	1.02_L369.avi	31029	20.686	1	9.64933	276.01259	30.22388	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	8	1.02_L369.avi	32722	21.81467	1	10.778	50.36726	491.64179	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	9	1.02_L369.avi	33661	22.44067	1	11.404	616.49528	231.71642	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	10	1.02_L369.avi	33992	22.66133	1	11.62467	56.41133	445.29851	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	11	1.02_L369.avi	34586	23.05733	1	12.02067	447.26128	219.62687	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	12	1.02_L369.avi	34727	23.15133	1	12.11467	1069.80063	537.98507	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	13	1.02_L369.avi	34727	23.15133	1	12.11467	84.617	533.95522	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	14	1.02_L369.avi	38046	25.364	1	14.32733	600.37775	247.83582	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	15	1.02_L369.avi	38046	25.364	1	14.32733	181.32214	650.8209	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	16	1.02_L369.avi	38109	25.406	1	14.36933	725.28856	439.25373	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	17	1.02_L369.avi	38109	25.406	1	14.36933	489.56978	572.23881	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	18	1.02_L369.avi	41418	27.612	1	16.57533	1162.47639	56.41791	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	19	1.02_L369.avi	41813	27.87533	1	16.83867	934.81637	739.47761	Sparidae	Argyrops	spinifer	37353006	1	AD	Feeding			
1.02	20	1.02_L369.avi	42667	28.44467	1	17.408	1351.85729	239.77612	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.02	21	1.02_L369.avi	42676	28.45067	1	17.414	435.17314	90.67164	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
1.02	22	1.02_L369.avi	42946	28.63067	1	17.594	880.41973	695.14925	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Feeding			
1.02	23	1.02_L369.avi	43394	28.92933	1	17.89267	801.8468	824.10448	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	24	1.02_L369.avi	43394	28.92933	1	17.89267	193.41028	648.80597	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	25	1.02_L369.avi	43394	28.92933	1	17.89267	578.21616	378.80597	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	26	1.02_L369.avi	45537	30.358	1	19.32133	975.11018	596.41791	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	27	1.02_L369.avi	45537	30.358	1	19.32133	785.72928	751.56716	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	28	1.02_L369.avi	45537	30.358	1	19.32133	505.6873	441.26866	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.02	29	1.02_L369.avi	51920	34.61333	1	23.57667	894.52256	840.22388	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Feeding			
1.02	30	1.02_L369.avi	51963	34.642	1	23.60533	693.05352	759.62687	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
1.02	31	1.02_L369.avi	51963	34.642	1	23.60533	374.73242	469.47761	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
1.02	32	1.02_L369.avi	56403	37.602	1	26.56533	453.30535	104.77612	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.02	33	1.02_L369.avi	56471	37.64733	1	26.61067	1023.46275	402.98507	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.02	34	1.02_L369.avi	58041	38.694	1	27.65733	590.3043	382.83582	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
