OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
Fish_MB5	0	20140817_NMP_FishMB5_Left108.avi	6736	20140817_NMP_FishMB5_Right109.avi	8816	4.49067		-1	-4.13363	-86.79948	-736.17409	0.31678	0.31871	0.59904	0.31309	741.28505	6.05187								Sync		
Fish_MB5	6	20140817_NMP_FishMB5_Left108.avi	13694	20140817_NMP_FishMB5_Right109.avi	15774	9.12933	T1	0.03067	-1237.00545	-309.39064	-2621.5039	3.48837	1.43366	7.27562	29.93697	2915.16513	25.78111	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	9	20140817_NMP_FishMB5_Left108.avi	13738	20140817_NMP_FishMB5_Right109.avi	15818	9.15867	T1	0.06	-1034.02766	-443.8677	-2331.90524	2.64245	1.5073	5.75327	18.04083	2589.21104	25.49833	Labridae	Thalassoma	lunare	37384167	1	AD	Passing			
Fish_MB5	13	20140817_NMP_FishMB5_Left108.avi	13778	20140817_NMP_FishMB5_Right109.avi	15858	9.18533	T1	0.08667	165.07545	-298.62879	-3359.91302	1.48254	1.81382	11.8399	11.87153	3377.19477	5.21317	Lutjanidae	Lutjanus	fulviflamma	37346034	1	AD	Passing			
Fish_MB5	14	20140817_NMP_FishMB5_Left108.avi	13783	20140817_NMP_FishMB5_Right109.avi	15863	9.18867	T1	0.09	-929.35766	-96.79002	-2472.47794	2.58366	1.07331	6.57547	4.99182	2643.14607	20.64237	Pomacentridae	Dascyllus	reticulatus	37372074	1	AD	Passing			
Fish_MB5	19	20140817_NMP_FishMB5_Left108.avi	13888	20140817_NMP_FishMB5_Right109.avi	15968	9.25867	T1	0.16	-469.47036	-627.53335	-2247.76554	1.4192	1.81008	5.37979	11.12788	2380.47273	18.68068	Scaridae		sp		4	J	Passing			
Fish_MB5	24	20140817_NMP_FishMB5_Left108.avi	13903	20140817_NMP_FishMB5_Right109.avi	15983	9.26867	T1	0.17	995.69152	-734.21871	-3060.30716	3.33823	2.75853	9.78236	6.55905	3300.9027	21.61339	Pomacentridae	Pomacentrus	coelestis	37372111	4	AD	Passing			
Fish_MB5	26	20140817_NMP_FishMB5_Left108.avi	13955	20140817_NMP_FishMB5_Right109.avi	16035	9.30333	T1	0.20467	-975.37709	-721.04258	-3388.32238	3.68631	3.06615	12.20204	12.93857	3598.88752	19.29905	Pomacentridae	Pomacentrus	coelestis	37372111	1	AD	Passing			
Fish_MB5	33	20140817_NMP_FishMB5_Left108.avi	14052	20140817_NMP_FishMB5_Right109.avi	16132	9.368	T1	0.26933	155.95431	-371.15084	-3855.06784	1.68511	2.29872	15.54934	13.80144	3876.03183	5.34044	Chaetodontidae	Chaetodon	lunulatus	37365059	1	AD	Passing			
Fish_MB5	39	20140817_NMP_FishMB5_Left108.avi	14170	20140817_NMP_FishMB5_Right109.avi	16250	9.44667	T1	0.348	-1051.52355	-556.22401	-2405.74807	2.7599	1.7806	6.10207	8.05243	2683.78663	25.99913	Labridae	Coris	aygula	37384090	1	AD	Passing			
Fish_MB5	45	20140817_NMP_FishMB5_Left108.avi	14269	20140817_NMP_FishMB5_Right109.avi	16349	9.51267	T1	0.414	-1227.07338	-518.52981	-3105.32601	4.13567	2.23187	10.26763	3.29648	3378.99865	22.96156	Pomacentridae	Pomacentrus	moluccensis	37372118	2	AD	Passing			
Fish_MB5	57	20140817_NMP_FishMB5_Left108.avi	14575	20140817_NMP_FishMB5_Right109.avi	16655	9.71667	T1	0.618	-2325.51617	-432.34978	-4364.0164	10.36764	2.81813	19.70398	18.51072	4963.82826	28.34115	Scaridae		sp		1	AD	Passing			
Fish_MB5	62	20140817_NMP_FishMB5_Left108.avi	14600	20140817_NMP_FishMB5_Right109.avi	16680	9.73333	T1	0.63467	-1376.963	224.39847	-2936.03266	4.33408	1.34784	9.19371	3.46282	3250.64141	25.53367	Pomacentridae	Chromis	viridis	37372053	19	AD	Passing			
Fish_MB5	74	20140817_NMP_FishMB5_Left108.avi	15131	20140817_NMP_FishMB5_Right109.avi	17211	10.08733	T1	0.98867	-1164.48992	-663.6448	-4335.36845	5.53079	3.733	19.93917	2.00092	4537.82776	16.85238	Tetraodontidae	Arothron	hispidus	37467033	1	AD	Passing			
