Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Successful,OldDate,Visibility,Opcode-old,Boat,L.cam,R.cam,L.card,R.card,Raw.HD,Con.HD,Time.In,Time.Out,Waypoint,Field.staff,Habitat.Image.(Y/N),Habitat.classification.(Y/N),MaxN.complete.(dd/mm/yy),MaxN.Checker,Length.analyst,Length.completed.(dd/mm/yy),DOV.sites,DOV.Comments
Fish_MB1_1,-21.96544236,113.9222645,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB1_2,-21.96544236,113.9222645,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB1_3,-21.96544236,113.9222645,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB1_4,-21.96544236,113.9222645,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB1_5,-21.96544236,113.9222645,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB1_6,-21.96544236,113.9222645,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB5_1,-21.95062,113.92059,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_2,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB5_2,-21.95062,113.92059,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_2,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB5_3,-21.95062,113.92059,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_2,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB5_4,-21.95062,113.92059,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_2,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB5_5,-21.95062,113.92059,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_2,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_MB5_6,-21.95062,113.92059,20140801,0:00:00,Mangrove Sanctuary,No-take,MangroveSZ_2,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M2_1,-22.08061,113.89336,20140801,0:00:00,Mandu Sanctuary,No-take,ManduSZ_1,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M2_2,-22.08061,113.89336,20140801,0:00:00,Mandu Sanctuary,No-take,ManduSZ_1,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M2_3,-22.08061,113.89336,20140801,0:00:00,Mandu Sanctuary,No-take,ManduSZ_1,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M2_4,-22.08061,113.89336,20140801,0:00:00,Mandu Sanctuary,No-take,ManduSZ_1,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M2_5,-22.08061,113.89336,20140801,0:00:00,Mandu Sanctuary,No-take,ManduSZ_1,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M2_6,-22.08061,113.89336,20140801,0:00:00,Mandu Sanctuary,No-take,ManduSZ_1,2,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M3_1,-22.05195,113.89831,20140801,0:00:00,Between Mangrove and Mandu,Fished,MangroveMandu_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M3_2,-22.05195,113.89831,20140801,0:00:00,Between Mangrove and Mandu,Fished,MangroveMandu_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_M3_3,-22.05195,113.89831,20140801,0:00:00,Between Mangrove and Mandu,Fished,MangroveMandu_1,2,Ryan Douglas,,,Left108,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
