OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
10.09	1	10.09_L378.avi	88218	10.09_R377.avi	88183	58.81200	1	52.55400	-1347.28279	498.54093	-4814.75772	6.27582	2.63784	23.02092	4.09328	5024.50056	16.82955	Carangidae	Carangoides	caeruleopinnatus	37337021	1	AD	Passing			
1.01	7	1.01_L373.avi	30992	1.01_R374.avi	30783	20.66133	1	11.81733	647.95931	-40.20356	-3590.41476	2.52341	1.23036	13.14965	7.78519	3648.63615	10.22942	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	13	1.01_L373.avi	49990	1.01_R374.avi	49781	33.32667	1	24.48267	1123.71724	273.90464	-4825.51230	5.37214	1.91771	23.31401	6.64381	4962.19036	13.63740	Carangidae	Decapterus	spp		1	AD	Passing			
1.01	14	1.01_L373.avi	52614	1.01_R374.avi	52405	35.07600	1	26.23200	-1613.57418	943.22496	-10139.38930	16.37032	9.12602	103.25617	10.22371	10310.21389	10.76780	Carcharhinidae				1	AD	Passing			
1.01	15	1.01_L373.avi	59048	1.01_R374.avi	58839	39.36533	1	30.52133	921.17460	56.36480	-2649.07143	2.33835	0.87242	6.90713	0.62060	2805.23066	19.25459	Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
3.01	1	3.01_L367.avi	23348	3.01_R368.avi	40563	15.56533	1	5.16267	1098.71387	88.61943	-2751.76241	2.78246	0.91354	7.28519	2.10760	2964.32487	21.90507	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
3.01	6	3.01_L367.avi	31945	3.01_R368.avi	49160	21.29667	1	10.89400	-1547.45407	1085.29691	-5316.95065	7.56297	5.32521	27.00505	4.78941	5642.91128	20.02476	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
3.01	9	3.01_L367.avi	38431	3.01_R368.avi	55649	25.62067	1	15.21800	1180.22064	268.59710	-3211.39287	3.53684	1.25957	10.03134	7.06375	3431.92502	20.83712	Balistidae	Abalistes	filamentosus	37465089	1	AD	Passing			
3.01	10	3.01_L367.avi	38431	3.01_R368.avi	55649	25.62067	1	15.21800	875.09616	226.63082	-1969.22910	1.57144	0.73509	3.63273	1.34533	2166.79904	24.86244	Balistidae	Abalistes	filamentosus	37465089	1	AD	Passing			
3.01	18	3.01_L367.avi	70433	3.01_R368.avi	87651	46.95533	1	36.55267	95.22488	186.17562	-892.99563	0.32531	0.34636	0.85791	12.64321	917.15339	13.87478	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
3.01	19	3.01_L367.avi	70466	3.01_R368.avi	87684	46.97733	1	36.57467	-124.04288	322.51339	-1610.97993	0.58305	0.73256	2.71779	3.37517	1647.62188	12.83327	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
3.01	21	3.01_L367.avi	101209	3.01_R368.avi	118427	67.47267	1	57.07000	-552.08476	1898.42156	-9075.41903	5.65353	16.19980	82.02249	10.26407	9288.27393	13.03656	Carangidae	Decapterus	macarellus	37337055	1	AD	Passing			
3.01	23	3.01_L367.avi	101274	3.01_R368.avi	118492	67.51600	1	57.11333	-2.58534	1525.45587	-8577.84294	2.80966	12.35029	73.62039	5.75365	8712.42858	10.85974	Carangidae	Decapterus	macarellus	37337055	1	AD	Passing			
3.01	24	3.01_L367.avi	101275	3.01_R368.avi	118493	67.51667	1	57.11400	-1632.84883	1672.41212	-9505.06417	15.04911	14.61763	88.62570	3.19723	9788.22775	14.38035	Carangidae	Decapterus	macarellus	37337055	1	AD	Passing			
3.01	25	3.01_L367.avi	101288	3.01_R368.avi	118506	67.52533	1	57.12267	-649.95635	322.16662	-1657.50368	1.04914	0.70254	2.57977	0.90616	1809.29628	23.99105	Carangidae	Decapterus	macarellus	37337055	1	AD	Passing			
1.02	0	1.02_L369.avi	15914	1.02_R370.avi	16021	10.60933		-1.00000	5.15135	-75.75189	-607.21435	0.21329	0.21849	0.39252	7.43963	611.94294	5.92377					1	AD	Passing	sync		
1.02	3	1.02_L369.avi	30923	1.02_R370.avi	31029	20.61533	1	9.57867	1434.12265	-25.91757	-5153.35763	7.07962	1.89801	26.05057	16.49720	5349.24988	15.57756	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.02	10	1.02_L369.avi	76715	1.02_R370.avi	76821	51.14333	1	40.10667	-806.42906	77.70362	-2133.74286	1.64746	0.70841	4.40880	5.74887	2282.37251	20.94006	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.03	5	1.03_L367.avi	40939	1.03_R368.avi	40125	27.29267	1	19.39467	-895.39819	174.38968	-2406.25112	2.00489	0.84760	5.53078	0.87867	2573.36242	20.92355	Carangidae	Decapterus	spp		1	AD	Passing			
1.03	8	1.03_L367.avi	56483	1.03_R368.avi	55669	37.65533	1	29.75733	-836.67751	-84.14435	-1994.74504	1.51388	0.67745	3.67393	0.26196	2164.74417	22.79292	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1.03	13	1.03_L367.avi	76821	1.03_R368.avi	76007	51.21400	1	43.31600	-756.93587	-46.36769	-1819.11326	1.28493	0.60455	3.07725	1.97516	1970.85639	22.59549	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.03	17	1.03_L367.avi	79945	1.03_R368.avi	79131	53.29667	1	45.39867	1580.42824	1067.99851	-4895.89516	7.16700	4.89148	23.12246	3.55112	5254.34712	21.72948	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.03	18	1.03_L367.avi	79945	1.03_R368.avi	79131	53.29667	1	45.39867	1301.28001	1079.71556	-4317.13345	5.28024	4.41619	18.13839	24.92082	4636.45949	21.89197	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
1.03	19	1.03_L367.avi	80004	1.03_R368.avi	79190	53.33600	1	45.43800	1201.74716	994.56107	-5925.79189	7.07311	5.68833	35.03876	3.40900	6127.67145	15.25420	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
12.02	6	12.02_L369.avi	13561	12.02_R370.avi	12629	9.04067	1	1.75667	860.10918	316.05012	-2122.55824	1.70736	0.87845	4.33261	1.26406	2311.91025	23.79228	Pomacanthidae	Pomacanthus	semicirculatus	37365080	1	AD	Passing			
12.02	11	12.02_L369.avi	38200	12.02_R370.avi	37268	25.46667	1	18.18267	840.93892	241.77100	-2046.94001	1.61663	0.77272	4.03107	1.44732	2226.11655	23.50576	Balistidae	Sufflamen	fraenatum	37465014	1	AD	Passing			
12.02	12	12.02_L369.avi	43692	12.02_R370.avi	42762	29.12800	1	21.84400	1255.74672	618.60921	-4154.92434	4.96019	2.53350	16.93058	4.28208	4384.40115	19.18220	Scaridae	Scarus	ghobban	37386001	1	AD	Passing			
30.06	2	30.06_L372.avi	26588	30.06_R371.avi	26259	17.72533	1	9.25200	-254.68523	-234.63879	-939.72354	0.39644	0.40211	0.96995	7.80627	1001.49901	19.86578	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
30.06	3	30.06_L372.avi	26588	30.06_R371.avi	26259	17.72533	1	9.25200	-299.30370	-164.02522	-938.75904	0.41776	0.36546	0.96838	4.63357	998.87713	19.72462	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
30.06	4	30.06_L372.avi	26588	30.06_R371.avi	26259	17.72533	1	9.25200	-334.28656	-185.91588	-949.71330	0.43912	0.37859	0.98282	4.62878	1023.84939	21.67916	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
30.06	6	30.06_L372.avi	43876	30.06_R371.avi	43547	29.25067	1	20.77733	1033.46374	275.89549	-4219.71455	4.29281	1.69569	17.86649	50.36438	4353.17774	14.37345	Carangidae	Carangoides	caeruleopinnatus	37337021	1	AD	Passing			
30.06	12	30.06_L372.avi	72160	30.06_R371.avi	71831	48.10667	1	39.63333	-488.15783	-302.20962	-1295.90385	0.70891	0.59576	1.76850	0.49514	1417.39039	23.61404	Pinguipedidae	Parapercis	clathrata	37390013	1	AD	Passing			
30.06	16	30.06_L372.avi	87031	30.06_R371.avi	86702	58.02067	1	49.54733	684.88664	100.38283	-1722.61450	1.14263	0.57581	2.86070	2.31920	1856.48785	21.97673	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
30.06	17	30.06_L372.avi	87266	30.06_R371.avi	86937	58.17733	1	49.70400	-964.79208	201.59424	-5255.49372	5.23053	1.92262	28.24980	24.11080	5347.11869	10.74582	Lutjanidae	Symphorus	nematophorus	37346017	1	AD	Passing			
9.07	1	9.07_L372.avi	22177	9.07_R371.avi	23473	14.78467		-1.00000	-964.69353	805.23201	-4322.96107	4.19776	3.57385	19.02916	25.46491	4501.89122	16.56046	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
9.07	15	9.07_L372.avi	55373	9.07_R371.avi	56670	36.91533		-1.00000	-97.61147	-85.09469	-1493.12307	0.53328	0.52909	2.40586	20.32739	1498.72800	4.61865	Muraenidae	Gymnothorax	thrysoideus	37060010	1	AD	Passing			
9.07	16	9.07_L372.avi	79110	9.07_R371.avi	80406	52.74000		-1.00000	-680.95757	-166.06038	-1457.04417	0.96267	0.54579	2.17069	2.60527	1616.86640	25.56659	Labridae	Bodianus	solatus	37384201	1	AD	Passing			
9.02	14	9.02_L378.avi	58962	9.02_R377.avi	59306	39.30800		-1.00000	220.02898	708.53611	-5112.64071	2.01691	3.79150	26.72616	0.16344	5166.19117	8.82858	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
9.02	15	9.02_L378.avi	58966	9.02_R377.avi	59310	39.31067		-1.00000	904.29496	313.32183	-2851.24703	2.53465	1.22405	8.13799	2.83609	3007.57869	18.75822	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
31.02	4	31.02_L369.avi	38801	31.02_R370.avi	38456	25.86733	1	20.83133	-80.06355	-203.62141	-1362.56773	0.48227	0.56459	1.94418	3.98451	1380.02271	8.01135	Muraenidae	Gymnothorax	undulatus	37060053	1	AD	Passing			
31.02	5	31.02_L369.avi	38801	31.02_R370.avi	38456	25.86733	1	20.83133	-485.40212	-128.33785	-1786.89133	0.99265	0.66841	3.23079	2.42575	1856.08902	15.42889	Muraenidae	Gymnothorax	undulatus	37060053	1	AD	Passing			
