OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
10.09	0	0	628.45361	450.30928	13.60825	528.24742
10.09	0	1	1344.74227	421.85567	1010.72165	444.12371
10.09	1	0	136.08247	345.15464	530.72165	353.81443
10.09	2	0	584.47423	346.93242	915.80412	330.11340
10.09	2	1	498.80412	343.50515	837.55670	331.20389
1.01	0	0	1685.76710	1024.40307	1206.65434	1055.15882
1.01	0	1	1598.22551	1007.84228	1101.36784	1032.68346
1.01	1	0	1195.78004	678.31544	1398.72458	690.69660
1.01	1	1	1151.71349	678.01972	1338.09612	689.80942
1.01	2	0	996.79667	667.38554	1192.45841	678.13253
1.01	2	1	1034.06100	669.75137	1234.45471	682.56846
1.01	3	0	1019.07948	634.73932	1178.93900	644.17525
1.01	3	1	1063.73752	633.55641	1225.37153	643.58379
1.01	4	0	715.93530	568.99233	949.10351	579.37349
1.01	4	1	685.47320	566.92223	919.52865	578.78204
1.01	5	0	863.63956	685.00767	981.99261	693.68456
1.01	5	1	831.40296	695.06243	946.79852	702.26068
1.01	6	0	630.13494	664.73932	739.92421	677.92223
1.01	6	1	688.10166	682.77875	792.27172	691.82147
1.01	7	0	1222.03327	560.70099	1488.20702	567.79847
1.01	8	0	679.54529	647.21796	798.43068	654.83680
1.01	8	1	727.45656	643.96495	849.89094	652.17525
1.01	9	0	813.51941	625.62979	953.69871	635.02300
1.01	9	1	768.56562	625.33406	908.74492	635.31873
1.01	10	0	991.21627	685.58379	1084.76525	694.26068
1.01	10	1	958.38817	686.17525	1051.04991	697.21796
1.01	11	0	625.95009	452.23001	954.85952	463.56846
1.01	11	1	924.65619	452.23001	1251.19963	459.13253
1.01	12	0	1700.22181	405.49507	1883.32717	379.99233
1.01	12	1	1447.65250	335.99890	1568.65065	318.77656
1.01	13	0	1282.36599	422.30011	1664.47320	414.01972
1.01	14	0	371.46026	331.21577	881.33087	343.04491
1.01	15	0	1619.51941	501.55531	1812.34750	489.72618
1.01	16	0	1231.49723	532.31106	1600.59150	531.12815
1.01	16	1	1401.84843	544.14020	1808.79852	540.59146
1.01	17	0	1277.89316	651.96154	1552.29892	662.50000
1.01	17	1	1105.02401	625.42308	1362.14286	632.50000
1.01	18	0	1259.25878	222.41621	1306.02588	222.38773
1.01	18	1	747.65250	350.14239	792.60628	372.61774
1.01	19	0	737.00555	515.75027	571.38632	512.20153
1.01	19	1	383.29020	392.72727	270.90573	409.28806
1.01	20	0	1265.28651	284.59912	1487.90573	272.93757
1.01	20	1	927.35860	258.69660	1158.87985	259.19058
1.01	21	0	793.78928	799.64951	615.15712	796.10077
1.01	21	1	375.00924	740.50383	308.76155	740.50383
1.01	22	0	1407.10721	630.47097	1658.49353	640.60241
1.01	22	1	1184.40850	639.34283	1403.85397	654.79737
3.01	0	0	1154.47742	536.28440	1014.50323	538.76147
3.01	0	1	1475.30323	540.00000	1384.87742	548.66972
3.01	1	0	1683.40645	486.74312	1906.37419	495.41284
3.01	2	0	1087.58710	731.97248	609.44516	722.06422
3.01	2	1	1579.35484	94.12844	1088.82581	75.55046
3.01	3	0	455.84516	201.88073	111.48387	205.59633
3.01	3	1	1025.65161	297.24771	740.74839	293.53211
3.01	4	0	1038.03871	335.64220	1040.51613	340.59633
3.01	4	1	1393.54839	298.48624	1363.81935	293.53211
3.01	5	0	447.17419	200.64220	624.30968	217.98165
3.01	5	1	646.60645	261.33028	794.01290	271.23853
3.01	6	0	87.94839	55.73394	527.69032	105.27523
3.01	7	0	1083.87097	106.51376	1064.05161	105.27523
3.01	7	1	1327.89677	82.98165	1379.92258	74.31193
3.01	8	0	356.21935	251.26147	639.53548	268.61927
3.01	8	1	565.14839	269.01376	816.87742	283.27523
3.01	9	0	1589.26452	383.94495	1871.69032	374.03670
3.01	10	0	1872.92903	322.01835	1907.61290	304.67890
3.01	11	0	618.11613	367.84404	953.80645	386.42202
