OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
10.09	0	10.09_L378.avi	51465	10.09_R377.avi	51430	34.31000	1	28.05200	595.63391	1.51145	8.22780	1236.80136	4.64421	35.39228	1.66232	-82.53609	56.71074	-1232.74056	Ariidae	Netuma	thalassina	37188001	1	AD	Passing			
10.09	2	10.09_L378.avi	88260	10.09_R377.avi	88225	58.84000	1	52.58200	185.81306	6.40038	1.72909	4764.15996	8.34669	9.05619	4.83786	-506.60558	470.77648	-4713.69711	Carangidae	Carangoides	caeruleopinnatus	37337021	1	AD	Passing			
1.01	0	1.01_L373.avi	13332	1.01_R374.avi	13123	8.88800	1	0.04400	60.32225	0.82431	3.71427	1252.18427	17.35019	12.77054	12.10710	250.08068	-277.30597	-1195.20982	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
1.01	1	1.01_L373.avi	19445	1.01_R374.avi	19236	12.96333	1	4.11933	119.44867	9.56944	6.22461	3114.31732	8.95070	43.25407	2.87531	437.61158	-208.02616	-3076.39295	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1.01	2	1.01_L373.avi	19611	1.01_R374.avi	19402	13.07400	1	4.23000	65.15812	5.31176	8.01058	3187.04998	5.31806	20.20898	5.52882	216.48200	-200.97457	-3173.33143	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1.01	3	1.01_L373.avi	30920	1.01_R374.avi	30711	20.61333	1	11.76933	62.92525	1.63398	6.15789	2932.18663	4.89256	0.97711	1.35436	209.68992	-136.27047	-2921.50286	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	4	1.01_L373.avi	30950	1.01_R374.avi	30741	20.63333	1	11.78933	48.98342	2.34212	8.06669	3475.24017	4.23288	3.88629	2.39642	-250.19782	-56.55075	-3465.76071	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	5	1.01_L373.avi	30990	1.01_R374.avi	30781	20.66000	1	11.81600	47.72524	4.42830	5.48046	2690.45092	4.52154	24.46197	12.79956	-81.60181	-195.77284	-2682.07761	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	6	1.01_L373.avi	30992	1.01_R374.avi	30783	20.66133	1	11.81733	72.02381	2.04294	9.13008	2613.11607	7.93265	7.39631	15.08529	-317.05020	-171.85906	-2588.11113	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	8	1.01_L373.avi	30993	1.01_R374.avi	30784	20.66200	1	11.81800	68.85760	5.34656	5.39486	2692.66730	6.33902	29.45304	1.85240	-262.35650	-139.84580	-2676.20429	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	9	1.01_L373.avi	30993	1.01_R374.avi	30784	20.66200	1	11.81800	60.03917	2.07968	6.38590	2814.72281	3.85180	7.47648	0.10766	-145.51206	-120.73993	-2808.36476	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	10	1.01_L373.avi	31011	1.01_R374.avi	30802	20.67400	1	11.83000	40.72928	1.32940	6.22021	2570.47128	4.31078	2.84428	3.04985	62.62806	-182.78131	-2563.19943	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
1.01	11	1.01_L373.avi	36349	1.01_R374.avi	36140	24.23267	1	15.38867	635.30449	2.95822	9.19265	4562.36595	2.36607	0.23484	0.62347	-68.02764	175.63865	-4558.47632	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
1.01	12	1.01_L373.avi	49987	1.01_R374.avi	49778	33.32467	1	24.48067	329.93710	2.76271	2.86982	2650.36470	18.18597	0.48794	13.97304	799.38257	212.65508	-2517.97505	Carangidae	Decapterus	spp		1	AD	Passing			
1.01	16	1.01_L373.avi	59117	1.01_R374.avi	58908	39.41133	1	30.56733	405.07652	7.84998	3.70546	4895.56544	14.01577	0.04971	3.20400	1185.62742	7.62033	-4749.82005	Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
1.01	17	1.01_L373.avi	64389	1.01_R374.avi	64180	42.92600	1	34.08200	303.99529	3.82580	5.75788	3649.38230	9.79981	5.58474	8.48840	596.57179	-172.99323	-3596.13217	Balistidae	Abalistes	stellatus	37465011	1	AD	Passing			
1.01	18	1.01_L373.avi	94172	1.01_R374.avi	93963	62.78133	1	53.93733	590.07547	1.45592	9.20678	2350.82963	6.83489	1.73659	14.92920	59.51596	273.36537	-2334.12278	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
1.01	19	1.01_L373.avi	94183	1.01_R374.avi	93974	62.78867	1	53.94467	290.53383	1.29180	2.90900	1755.05893	13.25580	6.24922	18.27303	-397.01392	65.82037	-1708.29724	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
1.01	20	1.01_L373.avi	94263	1.01_R374.avi	94054	62.84200	1	53.99800	569.79005	8.14420	5.88517	3410.77964	9.51794	28.57362	6.63701	366.38020	428.78302	-3363.82645	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
1.01	21	1.01_L373.avi	94588	1.01_R374.avi	94379	63.05867	1	54.21467	373.09115	2.26463	4.74973	1800.19550	13.72957	25.40505	4.65506	-382.37454	-190.62703	-1748.75810	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
1.01	22	1.01_L373.avi	94717	1.01_R374.avi	94508	63.14467	1	54.30067	356.29484	3.37995	10.15322	3311.08960	12.02837	1.85401	3.20147	672.90550	-152.71686	-3238.39313	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
3.01	0	3.01_L367.avi	23229	3.01_R368.avi	40444	15.48600	1	5.08333	319.71844	1.43589	0.20758	1870.82927	8.84326	9.20763	0.25451	287.56316	4.97609	-1848.58995	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
3.01	2	3.01_L367.avi	29298	3.01_R368.avi	46513	19.53200	1	9.12933	479.20365	0.71031	1.29285	1240.44229	5.45043	8.82762	53.36446	89.36473	76.78660	-1234.83393	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
3.01	3	3.01_L367.avi	31905	3.01_R368.avi	49120	21.27000	1	10.86733	421.61708	1.39506	1.38602	1477.94587	11.97257	21.61261	4.03388	-239.86894	190.94585	-1445.79617	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
3.01	4	3.01_L367.avi	31916	3.01_R368.avi	49131	21.27733	1	10.87467	379.76529	3.66021	1.18833	2179.94713	9.34960	30.75506	4.54519	267.46010	232.13640	-2150.98751	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
3.01	5	3.01_L367.avi	31940	3.01_R368.avi	49155	21.29333	1	10.89067	285.91573	3.69846	2.42130	2994.96348	11.53186	14.59712	16.34053	-439.25210	406.86269	-2934.50619	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
3.01	7	3.01_L367.avi	31956	3.01_R368.avi	49171	21.30400	1	10.90133	380.27567	3.88032	3.71661	2316.94754	14.10225	30.18110	11.25628	292.03465	483.12698	-2247.12038	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
3.01	8	3.01_L367.avi	32116	3.01_R368.avi	49331	21.41067	1	11.00800	363.92191	6.24640	3.94004	3810.03847	11.59904	15.24032	4.71838	-611.51231	461.39866	-3732.23219	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
3.01	11	3.01_L367.avi	45925	3.01_R368.avi	63140	30.61667	1	20.21400	278.24955	2.83840	5.92950	4872.71604	5.13946	0.52677	7.16671	-213.31843	380.82403	-4853.12578	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing			
3.01	12	3.01_L367.avi	45992	3.01_R368.avi	63207	30.66133	1	20.25867	239.88641	9.54289	2.58853	4359.51715	14.82362	18.69480	10.88853	-1000.98270	491.99248	-4214.42366	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing			
3.01	13	3.01_L367.avi	46851	3.01_R368.avi	64066	31.23400	1	20.83133	403.75739	9.69570	1.80896	5560.22359	11.31835	12.98790	22.73288	-86.43571	1087.82151	-5452.08763	Monacanthidae	Eubalichthys	caeruleoguttatus	37465018	1	AD	Passing			
3.01	14	3.01_L367.avi	49412	3.01_R368.avi	66630	32.94133	1	22.53867	367.99233	2.55715	14.14646	3502.65103	6.58482	3.64170	8.12877	296.28432	271.19847	-3479.54468	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing			
3.01	15	3.01_L367.avi	53619	3.01_R368.avi	70834	35.74600	1	25.34333	445.21225	7.98590	4.44924	3234.49295	7.51274	32.15726	11.50640	-420.16450	48.01311	-3206.72749	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
