Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer
1,-34.128599,114.930865,20200602,9:10:00,c1,South-west,No-take,46.7,Yes,Yes,Hayley 
2,-34.125316,114.928838,20200602,9:18:00,c1,South-west,No-take,44.4,Yes,No,Hayley 
3,-34.126906,114.925945,20200602,9:27:00,c1,South-west,No-take,39.3,Yes,Yes,Hayley 
4,-34.122634,114.920337,20200602,9:44:00,c2,South-west,No-take,44.1,Yes,Yes,Hayley 
5,-34.131497,114.915753,20200602,9:57:00,c3,South-west,No-take,44.1,Yes,Yes,Hayley 
6,-34.132842,114.912405,20200602,10:06:00,c3,South-west,No-take,43.2,Yes,Yes,Hayley 
7,-34.134771,114.910241,20200602,10:16:00,c3,South-west,No-take,43.9,Yes,No,Hayley
8,-34.129352,114.911755,20200602,13:48:00,c3,South-west,No-take,39.6,Yes,Yes,Hayley
9,-34.119541,114.916105,20200602,11:45:51,c2,South-west,No-take,43.8,Yes,Yes,Hayley
10,-34.117294,114.918685,20200602,11:51:00,c2,South-west,No-take,45.7,Yes,Yes,Hayley
11,-34.117752,114.92306,20200602,13:55:00,c2,South-west,No-take,45.08,Yes,Yes,Hayley
12,-34.132262,114.928545,20200602,12:03:00,c1,South-west,No-take,40.1,Yes,Yes,Hayley
13,-34.128506,114.930547,20200602,12:09:00,c1,South-west,No-take,45.2,Yes,Yes,Hayley
14,-34.128381,114.925457,20200602,12:16:00,c1,South-west,No-take,35,Yes,No,Hayley
15,-34.125012,114.91032,20200602,14:09:00,c3,South-west,No-take,43,Yes,Yes,Hayley
16,-34.126181,114.906548,20200602,14:14:00,c3,South-west,No-take,40.9,Yes,Yes,Hayley
17,-34.132142,114.92083,20200602,14:20:00,c3,South-west,No-take,40.2,Yes,Yes,Hayley
18,-34.128679,114.924078,20200602,14:25:00,c1,South-west,No-take,35.8,Yes,No,Hayley
19,-34.122542,114.927818,20200602,14:30:00,c1,South-west,No-take,44.9,No,No,Hayley
20,-34.130219,114.820233,20200603,8:16:00,c8,South-west,No-take,51.7,Yes,No,Hayley 
21,-34.128151,114.817448,20200603,8:24:00,c8,South-west,No-take,52.4,Yes,Yes,Hayley 
22,-34.126271,114.819552,20200603,8:32:00,c8,South-west,No-take,51.9,Yes,Yes,Hayley 
23,-34.124217,114.817017,20200603,8:38:00,c8,South-west,No-take,51.3,Yes,Yes,Hayley 
24,-34.118739,114.826402,20200603,8:47:00,c7,South-west,No-take,49.8,Yes,Yes,Hayey
25,-34.116829,114.828432,20200603,8:54:00,c7,South-west,No-take,48.4,Yes,Yes,Hayley 
26,-34.120881,114.828907,20200603,9:02:00,c7,South-west,No-take,48.4,Yes,Yes,Hayley 
27,-34.121824,114.832898,20200603,10:19:00,c7,South-west,No-take,47.8,Yes,Yes,Hayley 
28,-34.112916,114.852137,20200603,10:27:00,c6,South-west,No-take,44.7,Yes,Yes,Hayley 
29,-34.111084,114.855648,20200603,10:31:00,c6,South-west,No-take,43,Yes,Yes,Hayley 
30,-34.112094,114.85946,20200603,10:37:00,c6,South-west,No-take,42.9,Yes,Yes,Hayley 
31,-34.116007,114.860738,20200603,10:42:00,c6,South-west,No-take,44.4,Yes,Yes,Hayley 
32,-34.130076,114.86109,20200603,10:49:00,c5,South-west,No-take,43.2,Yes,Yes,Hayley 
33,-34.133067,114.8627,20200603,10:54:00,c5,South-west,No-take,43.6,Yes,No,Hayley 
34,-34.131334,114.866053,20200603,12:18:00,c5,South-west,No-take,42.7,Yes,Yes,Hayley 
35,-34.134801,114.869348,20200603,12:23:00,c5,South-west,No-take,43.8,Yes,Yes,Hayley 
36,-34.130484,114.878263,20200603,12:29:00,c4,South-west,No-take,42.2,Yes,Yes,Hayey
37,-34.126354,114.878937,20200603,12:34:00,c4,South-west,No-take,41.2,Yes,Yes,Hayley 
38,-34.127912,114.883938,20200603,12:39:00,c4,South-west,No-take,41.8,Yes,Yes,Hayley 
39,-34.132294,114.884797,20200603,12:42:00,c4,South-west,No-take,42.2,Yes,Yes,Hayley 
40,-34.133669,114.880443,20200603,12:46:00,c4,South-west,No-take,41.2,Yes,Yes,Hayley 
