OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210511_1	3	20210511_TOP_1_0002_0001.mp4	21243	20210511_BOTTOM_1_0002_0001.mp4	20712	31.81345	npz6.34	1.27349	395.81963	82.37341	-1533.98072	1.39039	0.77355	4.93071	0.09905	1586.36547	14.77026	Cirrhitidae	Paracirrhites	forsteri	37374010	1	AD	Passing			
20210511_1	4	20210511_TOP_1_0002_0001.mp4	21760	20210511_BOTTOM_1_0002_0001.mp4	21229	32.10096	npz6.34	1.56100	601.07972	-577.49766	-3594.67588	4.55036	4.58194	25.60847	5.93173	3690.05353	12.83389	Scaridae	Scarus	sp3		4	AD	Passing			
20210511_1	9	20210511_TOP_1_0002_0001.mp4	23221	20210511_BOTTOM_1_0002_0001.mp4	22690	32.91344	npz6.34	2.37348	735.63652	1667.64041	-2831.38251	4.76244	10.19261	17.82044	6.26997	3367.33018	33.64120	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing			
20210511_1	21	20210511_TOP_1_0003_0001.mp4	11977	20210511_BOTTOM_1_0003_0001.mp4	11446	46.66050	npz6.19	0.56835	-360.50971	257.42598	-1843.61540	1.52705	1.21640	6.77068	0.51267	1896.08890	13.92429	Pomacentridae	Chromis	spp		1	AD	Passing			
20210511_1	43	20210511_TOP_1_0003_0001.mp4	13913	20210511_BOTTOM_1_0003_0001.mp4	13382	47.73713	npz6.19	1.64498	-34.26985	-1480.27575	-3590.19322	1.74787	11.18608	25.63022	0.89213	3883.53937	21.46377	Labridae	Coris	auricularis	37384088	1	AD	Passing			
20210511_1	53	20210511_TOP_1_0003_0001.mp4	13989	20210511_BOTTOM_1_0003_0001.mp4	13458	47.77940	npz6.19	1.68724	363.85423	913.65050	-3885.27522	3.29865	6.73538	29.73383	0.44915	4007.80622	15.08977	Labridae	Coris	auricularis	37384088	1	AD	Passing			
20210511_1	60	20210511_TOP_1_0003_0001.mp4	14823	20210511_BOTTOM_1_0003_0001.mp4	14292	48.24320	npz6.19	2.15104	382.57110	-1015.67904	-2075.34309	1.91488	4.62079	8.97061	1.79041	2342.01057	26.96153	SUS	SUS	SUS	2	3	AD	Passing			
20210511_1	76	20210511_TOP_1_0005_0001.mp4	6908	20210511_BOTTOM_1_0005_0001.mp4	6377	83.84154	npz6.5	0.83194	338.85992	-911.22263	-1474.73848	1.29695	3.09675	4.85365	6.04415	1766.35396	33.09194	Labridae	Coris	auricularis	37384088	1	AD	Passing			
20210511_1	83	20210511_TOP_1_0005_0001.mp4	30554	20210511_BOTTOM_1_0005_0001.mp4	30023	96.99134	npz6.37	0.53275	447.62094	413.68265	-2847.70887	2.80952	2.60595	16.07399	1.96949	2912.20598	12.30207	Labridae		spp		1	AD	Passing			
20210511_1	84	20210511_TOP_1_0005_0001.mp4	30554	20210511_BOTTOM_1_0005_0001.mp4	30023	96.99134	npz6.37	0.53275	453.74350	133.25263	-2448.17162	2.43784	1.28755	11.96040	0.48105	2493.42810	11.02813	Labridae		spp		1	AD	Passing			
