OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210511_1	0	0	525.18711	1480.20264	515.84139	1535.06608
20210511_1	0	1	177.24907	1500.07048	159.36059	1511.27753
20210511_1	1	0	783.34449	1405.33040	786.11896	1297.87665
20210511_1	1	1	147.11276	1425.52423	159.80173	1228.85903
20210511_1	2	0	3356.34572	1937.90749	3324.91202	1845.56388
20210511_1	2	1	3396.79182	1933.14978	3360.99628	1847.14978
20210511_1	3	0	2977.18959	1970.06608	2927.48203	1816.07048
20210511_1	4	0	2654.86989	445.12335	2619.04957	566.19824
20210511_1	5	0	3032.22677	460.92511	2995.65923	545.43172
20210511_1	5	1	3152.37546	429.20705	3117.79058	533.93392
20210511_1	6	0	2530.26146	228.17181	2506.79430	338.17181
20210511_1	6	1	2646.84139	225.39648	2617.02974	343.72247
20210511_1	7	0	2173.58984	249.25551	2145.14126	359.36564
20210511_1	7	1	2270.34325	236.56828	2246.25651	347.47137
20210511_1	8	0	2433.33209	639.92952	2373.10657	634.43612
20210511_1	8	1	2590.35812	586.00881	2544.01115	593.99559
20210511_1	9	0	1798.98513	646.10132	1769.71128	696.16300
20210511_1	10	0	1328.15242	663.55066	1273.22677	735.55066
20210511_1	10	1	1445.12887	661.56828	1392.58240	715.72687
20210511_1	11	0	498.38166	658.24229	389.71252	618.72687
20210511_1	11	1	695.85378	667.36123	600.66667	645.29075
20210511_1	12	0	2863.98017	992.56828	2827.49814	736.08811
20210511_1	12	1	2808.06939	970.36564	2756.91574	718.64317
20210511_1	13	0	1439.96406	617.51542	1408.77323	691.08811
20210511_1	13	1	1336.86617	625.44493	1304.08922	691.08811
20210511_1	14	0	2868.49938	1017.68282	2831.46097	786.65198
20210511_1	14	1	2808.22677	987.55066	2762.46468	758.50220
20210511_1	15	0	1568.11772	588.20264	1540.28996	647.67401
20210511_1	15	1	1448.76208	551.33040	1421.72739	624.28194
20210511_1	16	0	3277.49600	694.75027	3278.92668	674.02629
20210511_1	16	1	3113.84843	632.05586	3100.29452	604.62870
20210511_1	17	0	2344.53284	211.25991	2324.80173	254.50220
20210511_1	17	1	2120.88971	273.11013	2108.29616	296.52863
20210511_1	18	0	3534.27509	431.72247	3510.87980	408.96916
20210511_1	18	1	3798.76084	398.81498	3766.24535	366.54626
20210511_1	19	0	1278.22305	1370.01762	1273.46097	1238.94273
20210511_1	19	1	1205.65799	1370.81057	1200.10285	1240.52863
20210511_1	20	0	806.23792	1694.87665	792.28748	1444.59912
20210511_1	20	1	685.69269	1661.57269	673.53532	1400.94273
20210511_1	21	0	1180.07435	1246.51982	1170.55762	1122.81938
20210511_1	22	0	195.09294	303.57269	111.02850	361.08811
20210511_1	22	1	86.84015	318.24229	3.96530	374.96476
20210511_1	23	0	1041.74597	1924.76211	1026.64808	1523.23348
20210511_1	23	1	1248.33829	1833.17621	1230.65551	1448.96035
20210511_1	24	0	3191.60719	787.79295	3178.51673	661.10573
20210511_1	24	1	3446.97274	768.76211	3456.08798	613.52863
20210511_1	25	0	3378.34696	369.22026	3356.38290	366.59912
20210511_1	25	1	3544.88971	273.27313	3517.37423	252.41410
20210511_1	26	0	2705.98513	1884.94714	2636.05081	1657.92511
20210511_1	26	1	2773.39529	1891.68722	2711.78810	1664.26872
20210511_1	27	0	2894.96654	1946.65639	2840.91326	1624.21586
20210511_1	27	1	2973.47955	1954.58590	2914.66791	1628.57709
20210511_1	28	0	3343.51921	1996.25551	3321.58860	1650.91189
20210511_1	28	1	3433.53160	1987.13656	3415.16976	1622.36564
20210511_1	29	0	3384.36183	2124.31718	3382.25774	1759.14978
20210511_1	29	1	3463.27138	2110.83700	3469.09789	1733.77533
20210511_1	30	0	1219.42875	572.33040	1172.70508	616.58150
20210511_1	30	1	1104.83147	541.80176	1039.07435	584.46696
20210511_1	31	0	1420.60099	734.46696	1380.10161	582.22907
20210511_1	31	1	1312.74473	756.27313	1270.26270	603.63877
20210511_1	32	0	988.82528	652.69163	921.77323	593.00441
20210511_1	32	1	896.03717	653.08811	824.62330	598.55507
20210511_1	33	0	277.17472	542.30396	187.95539	606.03084
20210511_1	33	1	176.05948	495.12335	78.90954	554.09251
20210511_1	34	0	2396.94424	940.82819	2296.42751	710.08370
20210511_1	34	1	2274.01983	938.05286	2160.02107	670.83260
20210511_1	35	0	1146.91326	515.70925	1087.99752	587.45374
20210511_1	35	1	1059.67658	516.50220	1001.95043	596.96916
20210511_1	36	0	3367.79430	1754.72247	3323.12144	1529.71806
20210511_1	36	1	3487.54647	1727.76211	3449.61462	1494.82819
20210511_1	37	0	2754.67906	936.49780	2687.62330	704.46256
20210511_1	37	1	2975.94300	870.28634	2939.42007	630.32159
20210511_1	38	0	1032.35936	550.27753	967.80793	572.07048
20210511_1	38	1	966.13879	529.66079	901.19083	564.53744
20210511_1	39	0	794.87980	326.50661	720.58364	475.48458
20210511_1	39	1	746.89963	340.77974	675.77571	490.55066
20210511_1	40	0	688.77447	293.18943	609.99876	421.03524
20210511_1	40	1	636.82900	294.77533	561.62206	423.81057
20210511_1	41	0	281.14002	343.77093	201.83395	499.01322
20210511_1	41	1	239.90087	302.53744	162.97398	457.38326
20210511_1	42	0	1002.27261	833.27753	943.78810	636.00881
20210511_1	42	1	862.69393	849.13656	785.96902	657.41850
20210511_1	43	0	384.18959	282.08811	312.86245	489.03965
20210511_1	44	0	1787.53160	860.20705	1794.35688	699.91630
20210511_1	44	1	1684.43371	853.46696	1684.91450	710.62115
20210511_1	45	0	1033.18959	519.40088	971.70756	614.38326
20210511_1	45	1	974.50310	509.09251	907.46964	611.21145
20210511_1	46	0	591.25774	299.60793	512.54895	447.45815
20210511_1	46	1	533.36431	269.87225	457.82776	420.89427
20210511_1	47	0	880.58488	230.08811	789.03346	284.88106
20210511_1	47	1	814.36431	208.67841	733.51921	272.98678
20210511_1	48	0	1746.84387	637.13656	1700.90954	497.12335
20210511_1	48	1	1644.93556	627.22467	1604.15613	510.20705
20210511_1	49	0	1632.11772	779.11894	1616.48203	707.93833
20210511_1	49	1	1536.55390	777.13656	1519.33209	719.03965
20210511_1	50	0	1731.80917	876.98238	1735.68649	717.70925
20210511_1	50	1	1635.45229	871.43172	1633.77819	732.77533
20210511_1	51	0	855.77447	474.31278	785.34325	543.23348
20210511_1	51	1	782.01983	472.33040	714.76084	547.19824
20210511_1	52	0	1905.37546	682.25991	1874.30855	563.36564
20210511_1	52	1	1795.53656	669.57269	1767.24535	572.48458
20210511_1	53	0	1344.23792	399.64758	1284.75836	551.89427
20210511_1	54	0	1670.42999	764.44934	1652.91202	651.00000
20210511_1	54	1	1559.40149	762.07048	1535.93556	664.08370
20210511_1	55	0	1565.41264	762.22467	1545.75836	691.54185
20210511_1	55	1	1493.24411	776.49780	1472.40025	717.70925
20210511_1	56	0	1079.96406	435.17181	1013.22181	516.90308
20210511_1	56	1	1021.67410	417.72687	949.77695	502.62996
20210511_1	57	0	1304.22305	614.44934	1257.72119	639.45374
20210511_1	57	1	1231.26146	600.96916	1185.94919	633.11013
20210511_1	58	0	1669.73854	783.44934	1654.87856	688.64317
20210511_1	58	1	1574.17472	789.39648	1562.09046	711.24229
20210511_1	59	0	1787.84387	563.72687	1738.63321	527.08811
20210511_1	59	1	1705.76208	570.46696	1655.75836	539.77533
20210511_1	60	0	289.38166	1790.13216	248.62454	1684.79295
20210511_1	61	0	786.92937	1943.66960	754.05081	1740.57709
20210511_1	61	1	700.08922	1930.98238	671.96902	1725.90749
20210511_1	62	0	528.40025	2042.64317	464.86493	1765.01762
20210511_1	62	1	621.18835	2054.14097	563.20446	1797.52863
20210511_1	63	0	673.27881	1901.58590	634.15737	1674.11894
20210511_1	63	1	732.75836	1924.18502	698.79182	1697.51101
20210511_1	64	0	913.44610	888.22026	851.87608	819.51101
20210511_1	64	1	715.18092	867.20705	636.56010	796.91189
20210511_1	65	0	811.55514	673.67401	747.32714	679.05286
20210511_1	65	1	697.35440	642.74890	622.42007	655.26432
20210511_1	66	0	615.37175	505.78855	543.53284	611.71366
20210511_1	66	1	455.96654	498.65198	368.26642	615.28194
20210511_1	67	0	728.92813	582.33040	647.53160	512.14097
20210511_1	67	1	607.98637	615.63436	531.74473	539.49780
20210511_1	68	0	866.34325	661.92952	796.63445	639.77533
20210511_1	68	1	766.41760	612.37004	687.98513	611.22907
20210511_1	69	0	815.20322	833.15859	742.59851	745.82819
20210511_1	69	1	687.52045	816.90308	604.20942	727.19383
20210511_1	70	0	2208.99876	583.92070	2148.96406	412.00441
20210511_1	70	1	2085.28129	620.00000	2031.59108	419.14097
20210511_1	71	0	2384.39405	490.00000	2339.44857	377.02203
20210511_1	71	1	2243.62577	478.10573	2194.71499	346.49339
20210511_1	72	0	2141.87732	562.96916	2084.48079	414.52423
20210511_1	72	1	2047.10657	597.46256	1975.43494	429.59031
20210511_1	73	0	2890.91698	455.32599	2856.87980	354.79295
20210511_1	73	1	3049.92565	397.44053	3025.00867	289.77093
20210511_1	74	0	2216.08922	401.92952	2178.84634	282.62115
20210511_1	74	1	2310.06691	353.95595	2286.70260	239.40529
20210511_1	75	0	2544.04833	633.67401	2489.70384	453.31278
20210511_1	75	1	2423.10657	666.58150	2359.64188	477.89427
20210511_1	76	0	2084.46344	665.85022	2000.89219	518.59031
20210511_1	77	0	1806.91078	664.69163	1771.11896	586.67841
20210511_1	77	1	1706.58860	684.91189	1676.74473	617.60352
20210511_1	78	0	1711.46468	705.07048	1673.17224	455.28194
20210511_1	78	1	1546.11152	699.51982	1505.04337	483.43172
20210511_1	79	0	1410.81289	1933.04405	1417.14002	1746.09692
20210511_1	79	1	1557.13259	1927.88987	1573.37299	1743.71806
20210511_1	80	0	3345.28501	998.99119	3389.49195	614.72247
20210511_1	80	1	3151.38166	991.06167	3153.55638	604.01762
20210511_1	81	0	3300.55143	814.61674	3304.98141	728.18943
20210511_1	81	1	3226.00372	803.11894	3232.01983	723.03524
20210511_1	82	0	3202.70260	828.61233	3192.99752	745.57269
20210511_1	82	1	3153.53284	817.11454	3145.01735	743.19383
20210511_1	83	0	3110.30731	445.53744	3086.15489	519.14097
20210511_1	84	0	2974.29740	508.97357	2949.35192	542.92952
20210511_1	85	0	1744.23544	602.08370	1694.25898	477.89427
20210511_1	85	1	1695.85874	682.96476	1663.72615	554.81057
20210511_1	86	0	1689.06691	349.15419	1606.89095	327.51542
20210511_1	86	1	1630.77695	336.46696	1535.51549	315.62115
20210511_1	87	0	3509.45973	303.31278	3490.53160	299.19824
20210511_1	87	1	3407.94796	289.43612	3385.84758	274.22026
20210511_1	88	0	2582.74102	201.74009	2562.33333	57.09251
20210511_1	89	0	2036.93432	727.39648	1937.70384	336.41850
20210511_1	89	1	2082.53532	750.78855	1974.97770	351.88106
20210511_1	90	0	2245.12020	457.51982	2207.65799	147.74449
20210511_1	90	1	2272.48079	486.46256	2226.69145	173.91189
20210511_1	91	0	2428.34449	496.98678	2387.72491	215.69604
20210511_1	91	1	2470.37670	520.77533	2423.80917	240.67401
20210511_1	92	0	2503.29616	692.38326	2446.06815	489.55947
20210511_1	92	1	2562.77571	718.55066	2498.01363	517.31278
20210511_1	93	0	2355.53408	378.14097	2324.02107	161.47137
20210511_1	93	1	2382.10161	405.10132	2352.57125	186.05286
20210511_1	94	0	2031.82156	801.67401	1927.13755	485.28634
20210511_1	95	0	2881.58860	728.15859	2849.72491	591.46696
20210511_1	95	1	2945.82652	747.98238	2908.80793	609.70485
20210511_1	96	0	2595.12144	885.81057	2523.08674	610.55507
20210511_1	96	1	2654.60099	890.56828	2590.89343	633.94714
20210511_1	97	0	2632.18959	643.48018	2581.63817	383.50661
20210511_1	97	1	2680.96283	643.87665	2631.20446	400.95154
20210511_1	98	0	2704.63693	729.20705	2658.24040	501.34361
20210511_1	98	1	2744.68649	746.25551	2695.11772	527.90749
20210511_1	99	0	3608.02974	857.82819	3645.70012	748.69604
20210511_1	99	1	3664.33705	883.20264	3711.12763	762.17621
20210511_1	100	0	2074.34572	207.00441	2069.88848	26.16740
20210511_1	101	0	2939.82528	1030.96476	2897.65180	574.26432
20210511_1	101	1	2890.65551	1004.00441	2840.55143	550.87225
20210511_1	102	0	2057.65799	318.68282	2039.29368	53.52423
20210511_1	102	1	2104.05204	336.92070	2086.48079	75.72687
20210511_1	103	0	2106.00124	748.33040	2008.27633	371.83700
20210511_1	103	1	2198.39281	764.18943	2093.53036	409.50220
20210511_1	104	0	2537.01859	737.24229	2471.39653	332.60793
20210511_1	104	1	2581.42999	743.58590	2516.99752	348.46696
