Period,Sampleold,Longitude,Latitude,Date,Time,Location,Site,Status,Depth,Observer,Successful.count,Successful.length,Raw.hdd.number,Con.hdd.number,Chunk.number,Conversion.notes,Type,Video.notes,FishnClipz,Habitat.image.saved,Downwards.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
npz6.34,34,113.549,-28.0563,20210511,10:39:57,NPZ6,npz6.34,No-take,49.1,Claude,Y,Y,RAW1,CON1,1,,MBH,Filmed 42 but should be 34,Yes,Yes,Yes,,,Claude,20210716,Brooke,Claude,20210818,wrasse sp
npz6.19,19,113.5314,-28.0463,20210511,10:55:30,NPZ6,npz6.19,No-take,48.1,Claude,Y,Y,RAW1,CON1,1,,MBH,"all cams on, checked bottom footage",Yes,Yes,Yes,,,Claude,20210716,Brooke,Claude,20210818,
npz6.36,36,113.4739,-28.0765,20210511,11:22:14,NPZ6,npz6.36,No-take,52.9,Claude,Y,Y,RAW1,CON1,1,,MBH,,Yes,Yes,Yes,,,Claude,20210716,Brooke,Claude,20210818,tetraodontidae spp same as those in bruvs
npz6.5,5,113.4763,-28.0839,20210511,11:32:29,NPZ6,npz6.5,No-take,53.2,Claude,Y,Y,RAW1,CON1,1,,MBH,,Yes,Yes,Yes,,,Claude,20210719,Brooke,Claude,20210818,downwards cam obstructed
npz6.37,37,113.4639,-28.0964,20210511,11:46:02,NPZ6,npz6.37,No-take,39.2,Claude,Y,Y,RAW1,CON1,1,,MBH,,Yes,Yes,Yes,,,Claude,20210719,Brooke,Claude,20210818,wrasse sp
npz6.14,14,113.4589,-28.0912,20210511,11:56:15,NPZ6,npz6.14,No-take,25.5,Claude,Y,Y,RAW1,CON1,1,Resync - north MAH07463,MBH,checked cams afterwards,Yes,Yes,Yes,,,Claude,20210719,Brooke,Claude,20210818,crayfish
npz6.33,33,113.4437,-28.0887,20210511,12:10:09,NPZ6,npz6.33,No-take,28,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210719,Brooke,Claude,20210819,"1 unknown wrasse, red with stripes pale face"
npz6.29,29,113.4589,-28.0837,20210511,12:23:21,NPZ6,npz6.29,No-take,43.1,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210719,Brooke,Claude,20210819,Very small wrasse
npz6.11,11,113.4539,-28.0761,20210511,12:34:24,NPZ6,npz6.11,No-take,34,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210719,Brooke,Claude,20210819,
npz6.13,13,113.4489,-28.0537,20210511,12:50:37,NPZ6,npz6.13,No-take,57,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,
npz6.26,26,113.4414,-28.0487,20210511,13:01:18,NPZ6,npz6.26,No-take,42,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,
npz6.20,20,113.4413,-28.0462,20210511,13:09:55,NPZ6,npz6.20,No-take,51,Claude,Y,Y,RAW1,CON1,2,,MBH,checked cams,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210923,pseudanthias spp 
npz6.6,6,113.4213,-28.0362,20210511,13:26:30,NPZ6,npz6.6,No-take,66.6,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,check flatty
npz6.17,17,113.3939,-28.0587,20210511,13:45:12,NPZ6,npz6.17,No-take,65.7,Claude,Y,Y,RAW1,CON1,2,,MBH,Lat and lon not recorded in field used MBH plan,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,
npz6.21,21,113.4014,-28.0737,20210511,13:59:39,NPZ6,npz6.21,No-take,57.4,Claude,Y,Y,RAW1,CON1,2,,MBH,Lat and lon not recorded in field used MBH plan,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,
npz6.31,31,113.3938,-28.0711,20210511,14:11:16,NPZ6,npz6.31,No-take,81.9,Claude,Y,Y,RAW1,CON1,2,,MBH,,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,parapercis spp
npz6.7,7,113.3812,-28.0687,20210511,14:23:16,NPZ6,npz6.7,No-take,89.5,Claude,Y,Y,RAW1,CON1,3,,MBH,"checked cams, all on",Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,no fish
npz6.15,15,113.3788,-28.0712,20210511,14:33:06,NPZ6,npz6.15,No-take,92,Claude,Y,Y,RAW1,CON1,3,,MBH,,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,
npz6.25,25,113.3815,-28.0362,20210511,14:53:40,NPZ6,npz6.25,No-take,70.6,Claude,Y,Y,RAW1,CON1,3,,MBH,,Yes,Yes,Yes,,,Claude,20210809,Brooke,Claude,20210819,
