OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210511_1	0	npz6.34	20210511_TOP_1_0002_0001.mp4	18953	30.53995	20210511_TOP_1_0002_0001.mp4	24348	33.54017	1
20210511_1	1	npz6.19	20210511_TOP_1_0003_0001.mp4	10955	46.09216	20210511_TOP_1_0003_0001.mp4	16350	49.09238	1
20210511_1	2	npz6.36	20210511_TOP_1_0004_0001.mp4	23192	72.89727	20210511_TOP_1_0004_0001.mp4	28587	75.89749	1
20210511_1	3	npz6.5	20210511_TOP_1_0005_0001.mp4	5412	83.00959	20210511_TOP_1_0005_0001.mp4	10807	86.00981	1
20210511_1	4	npz6.37	20210511_TOP_1_0005_0001.mp4	29596	96.45858	20210511_TOP_1_0005_0001.mp4	34991	99.45880	1
20210511_1	5	npz6.14	20210511_TOP_1_0006_0001.mp4	11756	106.53754	20210511_TOP_1_0006_0001.mp4	17151	109.53776	1
20210511_2	0	npz6.33	20210511_TOP_2_0001_0001.mp4	14317	7.96184	20210511_TOP_2_0001_0001.mp4	19712	10.96206	1
20210511_2	1	npz6.29	20210511_TOP_2_0002_0001.mp4	2064	21.14779	20210511_TOP_2_0002_0001.mp4	7459	24.14801	1
20210511_2	2	npz6.11	20210511_TOP_2_0002_0001.mp4	21870	32.16213	20210511_TOP_2_0002_0001.mp4	27265	35.16235	1
20210511_2	3	npz6.13	20210511_TOP_2_0003_0001.mp4	15178	48.44061	20210511_TOP_2_0003_0001.mp4	20573	51.44083	1
20210511_2	4	npz6.26	20210511_TOP_2_0003_0001.mp4	34394	59.12685	20210511_TOP_2_0004_0001.mp4	3825	62.12707	1
20210511_2	5	npz6.20	20210511_TOP_2_0004_0001.mp4	13784	67.66538	20210511_TOP_2_0004_0001.mp4	19179	70.66559	1
20210511_2	6	npz6.6	20210511_TOP_2_0005_0001.mp4	7846	84.36317	20210511_TOP_2_0005_0001.mp4	13241	87.36339	1
20210511_2	7	npz6.17	20210511_TOP_2_0006_0001.mp4	5447	103.02904	20210511_TOP_2_0006_0001.mp4	10842	106.02926	1
20210511_2	8	npz6.21	20210511_TOP_2_0006_0001.mp4	31349	117.43343	20210511_TOP_2_0007_0001.mp4	780	120.43365	1
20210511_2	9	npz6.31	20210511_TOP_2_0007_0001.mp4	16261	129.04280	20210511_TOP_2_0007_0001.mp4	21656	132.04302	1
20210511_3	0	npz6.7	20210511_TOP_3_0001_0001.mp4	9554	5.31309	20210511_TOP_3_0001_0001.mp4	14949	8.31330	1
20210511_3	1	npz6.15	20210511_TOP_3_0001_0001.mp4	27312	15.18851	20210511_TOP_3_0001_0001.mp4	32707	18.18873	1
20210511_3	2	npz6.25	20210511_TOP_3_0002_0001.mp4	28509	35.85415	20210511_TOP_3_0002_0001.mp4	33904	38.85437	1
20210511_3	3	npz6.1	20210511_TOP_3_0003_0001.mp4	16013	48.90497	20210511_TOP_3_0003_0001.mp4	21408	51.90519	1
20210511_3	4	npz6.9	20210511_TOP_3_0004_0001.mp4	2234	61.24229	20210511_TOP_3_0004_0001.mp4	7629	64.24251	1
20210511_3	5	npz6.16	20210511_TOP_3_0004_0001.mp4	27602	75.34972	20210511_TOP_3_0004_0001.mp4	32997	78.34994	1
20210511_3	6	npz6.23	20210511_TOP_3_0005_0001.mp4	22355	92.43178	20210511_TOP_3_0005_0001.mp4	27750	95.43200	1
20210511_3	7	npz6.12	20210511_TOP_3_0006_0001.mp4	12378	106.88344	20210511_TOP_3_0006_0001.mp4	17773	109.88366	1
20210513_1	0	npz6.42	20210513_TOP_1_0006_0001.mp4	10077	102.80187	20210513_TOP_1_0006_0001.mp4	20866	105.80181	1
20210513_1	1	npz6.50	20210513_TOP_1_0006_0001.mp4	47628	113.24313	20210513_TOP_1_0006_0001.mp4	58417	116.24307	1
20210513_1	2	npz6.45	20210513_TOP_1_0007_0001.mp4	35526	129.87808	20210513_TOP_1_0007_0001.mp4	46315	132.87802	1
20210513_1	3	npz6.46	20210513_TOP_1_0008_0001.mp4	6372	141.77191	20210513_TOP_1_0008_0001.mp4	17161	144.77185	1
20210513_1	4	npz6.24	20210513_TOP_1_0009_0001.mp4	1217	160.33851	20210513_TOP_1_0009_0001.mp4	12006	163.33845	1
20210513_2	0	npz6.18	20210513_TOP_2_0001_0001.mp4	23134	6.43254	20210513_TOP_2_0001_0001.mp4	33923	9.43248	1
20210513_2	1	npz6.47	20210513_TOP_2_0002_0001.mp4	33781	29.39297	20210513_TOP_2_0002_0001.mp4	44570	32.39292	1
20210513_2	2	npz6.49	20210513_TOP_2_0002_0001.mp4	71894	39.99051	20210513_TOP_2_0003_0001.mp4	10755	42.99045	1
20210513_2	3	npz6.38	20210513_TOP_2_0003_0001.mp4	47718	53.26822	20210513_TOP_2_0003_0001.mp4	58507	56.26816	1
20210513_2	4	npz6.39	20210513_TOP_2_0004_0001.mp4	15123	64.20497	20210513_TOP_2_0004_0001.mp4	25912	67.20492	1
20210513_2	5	npz6.40	20210513_TOP_2_0004_0001.mp4	69574	79.34538	20210513_TOP_2_0005_0001.mp4	8435	82.34532	1
20210513_2	6	npz6.28	20210513_TOP_2_0005_0001.mp4	41791	91.62014	20210513_TOP_2_0005_0001.mp4	52580	94.62008	1
20210513_2	7	npz6.43	20210513_TOP_2_0006_0001.mp4	33285	109.25498	20210513_TOP_2_0006_0001.mp4	44074	112.25492	1
20210513_2	8	npz6.8	20210513_TOP_2_0007_0001.mp4	20646	125.74061	20210513_TOP_2_0007_0001.mp4	31435	128.74056	1
20210513_2	9	npz6.30	20210513_TOP_2_0007_0001.mp4	59482	136.53918	20210513_TOP_2_0007_0001.mp4	70271	139.53912	1
20210513_2	10	npz6.2	20210513_TOP_2_0008_0001.mp4	40028	151.13015	20210513_TOP_2_0008_0001.mp4	50817	154.13009	1
20210513_2	11	npz6.3	20210513_TOP_2_0009_0001.mp4	11372	163.16217	20210513_TOP_2_0009_0001.mp4	22161	166.16211	1
20210513_2	12	npz6.32	20210513_TOP_2_0009_0001.mp4	61392	177.07050	20210513_TOP_2_0010_0001.mp4	253	180.07045	1
20210513_2	13	npz6.10	20210513_TOP_2_0011_0001.mp4	6703	201.86388	20210513_TOP_2_0011_0001.mp4	17492	204.86383	1
20210513_2	14	npz6.35	20210513_TOP_2_0012_0001.mp4	71241	239.80901	20210513_TOP_2_0013_0001.mp4	10102	242.80896	1
20210513_2	15	npz6.27	20210513_TOP_2_0014_0001.mp4	24479	266.80654	20210513_TOP_2_0014_0001.mp4	35268	269.80648	1
20210513_2	16	npz6.4	20210513_TOP_2_0015_0001.mp4	46974	293.06138	20210513_TOP_2_0015_0001.mp4	57763	296.06132	1
20210514_1	0	npz9.24	20210514_TOP_1_0002_0001.mp4	2140	20.59502	20210514_TOP_1_0002_0001.mp4	12929	23.59496	1
20210514_1	1	npz9.48	20210514_TOP_1_0002_0001.mp4	51579	34.34181	20210514_TOP_1_0002_0001.mp4	62368	37.34175	1
20210514_1	2	npz9.46	20210514_TOP_1_0003_0001.mp4	28206	47.84280	20210514_TOP_1_0003_0001.mp4	38995	50.84274	1
20210514_1	3	npz9.19	20210514_TOP_1_0004_0001.mp4	21466	65.96868	20210514_TOP_1_0004_0001.mp4	32255	68.96862	1
20210514_1	4	npz9.50	20210514_TOP_1_0005_0001.mp4	784	80.21792	20210514_TOP_1_0005_0001.mp4	11573	83.21786	1
20210514_1	5	npz9.47	20210514_TOP_1_0005_0001.mp4	51489	94.31672	20210514_TOP_1_0005_0001.mp4	62278	97.31666	1
20210514_1	6	npz9.49	20210514_TOP_1_0006_0001.mp4	30979	108.61378	20210514_TOP_1_0006_0001.mp4	41768	111.61372	1
20210514_1	7	npz9.45	20210514_TOP_1_0007_0001.mp4	1524	120.42364	20210514_TOP_1_0007_0001.mp4	12313	123.42358	1
20210514_1	8	npz9.43	20210514_TOP_1_0007_0001.mp4	43044	131.96850	20210514_TOP_1_0007_0001.mp4	53833	134.96844	1
20210514_1	9	npz9.5	20210514_TOP_1_0008_0001.mp4	35428	149.85109	20210514_TOP_1_0008_0001.mp4	46217	152.85103	1
20210514_2	0	npz9.14	20210514_TOP_2_0001_0001.mp4	32322	8.98731	20210514_TOP_2_0001_0001.mp4	43111	11.98725	1
20210514_2	1	npz9.7	20210514_TOP_2_0002_0001.mp4	13715	23.81351	20210514_TOP_2_0002_0001.mp4	24504	26.81345	1
20210514_2	2	npz9.16	20210514_TOP_2_0003_0001.mp4	1156	40.32139	20210514_TOP_2_0003_0001.mp4	11945	43.32133	1
20210514_2	3	npz9.8	20210514_TOP_2_0003_0001.mp4	52662	54.64292	20210514_TOP_2_0003_0001.mp4	63451	57.64286	1
20210514_2	4	npz9.26	20210514_TOP_2_0004_0001.mp4	29668	68.24929	20210514_TOP_2_0004_0001.mp4	40457	71.24923	1
20210514_2	5	npz9.27	20210514_TOP_2_0005_0001.mp4	7323	82.03612	20210514_TOP_2_0005_0001.mp4	18112	85.03606	1
20210514_2	6	npz9.13	20210514_TOP_2_0005_0001.mp4	62841	97.47321	20210514_TOP_2_0006_0001.mp4	1702	100.47315	1
20210514_2	7	npz9.41	20210514_TOP_2_0006_0001.mp4	50106	113.93215	20210514_TOP_2_0006_0001.mp4	60895	116.93209	1
20210514_2	8	npz9.44	20210514_TOP_2_0007_0001.mp4	22720	126.31730	20210514_TOP_2_0007_0001.mp4	33509	129.31724	1
20210514_2	9	npz9.22	20210514_TOP_2_0008_0001.mp4	1639	140.45587	20210514_TOP_2_0008_0001.mp4	12428	143.45581	1
20210514_2	10	npz9.6	20210514_TOP_2_0008_0001.mp4	43024	151.96320	20210514_TOP_2_0008_0001.mp4	53813	154.96314	1
20210514_2	11	npz9.4	20210514_TOP_2_0009_0001.mp4	38859	170.80508	20210514_TOP_2_0009_0001.mp4	49648	173.80502	1
20210514_2	12	npz9.9	20210514_TOP_2_0010_0001.mp4	30288	188.42184	20210514_TOP_2_0010_0001.mp4	41077	191.42179	1
20210514_2	13	npz9.42	20210514_TOP_2_0010_0001.mp4	70915	199.71841	20210514_TOP_2_0011_0001.mp4	9776	202.71835	1
20210514_2	14	npz9.17	20210514_TOP_2_0012_0001.mp4	6251	221.73818	20210514_TOP_2_0012_0001.mp4	17040	224.73812	1
