OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.10	0	L027 (07).MP4	2379	R028 (07).MP4	3966	0.66149		-1.00000	-61.36789	99.13632	-651.37152	0.33935	0.34660	0.87034	1.63916	661.72418	10.35588								sync		
npz6.13	0	L039 (07).MP4	2552	R040 (07).MP4	4253	0.70960		-1.00000	0.67444	100.08666	-846.11837	0.42316	0.45161	1.43515	1.86337	852.01766	6.26476								sync		
npz6.13	1	L039 (09).MP4	67204	R040 (09).MP4	68905	63.76565	1	4.66271	413.73262	28.01166	-995.04002	0.89655	0.48616	1.86198	4.08841	1077.99072	22.59609	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
npz6.13	4	L039 (11).MP4	12165	R040 (11).MP4	13866	93.54095	1	34.43801	-436.16096	-293.74834	-1766.14706	1.69349	1.28716	6.12791	1.27374	1842.76963	16.85406	Apogonidae	Ostorhinchus	spp		1	AD	Passing			
npz6.14	0	L029 (01).MP4	14633	R030 (01).MP4	13785	4.06879		-1.00000	11.64185	100.57393	-457.31893	0.23287	0.24872	0.44495	0.36594	468.39220	11.99593								sync		
npz6.14	1	L029 (02).MP4	78708	R030 (02).MP4	77860	44.40825	1	2.60260	-232.55872	-207.99379	-647.34158	0.43223	0.41147	0.84426	0.54531	718.60705	26.06240	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
npz6.14	5	L029 (03).MP4	16097	R030 (03).MP4	15249	49.53838	1	7.73273	838.29419	-50.65529	-2267.37665	3.86017	1.10762	10.42758	56.81395	2417.91232	20.35959	Labridae	Labroides	dimidiatus	37384028	1	AD	Passing			
npz6.14	28	L029 (03).MP4	75253	R030 (03).MP4	74405	65.98703	1	24.18138	993.02451	55.70011	-1719.60673	3.18934	0.85121	5.60714	7.83366	1986.51642	30.02035	Serranidae	Epinephelus	rivulatus	37311022	1	AD	Passing			
npz6.14	50	L029 (04).MP4	65751	R030 (04).MP4	64903	85.88441	1	44.07876	301.52664	5.51481	-1433.69226	1.09541	0.70077	4.24717	18.22291	1465.06731	11.88000	Labridae	Coris	auricularis	37384088	12	AD	Passing			
npz6.14	61	L029 (05).MP4	11930	R030 (05).MP4	11082	93.45864	1	51.65299	790.06623	195.85657	-2252.12212	3.63079	1.46203	10.28095	10.08712	2394.70634	19.75871	Pomacentridae	Chromis	spp	99379175	43	AD	Passing			
npz6.15	0	L043 (07).MP4	1899	R044 (07).MP4	3210	0.52803		-1.00000	-29.32086	74.60885	-617.60435	0.32217	0.32470	0.83293	1.12741	622.78514	7.32956								sync		
npz6.17	0	L031 (08).MP4	9869	R032 (08).MP4	11392	47.82333		-1.00000	-6.83521	-116.26317	-467.55621	0.23736	0.25821	0.46499	4.47829	481.84297	14.24249	Nempiteridae							sync		
npz6.17	1	L031 (08).MP4	32389	R032 (08).MP4	33912	54.08514	1	0.99043	207.04926	-479.68805	-1548.43798	0.98417	1.65733	4.90656	10.27380	1634.20629	18.88018	Labridae		spp		1	AD	Passing			
npz6.17	8	L031 (09).MP4	74015	R032 (09).MP4	75538	88.19894	1	35.10424	198.14040	-379.33103	-1295.59135	0.81060	1.16404	3.44677	10.32009	1364.44443	18.50655	Apogonidae	Ostorhinchus	spp		1	AD	Passing			
npz6.17	9	L031 (09).MP4	74015	R032 (09).MP4	75538	88.19894	1	35.10424	160.99601	-438.47517	-1655.14373	0.96497	1.65077	5.61075	8.29883	1719.79097	15.99987	Apogonidae	Ostorhinchus	spp		1	AD	Passing			
npz6.17	11	L031 (10).MP4	29794	R032 (10).MP4	31318	98.44279	1	45.34808	-3125.83304	772.90747	-6883.49247	41.85521	11.34940	93.32363	26.13159	7599.38726	25.00910	Labridae	Bodianus	solatus	37384201	1	AD	Passing			
npz6.17	16	L031 (10).MP4	45357	R032 (10).MP4	46881	102.77017	1	49.67546	-130.17721	-38.79121	-1558.23505	0.85864	0.76395	4.99450	0.05420	1564.14429	5.06092	Dasyatidae	Taeniurops	meyeni	37035017	1	AD	Passing			
npz6.17	19	L031 (10).MP4	74069	R032 (10).MP4	75593	110.75370	1	57.65899	792.85429	-146.33379	-1478.15732	2.19462	0.79880	4.07591	22.84442	1683.74005	28.65722	Labridae	Choerodon	albofasciatus	37384013	1	AD	Passing			
npz6.18	0	L035 (03).MP4	20544	R036 (02).MP4	6537	28.23543		-1.00000	31.89741	144.63054	-1291.29269	0.64440	0.74173	3.34017	0.88625	1299.75854	6.18509								sync		
npz6.2	0	L033 (03).MP4	2213	R034 (03).MP4	677	45.69454		-1.00000	-15.84387	99.02039	-1360.22202	0.67183	0.71514	3.69208	3.66911	1363.91349	4.07872								sync		
npz6.2	1	L033 (03).MP4	48426	R034 (03).MP4	46890	58.54432	1	2.80753	-240.14197	-390.45974	-1138.64448	0.75915	1.02665	2.58433	0.01940	1227.45193	22.04769	Pinguipedidae	Parapercis	haackei	37390004	1	AD	Passing			
npz6.2	3	L033 (03).MP4	56220	R034 (03).MP4	54684	60.71148	1	4.97469	293.28590	-261.38982	-782.92757	0.57352	0.54890	1.18676	7.24074	875.96623	26.73990	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz6.2	4	L033 (04).MP4	10861	R034 (04).MP4	9325	70.63862	1	14.90183	1002.97898	-207.54531	-1783.42093	3.27969	1.08396	5.90410	2.10148	2056.60694	29.89751	Tetraodontidae	Torquigener	pallimaculatus	37467009	1	AD	Passing			
npz6.2	5	L033 (04).MP4	11156	R034 (04).MP4	9620	70.72065	1	14.98386	474.41766	83.30265	-2318.50462	2.36837	1.18962	10.62862	2.25551	2368.01080	11.71307	Tetraodontidae	Torquigener	pallimaculatus	37467009	1	AD	Passing			
npz6.2	14	L033 (04).MP4	26496	R034 (04).MP4	24960	74.98602	1	19.24923	-218.32336	203.84997	-1449.38865	0.92643	0.91664	4.16935	1.01999	1479.84707	11.55001	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	20	L033 (04).MP4	26583	R034 (04).MP4	25047	75.01021	1	19.27342	743.15362	70.15524	-1410.65135	2.00243	0.70333	3.75989	0.21112	1595.97503	27.87313	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	27	L033 (04).MP4	26619	R034 (04).MP4	25083	75.02022	1	19.28343	-355.25309	208.98381	-1986.25887	1.64553	1.26770	7.77038	0.58195	2028.57174	11.65282	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	28	L033 (04).MP4	26620	R034 (04).MP4	25084	75.02050	1	19.28371	-184.47438	404.86278	-1981.49429	1.18736	1.84781	7.73134	0.49997	2030.82847	12.52807	Labridae	Coris	auricularis	37384088	1	AD	Passing			
