Dot Point Measurements

Generated: Friday 08 October 2021 13:30:49

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
npz6.10.JPG	      0		349	372																Limited					100.0
npz6.10.JPG	      0		1036	372																Limited					84.0
npz6.10.JPG	      0		1724	372																Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				84.0
npz6.10.JPG	      0		2411	372																Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				100.0
npz6.10.JPG	      0		349	1106																Limited					70.6
npz6.10.JPG	      0		1036	1106																Limited					45.2
npz6.10.JPG	      0		1724	1106																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				45.2
npz6.10.JPG	      0		2411	1106																Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				70.6
npz6.10.JPG	      0		349	1840																Limited					57.5
npz6.10.JPG	      0		1036	1840																Limited					19.2
npz6.10.JPG	      0		1724	1840																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				19.2
npz6.10.JPG	      0		2411	1840																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				57.5
npz6.10.JPG	      0		349	2574																Limited					70.6
npz6.10.JPG	      0		1036	2574																Limited					45.2
npz6.10.JPG	      0		1724	2574																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				45.2
npz6.10.JPG	      0		2411	2574																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				70.6
npz6.10.JPG	      0		349	3308																Open					100.0
npz6.10.JPG	      0		1036	3308																Limited					84.0
npz6.10.JPG	      0		1724	3308																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				84.0
npz6.10.JPG	      0		2411	3308																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				100.0
npz6.12.JPG	      0		349	372																Limited					100.0
npz6.12.JPG	      0		1036	372																Limited					84.0
npz6.12.JPG	      0		1724	372																Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				84.0
npz6.12.JPG	      0		2411	372																Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				100.0
npz6.12.JPG	      0		349	1106																Limited					70.6
npz6.12.JPG	      0		1036	1106																Limited					45.2
npz6.12.JPG	      0		1724	1106																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				45.2
npz6.12.JPG	      0		2411	1106																Limited	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				70.6
npz6.12.JPG	      0		349	1840																Limited					57.5
npz6.12.JPG	      0		1036	1840																Limited					19.2
npz6.12.JPG	      0		1724	1840																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				19.2
npz6.12.JPG	      0		2411	1840																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				57.5
npz6.12.JPG	      0		349	2574																Open					70.6
npz6.12.JPG	      0		1036	2574																Limited					45.2
npz6.12.JPG	      0		1724	2574																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				45.2
npz6.12.JPG	      0		2411	2574																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				70.6
npz6.12.JPG	      0		349	3308																Open					100.0
npz6.12.JPG	      0		1036	3308																Limited					84.0
npz6.12.JPG	      0		1724	3308																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				84.0
npz6.12.JPG	      0		2411	3308																Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."				100.0
npz6.13.JPG	      0		349	372																Limited					100.0
npz6.13.JPG	      0		1036	372																Open					84.0
npz6.13.JPG	      0		1724	372																Limited	.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.				84.0
npz6.13.JPG	      0		2411	372																Limited	.1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.				100.0
npz6.13.JPG	      0		349	1106																Limited					70.6
