sample,type,longitude,latitude,date,time,time.out,site,location,status,depth,observer,maxn.complete.yyyymmdd,maxn.checker,successful.count,successful.length,left.cam,right.cam,rear.cam,video.notes,raw.hd,con.hd,forward.habitat.image.saved,backward.habitat.image.saved,habitat.classification,length.analyst,length.complete.date.yyyymmdd,notes
1.01,new,113.5404917,-22.84786205,12082019,9:23:00,10:33:00,1,Ningaloo Marine Park,NA,?,Brooke Gibbons,20199826,Todd,Yes,Yes,373,374,439,Lifted up 20 mins in. Test Video. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,Two lat and lons in file given by CSIRO
1.02,new,113.5252875,-22.85016136,12082019,9:35:00,10:50:00,1,Ningaloo Marine Park,NA,?,Brooke Gibbons,20190912,Todd,Yes,Yes,369,370,422,Easy test video. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,
1.03,legacy,113.51304,-22.84437,12082019,9:43:00,10:59:00,1,Ningaloo Marine Park,NA,?,Charlotte Aston,20190829,,Yes,Yes,367,368,420,Hammer after 60 mins. On backwards photos too. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20200409,
1.04,new,113.5183981,-22.8402743,12082019,9:51:00,11:13:00,1,Ningaloo Marine Park,NA,?,Charlotte Aston,20190904,Todd,Yes,Yes,375,376,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,
1.05,legacy,113.51601,-22.83417,12082019,9:58:00,11:20:00,1,Ningaloo Marine Park,NA,?,Charlotte Aston,20190904,Todd. Can't measure Decapterus or commerson,Yes,No,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,Measurements accepted with high RMS
1.06,new,113.523387,-22.83153691,12082019,10:06:00,11:31:00,1,Ningaloo Marine Park,NA,?,Charlotte Aston,20190911,Todd ,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,
2.02,new,113.5625852,-22.83153691,12082019,11:47:00,12:55:00,2,Ningaloo Marine Park,NA,?,Brooke Gibbons,20190913,Todd,Yes,No,378,377,423,Right wasn't turned on. Jumping frames but no right.,1,1,Yes,Yes,20200304,,NA,Right wasn't turned on
2.03,new,113.5659111,-22.82900766,12082019,11:57:00,13:04:00,2,Ningaloo Marine Park,NA,?,Charlotte Aston,20190904,Todd,Yes,Yes,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,Measurements accepted with high RMS
2.04,new,113.5815904,-22.82440903,12082019,12:05:00,13:15:00,2,Ningaloo Marine Park,NA,?,Charlote Aston,20190904,Todd,Yes,Yes,375,376,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,Measurements accepted with high RMS
2.05,new,113.5770767,-22.82256957,12082019,12:12:00,13:25:00,2,Ningaloo Marine Park,NA,?,Charlotte Aston ,20190906,Todd,Yes,Yes,367,368,420,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,
