Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
NCB521,-20.61335667,115.4360017,SW.Montebello,Fished,1,10.6,Matt,Yes,Yes,Todd,2014-10-29T00:12:00Z
NCB522,-20.60826167,115.436625,SW.Montebello,Fished,1,10.6,Matt,Yes,Yes,Todd,2014-10-29T00:15:00Z
NCB523,-20.60332833,115.4357583,SW.Montebello,Fished,1,11.4,NA,No,No,NA,2014-10-29T00:19:00Z
NCB524,-20.60011333,115.43557,SW.Montebello,Fished,1,11.6,Katrina,Yes,Yes,ET,2014-10-29T00:02:00Z
NCB525,-20.59529333,115.434155,SW.Montebello,Fished,1,10.8,Katrina,Yes,Yes,ET,2014-10-29T00:28:00Z
NCB526,-20.58786,115.4324067,SW.Montebello,Fished,1,11.3,Katrina,Yes,Yes,ET,2014-10-29T00:32:00Z
NCB527,-20.58033333,115.4315317,SW.Montebello,Fished,2,12.1,Katrina,Yes,Yes,ET,2014-10-29T00:38:00Z
NCB528,-20.57413833,115.4307717,SW.Montebello,Fished,2,11.3,Katrina,Yes,Yes,ET,2014-10-29T00:41:00Z
NCB529,-20.565655,115.4304983,SW.Montebello,Fished,2,11.6,Katrina,Yes,Yes,ET,2014-10-29T00:48:00Z
NCB530,-20.56051,115.4304067,SW.Montebello,Fished,2,11.1,Katrina,Yes,Yes,ET,2014-10-29T00:55:00Z
NCB531,-20.53742333,115.4458033,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,MB,2014-10-29T02:21:00Z
NCB532,-20.54477167,115.4574133,SW.Montebello.Sanctuary,No-take,3,8,Todd,Yes,Yes,MB,2014-10-29T02:28:00Z
NCB533,-20.54879,115.4697,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,MB,2014-10-29T02:34:00Z
NCB534,-20.51263667,115.4801367,SW.Montebello.Sanctuary,No-take,4,8,Todd,Yes,Yes,MB,2014-10-29T02:48:00Z
NCB535,-20.514815,115.4677083,SW.Montebello.Sanctuary,No-take,4,9.6,Todd,Yes,Yes,MB,2014-10-29T02:54:00Z
NCB536,-20.51856667,115.4561783,SW.Montebello.Sanctuary,No-take,4,9.4,Todd,Yes,Yes,MB,2014-10-29T02:59:00Z
NCB537,-20.51351333,115.4495533,SW.Montebello.Sanctuary,No-take,5,10.1,Todd,Yes,Yes,MB,2014-10-29T03:05:00Z
NCB538,-20.503515,115.4448933,SW.Montebello.Sanctuary,No-take,5,10,Todd,Yes,No,NA,2014-10-29T03:01:00Z
NCB539,-20.49274333,115.4475433,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,Yes,MB,2014-10-29T03:15:00Z
NCB540,-20.48459,115.4523683,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,No,NA,2014-10-29T03:19:00Z
NCB541,-20.45731333,115.46351,SW.Montebello.Sanctuary,No-take,6,10.3,Matt,Yes,Yes,Todd,2014-10-29T05:02:00Z
