OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
1	1.09	2022 08 02 08:42:17	G:\	1.EMObs
10	1.09	2022 08 02 08:42:17	E:\	10.EMObs
100	1.09	2022 08 02 08:42:17	G:\	100.EMObs
10001	1.09	2022 08 02 08:42:17	E:\	10001.EMObs
10003	1.09	2022 08 02 08:42:17	E:\	10003.EMObs
10005	1.09	2022 08 02 08:42:17	E:\EM DONE\Lengths Done\	10005.EMObs
101	1.09	2022 08 02 08:42:17	E:\GB CONVERT\EM Done\	101.EMObs
102	1.09	2022 08 02 08:42:17	E:\	102.EMObs
103	1.09	2022 08 02 08:42:17	E:\	103.EMObs
1038	1.09	2022 08 02 08:42:17	E:\	1038.EMObs
104	1.09	2022 08 02 08:42:17	E:\	104.EMObs
106	1.09	2022 08 02 08:42:17	E:\	106.EMObs
107	1.09	2022 08 02 08:42:17	E:\	107.EMObs
108	1.09	2022 08 02 08:42:17	E:\	108.EMObs
11	1.09	2022 08 02 08:42:17	G:\	11.EMObs
1108	1.09	2022 08 02 08:42:17	G:\EM DONE\	1108.EMObs
111	1.09	2022 08 02 08:42:17	E:\	111.EMObs
112	1.09	2022 08 02 08:42:17	E:\	112.EMObs
113	1.09	2022 08 02 08:42:17	E:\	113.EMObs
114	1.09	2022 08 02 08:42:17	F:\	114.EMObs
115	1.09	2022 08 02 08:42:17	E:\	115.EMObs
116	1.09	2022 08 02 08:42:17	E:\	116.EMObs
119	1.09	2022 08 02 08:42:17	E:\EM Done\	119.EMObs
11R2	1.09	2022 08 02 08:42:17	E:\	11R2.EMObs
11R3	1.09	2022 08 02 08:42:17	E:\	11R3.EMObs
11R4	1.09	2022 08 02 08:42:17	E:\	11R4.EMObs
12	1.09	2022 08 02 08:42:17	G:\	12.EMObs
122	1.09	2022 08 02 08:42:17	E:\	122.EMObs
12RC1	1.09	2022 08 02 08:42:17	E:\	12RC1.EMObs
12RC2	1.09	2022 08 02 08:42:17	E:\	12RC2.EMObs
12RC3	1.09	2022 08 02 08:42:17	E:\	12RC3.EMObs
12RC5	1.09	2022 08 02 08:42:17	E:\	12RC5.EMObs
12RC6	1.09	2022 08 02 08:42:17	E:\	12RC6.EMObs
12RC7	1.09	2022 08 02 08:42:17	E:\	12RC7.EMObs
12RC8	1.09	2022 08 02 08:42:17	E:\	12RC8.EMObs
12RC9	1.09	2022 08 02 08:42:17	E:\	12RC9.EMObs
13	1.09	2022 08 02 08:42:17	G:\	13.EMObs
135	1.09	2022 08 02 08:42:17	E:\	135.EMObs
139	1.09	2022 08 02 08:42:17	E:\	139.EMObs
13RC1	1.09	2022 08 02 08:42:17	E:\	13RC1.EMObs
13RC11	1.09	2022 08 02 08:42:17	E:\	13RC11.EMObs
13RC12	1.09	2022 08 02 08:42:17	E:\	13RC12.EMObs
13RC13	1.09	2022 08 02 08:42:17	E:\	13RC13.EMObs
13RC15	1.09	2022 08 02 08:42:17	I:\	13RC15.EMObs
13RC4	1.09	2022 08 02 08:42:17	E:\	13RC4.EMObs
13RC5	1.09	2022 08 02 08:42:17	E:\	13RC5.EMObs
13RC6	1.09	2022 08 02 08:42:17	E:\	13RC6.EMObs
13RC7	1.09	2022 08 02 08:42:17	E:\	13RC7.EMObs
