OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCB680	4	NCB680_L75.avi	17619	NCB680_R75.avi	16812	4.89905	Analysis	1.46007	427.36251	-49.76431	-1711.08224	1.34561	0.84763	4.71401	0.70002	1764.34623	14.08374	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	7	NCB680_L75.avi	17646	NCB680_R75.avi	16839	4.90656	Analysis	1.46757	373.09129	-75.1236	-1626.35228	1.17846	0.82044	4.25567	0.53969	1670.28812	13.11652	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	9	NCB680_L75.avi	17668	NCB680_R75.avi	16861	4.91268	Analysis	1.47369	-448.27684	-198.46453	-866.22915	0.68364	0.51068	1.21112	0.14496	995.33574	29.39166	Mullidae	Parupeneus	heptacanthus	37355004	4	AD	Passing	NA	NA	NA
NCB680	19	NCB680_L75.avi	21892	NCB680_R75.avi	21085	6.08718	Analysis	2.6482	-232.09243	-196.92929	-1199.92204	0.71088	0.70028	2.33093	4.83624	1237.92606	14.04816	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	NA	NA
NCB680	22	NCB680_L75.avi	40871	NCB680_R75.avi	40064	11.36439	Analysis	7.9254	2479.78167	403.72472	-5115.77224	19.45718	3.88632	41.52785	6.25965	5699.42422	26.20433	Pomacanthidae	Pomacanthus	semicirculatus	37365080	1	AD	Passing	NA	NA	NA
NCB680	49	NCB680_L75.avi	53104	NCB680_R75.avi	52297	14.76583	Analysis	11.32685	-696.78835	-171.51348	-1137.93968	1.22055	0.63327	2.04534	0.82579	1345.30204	32.16748	Labridae	Coris	caudimacula	37384092	1	AD	Passing	NA	NA	NA
NCB680	65	NCB680_L75.avi	118001	NCB680_R75.avi	117194	32.81077	Analysis	29.37178	-521.65777	39.33368	-950.68628	0.83435	0.471	1.46332	2.50141	1085.11675	28.84597	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing	NA	NA	NA
NCB680	77	NCB680_L75.avi	204068	NCB680_R75.avi	203261	56.74213	Analysis	53.30314	-225.60159	-266.57734	-1008.9524	0.597	0.66146	1.6763	0.22293	1067.68184	18.87199	Labridae	Cirrhilabrus	temminckii	37384085	1	AD	Passing	NA	NA	NA
NCB680	87	NCB680_L75.avi	206000	NCB680_R75.avi	205193	57.27933	Analysis	53.84035	-491.05387	-66.07201	-1144.5989	0.97187	0.57556	2.15393	3.47781	1247.23938	23.37007	Pomacentridae	Chromis	fumea	37372004	4	AD	Passing	NA	NA	NA
NCB678	2	NCB678_L73.avi	19736	NCB678_R73.avi	16644	5.48769	Analysis	2.36625	630.8318	-310.8986	-1770.71156	1.52976	1.02317	4.13192	1.01175	1905.26274	21.88877	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB678	26	NCB678_L73.avi	97769	NCB678_R73.avi	94677	27.18516	Analysis	24.06371	228.64383	-159.92076	-1360.19653	0.70522	0.64768	2.42854	0.76776	1388.51981	11.88808	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	NA	NA
NCB678	27	NCB678_L73.avi	97769	NCB678_R73.avi	94677	27.18516	Analysis	24.06371	233.73348	-193.82158	-1362.43686	0.71067	0.67443	2.43876	0.39064	1395.86259	12.89111	Pomacentridae	Chromis	fumea	37372004	1	AD	Passing	NA	NA	NA
NCB678	33	NCB678_L73.avi	100130	NCB678_R73.avi	97038	27.84165	Analysis	24.7202	-393.73248	-256.51796	-899.53179	0.57887	0.51396	1.16854	0.13358	1014.88136	27.86069	Blenniidae	Ecsenius	bicolor	37408022	1	AD	Passing	NA	NA	NA
NCB678	35	NCB678_L73.avi	117431	NCB678_R73.avi	114339	32.65228	Analysis	29.53083	-1222.9236	582.32729	-1971.42139	3.13802	1.81687	5.36989	2.429	2391.89245	34.2777	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	NA	NA
NCB678	36	NCB678_L73.avi	117431	NCB678_R73.avi	114339	32.65228	Analysis	29.53083	-1056.3685	351.94365	-1682.32062	2.34887	1.12923	3.97612	3.88755	2017.4195	33.34268	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	NA	NA
NCB678	37	NCB678_L73.avi	117431	NCB678_R73.avi	114339	32.65228	Analysis	29.53083	-967.32517	219.687	-1988.22353	2.5611	1.08342	5.42839	2.33367	2221.93905	26.4081	Labridae	Leptojulis	cyanopleura	37384027	1	AD	Passing	NA	NA	NA
