OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB680	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0026447549	0.0448481639	3.6679996030	-0.0087336163	0.0008903792	0.0000000000	0.0001371664	0.0002520591	0.0000000000	0.0007080216	-313.3670571556	0.0000000000	0.0000000000	1.0265120033	-9.9020818314	2.2772755231	mm
NCB680	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0997412831	-0.0101068070	3.6836508706	-0.0087798658	0.0011007678	0.0000000000	-0.0002267751	0.0002332958	0.0000000000	0.0007360712	313.3670571556	0.0000000000	0.0000000000	-1.0265120033	7.9669485630	0.9364251288	mm
NCB678	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	0.1026846655	-0.0432392345	4.3206017283	-0.0061329176	0.0003520559	0.0000000000	0.0002442949	0.0000364444	0.0000000000	-0.0073594687	-347.4007933492	0.0000000000	0.0000000000	0.2154816352	-7.0656382422	0.5719235748	mm
NCB678	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	0.0055290442	-0.0328827082	4.3200601594	-0.0058191532	0.0002898287	0.0000000000	-0.0001023476	-0.0005678017	0.0000000000	-0.0071671858	347.4007933492	0.0000000000	0.0000000000	-0.2154816352	9.4739250793	0.0403937071	mm
NCB663	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
NCB663	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
NCB669	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0555618023	0.0436392025	5.5454157201	-0.0000212496	0.0009400573	0.0000000000	-0.0007840628	0.0004758996	0.0000000000	0.0007065872	-323.1513403135	0.0000000000	0.0000000000	0.2798299619	-7.5064801133	-0.1035157645	mm
NCB669	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0002153253	0.0861362463	5.5419224533	0.0017785864	0.0003361709	0.0000000000	-0.0001209121	0.0003542920	0.0000000000	-0.0005340663	323.1513403135	0.0000000000	0.0000000000	-0.2798299619	8.5284180271	4.4817370511	mm
NCB637	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0176061506	-0.0172500716	3.7152545880	-0.0089743882	0.0008714535	0.0000000000	-0.0002293309	-0.0006352663	0.0000000000	0.0007707446	-347.8217272517	0.0000000000	0.0000000000	-0.2248236124	-7.7963497613	-0.0520005018	mm
NCB637	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0895174414	-0.0158847901	3.6927694799	-0.0087888917	0.0008287083	0.0000000000	0.0002539718	-0.0000341550	0.0000000000	0.0007915939	347.8217272517	0.0000000000	0.0000000000	0.2248236124	7.8762775554	0.9932364367	mm
