Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Crinoids	Biota: Hydroids	Biota: Macroalgae	Biota: Octocoral.Black	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated
NCB606	0	4	1	0	0	0	20	0	0	0	0	1	0	0	4
NCB607	5	0	5	0	0	0	20	4	0	0	0	0	0	0	6
NCB608	10	0	0	0	0	0	20	0	0	0	0	0	0	0	10
NCB609	7	0	0	0	0	0	20	0	0	0	0	0	0	0	7
NCB610	8	0	0	0	0	0	20	0	0	0	0	0	0	0	8
NCB611	0	10	0	0	0	0	20	0	0	0	0	0	0	0	10
NCB612	0	7	0	0	0	0	20	0	0	0	0	0	0	0	7
NCB613	1	6	3	0	0	0	20	0	0	0	1	0	0	0	9
NCB614	0	6	4	0	0	0	20	0	0	0	2	0	0	0	8
NCB615	2	5	2	0	0	0	20	0	0	0	0	2	0	0	7
NCB616	0	5	0	0	0	0	20	0	0	0	0	0	0	0	5
NCB617	7	3	0	0	0	0	20	0	0	0	0	0	0	0	10
NCB618	10	0	0	0	0	0	20	0	0	0	0	0	0	0	10
NCB619	4	5	1	0	0	0	20	0	0	0	0	0	0	0	10
NCB620	7	3	0	0	0	0	20	0	0	0	0	0	0	0	10
NCB621	0	0	3	0	0	0	20	3	0	0	0	0	0	0	0
NCB622	0	1	4	1	5	0	20	0	0	0	0	5	0	0	6
NCB623	0	7	7	3	1	0	20	10	0	0	0	0	0	0	8
NCB624	0	0	6	0	0	0	20	0	0	0	6	0	0	0	0
NCB625	0	0	6	3	0	0	20	4	0	0	2	0	3	0	0
NCB626	0	0	5	0	0	0	20	5	0	0	0	0	0	0	0
NCB627	0	0	5	5	0	0	20	9	0	0	1	0	0	0	0
NCB628	0	1	9	0	0	0	20	3	0	0	6	0	0	0	1
NCB629	0	0	5	0	0	0	20	5	0	0	0	0	0	0	0
NCB630	10	0	0	0	0	0	20	0	0	0	0	0	0	0	10
