OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NCB680	0	0	915.23316	827.71001	675.23316	794.15420
NCB680	0	1	882.90155	809.06789	649.11917	775.51208
NCB680	1	0	646.63212	754.38435	395.44041	715.85731
NCB680	1	1	562.07254	745.68470	300.93264	704.67204
NCB680	2	0	1209.94819	746.92750	1074.40415	729.52819
NCB680	2	1	1267.15026	759.35558	1126.63212	744.44189
NCB680	3	0	926.42487	804.09666	693.88601	769.29804
NCB680	3	1	859.27461	770.54085	634.19689	740.71346
NCB680	4	0	1313.16062	607.73303	1309.43005	574.17722
NCB680	5	0	1344.24870	599.03337	1338.03109	571.69160
NCB680	5	1	1387.77202	592.81933	1384.04145	562.99194
NCB680	6	0	1361.65803	649.98849	1175.12953	625.13234
NCB680	6	1	1408.91192	638.80322	1238.54922	616.43268
NCB680	7	0	1298.23834	631.34638	1263.41969	599.03337
NCB680	8	0	584.45596	791.66858	176.58031	743.19908
NCB680	8	1	475.02591	789.18297	50.98446	734.49942
NCB680	9	0	448.91192	887.36479	26.11399	814.03913
NCB680	10	0	492.43523	852.56617	149.22280	786.69735
NCB680	10	1	380.51813	825.22440	82.07254	770.54085
NCB680	11	0	322.07254	745.68470	146.73575	703.42923
NCB680	11	1	436.47668	748.17031	248.70466	707.15765
NCB680	12	0	425.28497	771.78366	147.97927	720.82854
NCB680	12	1	527.25389	753.14154	254.92228	710.88608
NCB680	13	0	1289.53368	782.96893	1104.24870	765.56962
NCB680	13	1	1237.30570	764.32681	1054.50777	744.44189
NCB680	14	0	1157.72021	835.16686	882.90155	812.79632
NCB680	14	1	1104.24870	831.43843	830.67358	802.85386
NCB680	15	0	227.56477	600.27618	118.13472	585.36249
NCB680	15	1	535.95855	554.29229	453.88601	543.10702
NCB680	16	0	572.02073	735.74223	198.96373	694.72957
NCB680	16	1	494.92228	717.10012	114.40415	677.33026
NCB680	17	0	1408.91192	843.86651	952.53886	825.22440
NCB680	17	1	1477.30570	830.19563	1030.88083	811.55351
NCB680	18	0	549.63731	847.59494	166.63212	789.18297
NCB680	18	1	472.53886	841.38090	84.55959	784.21174
