OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCB680	0	NCB680_L75.avi	16264	NCB680_R75.avi	15457	4.52229	Analysis	1.0833	30.65754	1.22476	4.00052	1239.56530	12.35018	15.69320	26.75367	-144.74906	-222.12462	-1210.88005	Mullidae	Parupeneus	barberinoides	37355021	1	J	Passing	NA	NA	NA
NCB680	1	NCB680_L75.avi	17514	NCB680_R75.avi	16707	4.86986	Analysis	1.43087	72.54430	1.86520	3.50346	1187.06428	20.15105	34.43230	8.99467	-378.14002	-155.69670	-1114.40130	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	2	NCB680_L75.avi	17597	NCB680_R75.avi	16790	4.89293	Analysis	1.45395	57.17576	2.14618	5.81796	1421.13722	11.71684	25.60333	8.98485	215.79708	-191.62514	-1391.52521	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	3	NCB680_L75.avi	17606	NCB680_R75.avi	16799	4.89544	Analysis	1.45645	61.72587	0.99987	5.11834	1250.29263	11.45563	5.84093	23.13366	-148.81767	-198.78590	-1225.38530	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	5	NCB680_L75.avi	17624	NCB680_R75.avi	16817	4.90044	Analysis	1.46146	52.54226	2.89733	4.84181	1746.61744	16.04851	20.37025	11.21523	481.44570	-36.85506	-1678.54825	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	6	NCB680_L75.avi	17646	NCB680_R75.avi	16839	4.90656	Analysis	1.46757	55.87922	1.46222	5.81634	1317.81727	14.12795	13.77565	9.28067	312.98400	-74.21888	-1277.95733	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	8	NCB680_L75.avi	17657	NCB680_R75.avi	16850	4.90962	Analysis	1.47063	70.89008	1.28407	3.32868	990.43461	25.94999	33.72504	6.59710	-407.01680	-148.90775	-890.57539	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	10	NCB680_L75.avi	17674	NCB680_R75.avi	16867	4.91434	Analysis	1.47536	78.67246	1.28940	3.09065	1099.93034	27.73162	19.44551	6.29184	-473.91080	-193.33860	-973.58897	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	11	NCB680_L75.avi	18006	NCB680_R75.avi	17199	5.00666	Analysis	1.56767	82.08021	1.68864	3.06064	1293.62535	26.21963	16.55223	2.43792	-547.85958	-162.81499	-1160.52045	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB680	12	NCB680_L75.avi	18066	NCB680_R75.avi	17259	5.02334	Analysis	1.58436	73.52831	1.67970	3.08770	1154.45260	24.88489	31.73687	5.38020	-460.18574	-155.63013	-1047.26747	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
