OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NCB680	0	Analysis	NCB680_L75.avi	12368	3.43898				0
NCB678	0	Analysis	NCB678_L73.avi	11226	3.12145				0
NCB663	0	Analysis	NCB663_L58.avi	21582	6.00098				0
NCB669	0	Analysis	NCB669_L64.avi	7378	4.91867				0
NCB637	0	Analysis	NCB637_L32.avi	13711	3.81052				0
NCB618	0	Analysis	NCB618_L13.avi	25474	7.07608				0
NCB631	0	Analysis	NCB631_L26.avi	17121	4.75581				0
NCB640	0	Analysis	NCB640_L35.avi	15131	4.20516				0
NCB691	0	Analysis	NCB691_L86.avi	13131	3.65114				0
NCB721	0	Analysis	NCB721_L116.avi	6163	4.10867				0
NCB713	0	Analysis	NCB713_L108.avi	14651	4.07378				0
NCB659	0	Analysis	NCB659_L54.avi	15704	4.36440				0
NCB720	0	Analysis	NCB720_L115.avi	15137	4.20892				0
NCB719	0	Analysis	NCB719_L114.avi	16219	4.50977				0
NCB625	0	Analysis	NCB625_L20.avi	5501	3.66733				0
NCB649	0	Analysis	NCB649_L44.avi	7662	5.10800				0
NCB646	0	Analysis	NCB646_L41.avi	5507	3.67133				0
NCB681	0	Analysis	NCB681_L76.avi	4895	3.26333				0
NCB630	0	Analysis	NCB630_L25.avi	7112	4.74133				0
NCB712	0	Analysis	NCB712_L107.avi	16192	4.50227				0
NCB621	0	Analysis	NCB621_L16.avi	7676	5.11733				0
NCB718	0	Analysis	NCB718_L113.avi	9081	2.52502				0
NCB717	0	Analysis	NCB717_L112.avi	14616	4.06405				0
NCB676	0	Analysis	NCB676_L71.avi	22150	6.15892				0
NCB705	0	Analysis	NCB705_L100.avi	2878	1.91867				0
NCB622	0	Analysis	NCB622_L17.avi	4516	3.01067				0
NCB654	0	Analysis	NCB654_L49.avi	14308	3.97643				0
NCB696	0	Analysis	NCB696_R91.avi	25308	7.03702				0
NCB671	0	Analysis	NCB671_L66.avi	18884	5.25079				0
NCB714	0	Analysis	NCB714_L109.avi	16283	4.52757				0
NCB609	0	Analysis	NCB609_L4.avi	7203	4.80200				0
NCB635	0	Analysis	NCB635_L30.avi	9618	2.67166				0
NCB610	0	Analysis	NCB610_L5.avi	6178	4.11867				0
NCB670	0	Analysis	NCB670_L65.avi	8814	5.87600				0
NCB688	0	Analysis	NCB688_L83.avi	13879	3.85913				0
NCB695	0	Analysis	NCB695_L90.avi	16798	4.67077				0
NCB650	0	Analysis	NCB650_L45.avi	7215	4.81000				0
NCB624	0	Analysis	NCB624_R19.avi	2934	1.95600				0
NCB666	0	Analysis	NCB666_L61.avi	16789	11.19267				0
NCB612	0	Analysis	NCB612_L7.avi	13624	3.78443				0
NCB607	0	Analysis	NCB607_L2.avi	5040	3.36000				0
NCB694	0	Analysis	NCB694_L89.avi	15796	4.39216				0
NCB644	0	Analysis	NCB644_L39.avi	5535	3.69000				0
NCB677	0	Analysis	NCB677_L72.avi	8082	2.24724	NCB677_L72.avi	223866	62.24706	1
NCB697	0	Analysis	NCB697_L92.avi	14167	3.93921				0
NCB699	0	Analysis	NCB699_L94.avi	18214	5.06449				0
NCB711	0	Analysis	NCB711_L106.avi	15173	4.21893				0
NCB613	0	Analysis	NCB613_L8.avi	16665	4.62915				0
NCB634	0	Analysis	NCB634_L29.avi	33152	9.20885				0
NCB639	0	Analysis	NCB639_L34.avi	20237	5.62420				0
NCB689	0	Analysis	NCB689_L84.avi	6323	4.21533				0
NCB642	0	Analysis	NCB642_L37.avi	7116	4.74400				0
NCB687	0	Analysis	NCB687_R82.avi	6399	4.26600				0
NCB619	0	Analysis	NCB619_L14.avi	21002	5.83387				0
NCB692	0	Analysis	NCB692_L87.avi	13205	3.67172				0
NCB655	0	Analysis	NCB655_L50.avi	21574	5.99577				0
NCB686	0	Analysis	NCB686_L81.avi	12815	8.54333				0
NCB715	0	Analysis	NCB715_L110.avi	17059	4.74334				0
NCB614	0	Analysis	NCB614_L9.avi	15306	4.25165				0
NCB611	0	Analysis	NCB611_L6.avi	13843	3.84526				0
NCB685	0	Analysis	NCB685_L80.avi	4798	3.19867				0
NCB684	0	Analysis	NCB684_L79.avi	4726	3.15067				0
NCB723	0	Analysis	NCB723_L118.avi	12514	3.47958				0
NCB636	0	Analysis	NCB636_L31.avi	12355	3.43537				0
NCB672	0	Analysis	NCB672_L67.avi	56580	15.73235				0
NCB656	0	Analysis	NCB656_L51.avi	29016	8.06403				0
NCB673	0	Analysis	NCB673_L68.avi	17639	4.90461				0
NCB725	0	Analysis	NCB725_L120.avi	6940	4.62667				0
NCB693	0	Analysis	NCB693_L88.avi	12907	3.58886				0
NCB629	0	Analysis	NCB629_L24.avi	7221	4.81400				0
NCB626	0	Analysis	NCB626_L21.avi	8850	5.90000				0
NCB606	0	Analysis	NCB606_L1.avi	32018	21.34533				0
NCB667	0	Analysis	NCB667_L62.avi	6213	4.14200				0
NCB645	0	Analysis	NCB645_L40.avi	11234	7.48933				0
NCB698	0	Analysis	NCB698_L93.avi	17427	4.84566				0
NCB651	0	Analysis	NCB651_L46.avi	17641	4.90273				0
NCB617	0	Analysis	NCB617_L12.avi	19370	5.38053				0
NCB710	0	Analysis	NCB710_R105.avi	5999	3.99933				0
NCB703	0	Analysis	NCB703_L98.avi	24320	6.76230				0
NCB658	0	Analysis	NCB658_L53.avi	10097	2.80612				0
NCB652	0	Analysis	NCB652_L47.avi	16198	4.50169				0
NCB620	0	Analysis	NCB620_L15.avi	25017	6.94914				0
NCB664	0	Analysis	NCB664_L59.avi	6786	4.52400				0
NCB690	0	Analysis	NCB690_L85.avi	6032	4.02133				0
NCB675	0	Analysis	NCB675_L70.avi	17136	4.76475				0
NCB716	0	Analysis	NCB716_L111.avi	16041	4.46028				0
NCB707	0	Analysis	NCB707_L102.avi	6613	4.40867				0
NCB638	0	Analysis	NCB638_L33.avi	14918	4.14596				0
NCB706	0	Analysis	NCB706_L101.avi	7826	5.21733				0
NCB704	0	Analysis	NCB704_L99.avi	11771	7.84733				0
NCB683	0	Analysis	NCB683_L78.avi	13134	3.65197				0
NCB682	0	Analysis	NCB682_L77.avi	4961	3.30733				0
NCB643	0	Analysis	NCB643_L38.avi	15811	4.39414				0
NCB722	0	Analysis	NCB722_L117.avi	5787	3.85800				0
NCB668	0	Analysis	NCB668_L63.avi	16384	4.55565				0
NCB615	0	Analysis	NCB615_L10.avi	20184	5.60664				0
NCB674	0	Analysis	NCB674_L69.avi	16192	4.50227				0
NCB628	0	Analysis	NCB628_L23.avi	13269	3.68582				0
NCB653	0	Analysis	NCB653_L48.avi	18177	5.05169				0
NCB616	0	Analysis	NCB616_L11.avi	15507	4.30748				0
NCB724	0	Analysis	NCB724_L119.avi	7022	4.68133				0
NCB660	0	Analysis	NCB660_L55.avi	13987	3.88722				0
NCB648	0	Analysis	NCB648_L43.avi	15637	4.34578				0
NCB661	0	Analysis	NCB661_L56.avi	5850	3.90000				0
NCB665	0	Analysis	NCB665_L60.avi	7084	4.72267				0
NCB647	0	Analysis	NCB647_L42.avi	5167	3.44467				0
NCB641	0	Analysis	NCB641_L36.avi	7062	4.70800				0
NCB679	0	Analysis	NCB679_R74.avi	11453	3.18456				0
NCB633	0	Analysis	NCB633_L28.avi	27147	7.54080				0
NCB627	0	Analysis	NCB627_L22.avi	3693	2.46200				0
NCB700	0	Analysis	NCB700_L95.avi	18411	5.11927				0
NCB708	0	Analysis	NCB708_L103.avi	20388	5.66899				0
NCB623	0	Analysis	NCB623_L18.avi	29217	8.11580				0
NCB702	0	Analysis	NCB702_L97.avi	10404	6.93600				0
NCB662	0	Analysis	NCB662_L57.avi	6965	4.64333				0
NCB608	0	Analysis	NCB608_L3.avi	18047	5.01304				0
NCB709	0	Analysis	NCB709_L104.avi	4618	3.07867				0
NCB657	0	Analysis	NCB657_L52.avi	11579	3.21800				0
NCB701	0	Analysis	NCB701_L96.avi	9115	6.07667				0
NCB632	0	Analysis	NCB632_L27.avi	25049	6.95803				0
