OpCode	PointIndex	Filename	Frame	Time	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Period	Attribute9	Attribute10
NCB680	0	NCB680_L75.avi	12368	3.43898	0	923.5443	494.44319	Unknown	Unknown	spp	NA	0	NA	NA	Time Seabed	Analysis	NA	NA
NCB680	1	NCB680_L75.avi	12666	3.52184	0.08286	154.32910999999999	438.56018	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	2	NCB680_L75.avi	12900	3.58691	0.14793	1635.64557	640.22497	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	3	NCB680_L75.avi	12900	3.58691	0.14793	1645.36709	581.91226	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	4	NCB680_L75.avi	12900	3.58691	0.14793	1653.87342	527.24409	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	5	NCB680_L75.avi	12900	3.58691	0.14793	1418.12658	601.34983	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	6	NCB680_L75.avi	13519	3.75903	0.32004	1048.70886	687.60405	Nemipteridae	Pentapodus	porosus	37347007	1	J	Feeding	NA	Analysis	NA	NA
NCB680	7	NCB680_L75.avi	13926	3.87219	0.43321	1046.27848	755.63555	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	8	NCB680_L75.avi	13926	3.87219	0.43321	1036.55696	726.47919	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	9	NCB680_L75.avi	13926	3.87219	0.43321	967.29114	771.42857	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	10	NCB680_L75.avi	13926	3.87219	0.43321	939.34177	750.77615	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	11	NCB680_L75.avi	13926	3.87219	0.43321	910.17722	716.7604	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	12	NCB680_L75.avi	13926	3.87219	0.43321	1475.24051	619.57255	Nemipteridae	Pentapodus	porosus	37347007	1	J	Passing	NA	Analysis	NA	NA
NCB680	13	NCB680_L75.avi	14953	4.15776	0.71877	401.01266	748.34646	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	14	NCB680_L75.avi	14953	4.15776	0.71877	583.29114	760.49494	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	15	NCB680_L75.avi	14953	4.15776	0.71877	426.53165	654.80315	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	16	NCB680_L75.avi	14953	4.15776	0.71877	583.29114	671.81102	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	17	NCB680_L75.avi	14953	4.15776	0.71877	815.39241	665.73678	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	18	NCB680_L75.avi	14953	4.15776	0.71877	1837.36709	745.91676	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	19	NCB680_L75.avi	14953	4.15776	0.71877	1737.72152	720.40495	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	20	NCB680_L75.avi	14953	4.15776	0.71877	1296.60759	813.94826	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	21	NCB680_L75.avi	15013	4.17444	0.73546	408.3038	847.964	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	22	NCB680_L75.avi	15013	4.17444	0.73546	401.01266	803.01462	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	23	NCB680_L75.avi	15013	4.17444	0.73546	645.26582	782.3622	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	24	NCB680_L75.avi	15013	4.17444	0.73546	599.08861	703.39708	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	25	NCB680_L75.avi	15013	4.17444	0.73546	701.16456	660.87739	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
NCB680	26	NCB680_L75.avi	15013	4.17444	0.73546	631.89873	637.79528	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	Analysis	NA	NA
