OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
1.01	0	0	1685.76710	1024.40307	1206.65434	1055.15882
1.01	0	1	1598.22551	1007.84228	1101.36784	1032.68346
1.01	1	0	1195.78004	678.31544	1398.72458	690.69660
1.01	1	1	1151.71349	678.01972	1338.09612	689.80942
1.01	2	0	996.79667	667.38554	1192.45841	678.13253
1.01	2	1	1034.06100	669.75137	1234.45471	682.56846
1.01	3	0	1019.07948	634.73932	1178.93900	644.17525
1.01	3	1	1063.73752	633.55641	1225.37153	643.58379
1.01	4	0	715.93530	568.99233	949.10351	579.37349
1.01	4	1	685.47320	566.92223	919.52865	578.78204
1.01	5	0	863.63956	685.00767	981.99261	693.68456
1.01	5	1	831.40296	695.06243	946.79852	702.26068
1.01	6	0	630.13494	664.73932	739.92421	677.92223
1.01	6	1	688.10166	682.77875	792.27172	691.82147
1.01	7	0	1222.03327	560.70099	1488.20702	567.79847
1.01	8	0	679.54529	647.21796	798.43068	654.83680
1.01	8	1	727.45656	643.96495	849.89094	652.17525
1.01	9	0	813.51941	625.62979	953.69871	635.02300
1.01	9	1	768.56562	625.33406	908.74492	635.31873
1.01	10	0	991.21627	685.58379	1084.76525	694.26068
1.01	10	1	958.38817	686.17525	1051.04991	697.21796
1.01	11	0	991.96091	624.68610	1137.72383	636.84305
1.01	12	0	206.45649	462.42152	601.22068	481.52915
1.01	12	1	499.64439	428.60538	857.59521	444.68610
1.01	13	0	1700.22181	405.49507	1883.32717	379.99233
1.01	13	1	1447.65250	335.99890	1568.65065	318.77656
1.01	14	0	1282.36599	422.30011	1664.47320	414.01972
1.01	15	0	371.46026	331.21577	881.33087	343.04491
1.01	16	0	1619.51941	501.55531	1812.34750	489.72618
1.01	17	0	1231.49723	532.31106	1600.59150	531.12815
1.01	17	1	1401.84843	544.14020	1808.79852	540.59146
1.01	18	0	1277.89316	651.96154	1552.29892	662.50000
1.01	18	1	1105.02401	625.42308	1362.14286	632.50000
1.01	19	0	1259.25878	222.41621	1306.02588	222.38773
1.01	19	1	747.65250	350.14239	792.60628	372.61774
1.01	20	0	737.00555	515.75027	571.38632	512.20153
1.01	20	1	383.29020	392.72727	270.90573	409.28806
1.01	21	0	1265.28651	284.59912	1487.90573	272.93757
1.01	21	1	927.35860	258.69660	1158.87985	259.19058
1.01	22	0	793.78928	799.64951	615.15712	796.10077
1.01	22	1	375.00924	740.50383	308.76155	740.50383
1.01	23	0	1407.10721	630.47097	1658.49353	640.60241
1.01	23	1	1184.40850	639.34283	1403.85397	654.79737
1.02	0	0	1232.13740	811.71851	1053.25077	810.90142
1.02	0	1	1168.25570	834.98248	980.10228	832.98248
1.02	1	0	783.23203	565.55157	923.91173	556.13004
1.02	1	1	472.10971	561.91928	627.11980	539.68610
1.02	2	0	1337.96673	564.24973	1750.83179	578.44469
1.02	3	0	565.68207	449.82475	544.66359	427.82147
1.02	3	1	122.43993	406.07777	116.82070	379.54107
1.02	4	0	1641.92237	468.62651	1659.51201	478.49836
1.02	4	1	1296.52865	434.07777	1276.65434	431.92223
1.02	5	0	1582.84658	616.29792	1507.20333	635.35816
1.02	5	1	1136.85767	576.07886	1045.61183	572.54107
1.02	6	0	918.95009	419.23330	832.93530	403.47097
1.02	6	1	540.96488	324.55641	437.85213	305.62651
1.02	7	0	145.31115	512.08434	463.58965	494.19606
1.02	7	1	3.54898	494.73494	348.64202	472.31216
1.02	8	0	1040.50709	655.33625	810.12693	642.25301
1.02	8	1	677.99938	598.22892	474.98644	556.56407
1.02	9	0	108.83549	454.23877	175.08318	418.75137
1.02	10	0	1214.18238	643.71851	844.56254	627.84447
1.02	10	1	832.77388	544.26725	426.36661	499.98467
1.02	11	0	813.92976	507.59255	48.30561	445.46440
