OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
1.01	0	1	1.01_L373.avi	13266	8.84400	1.01_L373.avi	103266	68.84400	1
1.02	0	1	1.02_L369.avi	16555	11.03667	1.02_L369.avi	106556	71.03733	1
1.03	0	1	1.03_L367.avi	11847	7.89800	1.03_L367.avi	101847	67.89800	1
1.04	0	1	1.04_L375.avi	13837	9.22467	1.04_L375.avi	103862	69.24133	1
1.05	0	1	1.05_L371.avi	18265	12.17667	1.05_L371.avi	108275	72.18333	1
1.06	0	1	1.06_L378.avi	16588	11.05867	1.06_L378.avi	106588	71.05867	1
10.01	0	1	10.01_L373.avi	7380	4.92000	10.01_L373.avi	51206	34.13733	1
10.02	0	1	10.02_L369.avi	9361	6.24067	10.02_L369.avi	99361	66.24067	1
10.03	0	1	10.03_L367.avi	12760	8.50667	10.03_L367.avi	102760	68.50667	1
10.04	0	1	10.04_L375.avi	11864	7.90933	10.04_L375.avi	101864	67.90933	1
10.07	0	1	10.07_L372.avi	17314	11.54267				0
10.08	0	1	10.08_L378.avi	11650	7.76667				0
10.09	0	1	10.09_L378.avi	9387	6.25800	10.09_L378.avi	99388	66.25867	1
10.11	0	1	10.11_L372.avi	19188	12.79200	10.11_L372.avi	109188	72.79200	1
10.12	0	1	10.12_L375.avi	12662	8.44133	10.12_L375.avi	102662	68.44133	1
10.13	0	1	10.13_L367.avi	19051	12.70067				0
10.14	0	1	10.14_L369.avi	12774	8.51600				0
10.15	0	1	10.15_L373.avi	13569	9.04600	10.15_L373.avi	103569	69.04600	1
11.01	0	1	11.01_L375.avi	10851	7.23400				0
11.02	0	1	11.02_L373.avi	11856	7.90400				0
11.03	0	1	11.03_L369.avi	12375	8.25000				0
11.04	0	1	11.04_L367.avi	6747	4.49800	11.04_L367.avi	96747	64.49800	1
11.05	0	1	11.05_L378.avi	9465	6.31000				0
11.06	0	1	11.06_L372.avi	10809	7.20600	11.06_L372.avi	100809	67.20600	1
12.02	0	1	12.02_L369.avi	10926	7.28400				0
12.03	0	1	12.03_L373.avi	10954	7.30267	12.03_L373.avi	100954	67.30267	1
12.04	0	1	12.04_L375.avi	3796	2.53067				0
12.05	0	1	12.05_L367.avi	6976	4.65067	12.05_L367.avi	96976	64.65067	1
12.06	0	1	12.06_L378.avi	16674	11.11600	12.06_L378.avi	106674	71.11600	1
12.11	0	1	12.11_L372.avi	8666	5.77733	12.11_L372.avi	98666	65.77733	1
13.02	0	1	13.02_L369.avi	4671	3.11400	13.02_L369.avi	94671	63.11400	1
13.03	0	1	13.03_L378.avi	5061	3.37400	13.03_L378.avi	85255	56.83667	1
13.04	0	1	13.04_L367.avi	7392	4.92800				0
13.05	0	1	13.05_L373.avi	7206	4.80400	13.05_L373.avi	97206	64.80400	1
13.06	0	1	13.06_L375.avi	4931	3.28733				0
13.08	0	1	13.08_L372.avi	4473	2.98200	13.08_L372.avi	94473	62.98200	1
14.01	0	1	14.01_L372.avi	5779	3.85267	14.01_L372.avi	95779	63.85267	1
14.02	0	1	14.02_L375.avi	8943	5.96200	14.02_L375.avi	98944	65.96267	1
14.03	0	1	14.03_L369.avi	8868	5.91200	14.03_L369.avi	98869	65.91267	1
14.06	0	1	14.06_L369.avi	6393	4.26200	14.06_L369.avi	96393	64.26200	1
14.11	0	1	14.11_L373.avi	10181	6.78733				0
14.12	0	1	14.12_L367.avi	10994	7.32933	14.12_L367.avi	100994	67.32933	1
14.13	0	1	14.13_L378.avi	13119	8.74600	14.13_L378.avi	103119	68.74600	1
15.01	0	1	15.01_L378.avi	6341	4.22733	15.01_L378.avi	96341	64.22733	1
15.02	0	1	15.02_L375.avi	6905	4.60333	15.02_L375.avi	96906	64.60400	1
15.05	0	1	15.05_L367.avi	12751	8.50067				0
15.07	0	1	15.07_L372.avi	8357	5.57133	15.07_L372.avi	98357	65.57133	1
15.12	0	1	15.12_L373.avi	13000	8.66667	15.12_L373.avi	103000	68.66667	1
16.01	0	1	16.01_L372.avi	6656	4.43733	16.01_L372.avi	96657	64.43800	1
16.02	0	1	16.02_L373.avi	12922	8.61467	16.02_L373.avi	102922	68.61467	1
16.03	0	1	16.03_L367.avi	9453	6.30200	16.03_L367.avi	99454	66.30267	1
16.04	0	1	16.04_L375.avi	12531	8.35400	16.04_L375.avi	102531	68.35400	1
16.05	0	1	16.05_L369.avi	10145	6.76333	16.05_L369.avi	100145	66.76333	1
17.08	0	1	17.08_L378.avi	9220	6.14667	17.08_L378.avi	99220	66.14667	1
18.01	0	1	18.01_L369.avi	5937	3.95800	18.01_L369.avi	95937	63.95800	1
18.02	0	1	18.02_L378.avi	7097	4.73133	18.02_L378.avi	97097	64.73133	1
18.03	0	1	18.03_L375.avi	12250	8.16667	18.03_L375.avi	102250	68.16667	1
18.04	0	1	18.04_L367.avi	15073	10.04867	18.04_L367.avi	105143	70.09533	1
18.07	0	1	18.07_L373.avi	5506	3.67067	18.07_L373.avi	95507	63.67133	1
18.08	0	1	18.08_L372.avi	4861	3.24067	18.08_L372.avi	94861	63.24067	1
19.01	0	1	19.01_L372.avi	5982	3.98800	19.01_L372.avi	95982	63.98800	1
19.02	0	1	19.02_L373.avi	9637	6.42467	19.02_L373.avi	99637	66.42467	1
19.03	0	1	19.03_L378.avi	4495	2.99667	19.03_L378.avi	94495	62.99667	1
19.04	0	1	19.04_L367.avi	7865	5.24333				0
19.05	0	1	19.05_L369.avi	7278	4.85200	19.05_L369.avi	97278	64.85200	1
19.08	0	1	19.08_L375.avi	7441	4.96067	19.08_L375.avi	97441	64.96067	1
2.02	0	1	2.02_L378.avi	10982	7.32133				0
2.03	0	1	2.03_L372.avi	10678	7.11867	2.03_L372.avi	100678	67.11867	1
2.04	0	1	2.04_L375.avi	13249	8.83267	2.04_L375.avi	103249	68.83267	1
2.05	0	1	2.05_L367.avi	9957	6.63800	2.05_L367.avi	99957	66.63800	1
2.06	0	1	2.06_L369.avi	11356	7.57067	2.06_L369.avi	101356	67.57067	1
2.07	0	1	2.07_L373.avi	14341	9.56067	2.07_L373.avi	104341	69.56067	1
23.01	0	1	23.01_L373.avi	4618	3.07867	23.01_L373.avi	94618	63.07867	1
23.02	0	1	23.02_L367.avi	9379	6.25267	23.02_L367.avi	99379	66.25267	1
23.03	0	1	23.03_L378.avi	7074	4.71600				0
23.04	0	1	23.04_L369.avi	8039	5.35933	23.04_L369.avi	98039	65.35933	1
23.06	0	1	23.06_L375.avi	15783	10.52200	23.06_L375.avi	105784	70.52267	1
23.09	0	1	23.09_L372.avi	4822	3.21467	23.09_L372.avi	94822	63.21467	1
3.01	0	1	3.01_L367.avi	15604	10.40267	3.01_L367.avi	105605	70.40333	1
3.02	0	1	3.02_L369.avi	11431	7.62067				0
3.03	0	1	3.03_L373.avi	8101	5.40067	3.03_L373.avi	96232	64.15467	1
3.04	0	1	3.04_L375.avi	16390	10.92667	3.04_L375.avi	106390	70.92667	1
3.05	0	time seabed	3.05_L371.avi	14305	9.53667				0
3.06	0	time seabed	3.06_L378.avi	15214	10.14267				0
30.01	0	1	30.01_L375.avi	8685	5.79000	30.01_L375.avi	19166	12.77733	1
30.02	0	1	30.02_L369.avi	5574	3.71600	30.02_L369.avi	95574	63.71600	1
30.03	0	1	30.03_L378.avi	7020	4.68000	30.03_L378.avi	97020	64.68000	1
30.04	0	1	30.04_L367.avi	6286	4.19067				0
30.05	0	1	30.05_L373.avi	8526	5.68400				0
30.06	0	1	30.06_L372.avi	12710	8.47333	30.06_L372.avi	102710	68.47333	1
31.01	0	1	31.01_L375.avi	5402	3.60133	31.01_L375.avi	95403	63.60200	1
31.02	0	1	31.02_L369.avi	7554	5.03600	31.02_L369.avi	97554	65.03600	1
31.03	0	1	31.03_L378.avi	4184	2.78933				0
31.04	0	1	31.04_L367.avi	5211	3.47400	31.04_L367.avi	95211	63.47400	1
31.05	0	1	31.05_L373.avi	8544	5.69600	31.05_L373.avi	98544	65.69600	1
31.06	0	1	31.06_L372.avi	6947	4.63133	31.06_L372.avi	96947	64.63133	1
4.01	0	Time Seabed	4.01_L373.avi	8538	5.69200				0
4.02	0	Time Seabed	4.02_L367.avi	14707	9.80467				0
4.03	0	Time Seabed	4.03_L369.avi	15017	10.01133				0
4.08	0	Time Seabed	4.08_L372.avi	9056	6.03733				0
4.11	0	time seabed	4.11_L378.avi	7876	5.25067				0
4.12	0	Time seabed	4.12_L375.avi	41635	27.75667				0
5.02	0	1	5.02_L378.avi	6357	4.23800	5.02_L378.avi	96357	64.23800	1
5.03	0	1	5.03_L372.avi	10044	6.69600	5.03_L372.avi	100044	66.69600	1
5.07	0	1	5.07_L375.avi	14607	9.73800				0
5.08	0	1	5.08_L367.avi	7817	5.21133	5.08_L367.avi	97818	65.21200	1
5.11	0	1	5.11_L369.avi	19348	12.89867	5.11_L369.avi	109348	72.89867	1
5.13	0	1	5.13_L373.avi	8545	5.69667	5.13_L373.avi	98545	65.69667	1
6.01	0	1	6.01_L378.avi	16794	11.19600				0
6.02	0	1	6.02_L372.avi	9318	6.21200	6.02_L372.avi	99318	66.21200	1
6.03	0	1	6.03_L375.avi	4952	3.30133	6.03_L375.avi	94952	63.30133	1
6.04	0	1	6.04_L367.avi	10276	6.85067	6.04_L367.avi	100276	66.85067	1
6.05	0	1	6.05_L369.avi	7669	5.11267	6.05_L369.avi	97669	65.11267	1
6.12	0	1	6.12_L373.avi	5930	3.95333	6.12_L373.avi	95930	63.95333	1
7.01	0	1	7.01_L378.avi	4952	3.30133	7.01_L378.avi	94952	63.30133	1
7.02	0	1	7.02_L372.avi	9191	6.12733	7.02_L372.avi	99192	66.12800	1
7.03	0	1	7.03_L375.avi	6850	4.56667	7.03_L375.avi	96850	64.56667	1
7.04	0	1	7.04_L367.avi	8983	5.98867	7.04_L367.avi	98983	65.98867	1
7.05	0	1	7.05_L369.avi	7311	4.87400	7.05_L369.avi	97312	64.87467	1
7.08	0	1	7.08_L373.avi	6030	4.02000	7.08_L373.avi	96030	64.02000	1
8.01	0	1	8.01_L378.avi	5266	3.51067	8.01_L378.avi	95266	63.51067	1
8.02	0	1	8.02_L372.avi	9569	6.37933	8.02_L372.avi	99569	66.37933	1
8.05	0	1	8.05_L373.avi	6462	4.30800	8.05_L373.avi	96462	64.30800	1
8.06	0	1	8.06_L369.avi	5330	3.55333	8.06_L369.avi	95331	63.55400	1
8.07	0	1	8.07_L367.avi	17465	11.64333	8.07_L367.avi	107465	71.64333	1
8.12	0	1	8.12_L375.avi	9440	6.29333	8.12_L375.avi	99440	66.29333	1
9.01	0	1	9.01_L373.avi	12978	8.65200	9.01_L373.avi	103001	68.66733	1
9.05	0	1	9.05_L367.avi	16209	10.80600	9.05_L367.avi	37482	24.98800	1
9.06	0	Time Seabed	9.06_L369.avi	7637	5.09133				0
9.08	0	1	9.08_L375.avi	10060	6.70667	9.08_L375.avi	100075	66.71667	1
