OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
1.01	1.09	2022 10 26 09:46:37	F:\	1.01.EMObs
1.02	1.09	2022 10 26 09:46:37	F:\	1.02.EMObs
1.03	1.09	2022 10 26 09:46:37	F:\	1.03.EMObs
1.04	1.09	2022 10 26 09:46:37	F:\	1.04.EMObs
1.05	1.09	2022 10 26 09:46:37	F:\	1.05.EMObs
1.06	1.09	2022 10 26 09:46:37	F:\	1.06.EMObs
10.01	1.09	2022 10 26 09:46:37	F:\	10.01.EMObs
10.02	1.09	2022 10 26 09:46:37	F:\	10.02.EMObs
10.03	1.09	2022 10 26 09:46:37	F:\	10.03.EMObs
10.04	1.09	2022 10 26 09:46:37	F:\	10.04.EMObs
10.07	1.09	2022 10 26 09:46:37	F:\	10.07.EMObs
10.08	1.09	2022 10 26 09:46:37	F:\	10.08.EMObs
10.09	1.09	2022 10 26 09:46:37	F:\New Convert\	10.09.EMObs
10.11	1.09	2022 10 26 09:46:37	F:\	10.11.EMObs
10.12	1.09	2022 10 26 09:46:37	F:\	10.12.EMObs
10.13	1.09	2022 10 26 09:46:37	F:\	10.13.EMObs
10.14	1.09	2022 10 26 09:46:37	F:\	10.14.EMObs
10.15	1.09	2022 10 26 09:46:37	F:\	10.15.EMObs
11.01	1.09	2022 10 26 09:46:37	F:\	11.01.EMObs
11.02	1.09	2022 10 26 09:46:37	F:\	11.02.EMObs
11.03	1.09	2022 10 26 09:46:37	F:\	11.03.EMObs
11.04	1.09	2022 10 26 09:46:37	E:\	11.04.EMObs
11.05	1.09	2022 10 26 09:46:37	F:\	11.05.EMObs
11.06	1.09	2022 10 26 09:46:37	F:\	11.06.EMObs
12.02	1.09	2022 10 26 09:46:37	F:\	12.02.EMObs
12.03	1.09	2022 10 26 09:46:37	F:\	12.03.EMObs
12.04	1.09	2022 10 26 09:46:37	F:\	12.04.EMObs
12.05	1.09	2022 10 26 09:46:37	F:\	12.05.EMObs
12.06	1.09	2022 10 26 09:46:37	F:\	12.06.EMObs
12.11	1.09	2022 10 26 09:46:37	F:\	12.11.EMObs
13.02	1.09	2022 10 26 09:46:37	F:\	13.02.EMObs
13.03	1.09	2022 10 26 09:46:37	E:\	13.03.EMObs
13.04	1.09	2022 10 26 09:46:37	E:\	13.04.EMObs
13.05	1.09	2022 10 26 09:46:37	F:\	13.05.EMObs
13.06	1.09	2022 10 26 09:46:37	F:\	13.06.EMObs
13.08	1.09	2022 10 26 09:46:37	F:\	13.08.EMObs
14.01	1.09	2022 10 26 09:46:37	F:\	14.01.EMObs
14.02	1.09	2022 10 26 09:46:37	F:\	14.02.EMObs
14.03	1.09	2022 10 26 09:46:37	F:\	14.03.EMObs
14.06	1.09	2022 10 26 09:46:37	E:\	14.06.EMObs
14.11	1.09	2022 10 26 09:46:37	E:\	14.11.EMObs
14.12	1.09	2022 10 26 09:46:37	F:\	14.12.EMObs
14.13	1.09	2022 10 26 09:46:37	F:\	14.13.EMObs
15.01	1.09	2022 10 26 09:46:37	F:\	15.01.EMObs
15.02	1.09	2022 10 26 09:46:37	F:\	15.02.EMObs
15.05	1.09	2022 10 26 09:46:37	E:\	15.05.EMObs
15.07	1.09	2022 10 26 09:46:37	E:\	15.07.EMObs
15.12	1.09	2022 10 26 09:46:37	F:\	15.12.EMObs
16.01	1.09	2022 10 26 09:46:37	E:\	16.01.EMObs
16.02	1.09	2022 10 26 09:46:37	F:\	16.02.EMObs
16.03	1.09	2022 10 26 09:46:37	F:\	16.03.EMObs
16.04	1.09	2022 10 26 09:46:37	E:\	16.04.EMObs
16.05	1.09	2022 10 26 09:46:37	F:\	16.05.EMObs
17.08	1.09	2022 10 26 09:46:37	F:\	17.08.EMObs
18.01	1.09	2022 10 26 09:46:37	F:\	18.01.EMObs
18.02	1.09	2022 10 26 09:46:37	F:\	18.02.EMObs
