Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
IO15,-34.06118897,114.8663721,South-west,No-take,C.IO.35,40.8,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T23:59:00Z
FH24,-33.66868897,114.8438721,South-west,Fished,C.FH.1,47.6,Brooke Gibbons,Yes,Yes,Ramesh/Claude,2020-10-11T23:55:00Z
IO34,-34.06118897,114.8713721,South-west,No-take,C.IO.35,41.3,Brooke Gibbons,Yes,Yes,Ramesh/Claude,2020-10-16T00:02:00Z
IO92,-34.09868897,114.8863721,South-west,No-take,C.IO.52,42.3,Brooke Gibbons,Yes,Yes,Claude,2020-10-16T02:16:00Z
IO122,-34.11618897,114.8263721,South-west,No-take,C.IO.59,57.4,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T04:35:00Z
IO126,-34.11368897,114.8188721,South-west,No-take,C.IO.59,58.2,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T04:31:00Z
IO153,-34.04618897,114.8888721,South-west,Fished,C.IO.65,42.6,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T23:36:00Z
IO195,-34.09368897,114.8588721,South-west,No-take,C.IO.6,43.4,Brooke Gibbons,Yes,Yes,Claude,2020-10-16T01:57:00Z
IO220,-34.05618897,114.8438721,South-west,No-take,C.IO.5,43.7,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T06:39:00Z
IO226,-34.06368897,114.8438721,South-west,No-take,C.IO.4,42.8,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T06:32:00Z
IO310,-34.05868897,114.7738721,South-west,No-take,C.IO.8,64.7,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T02:06:00Z
IO311,-34.05618897,114.7688721,South-west,No-take,C.IO.8,66.1,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T02:03:00Z
FH14,-33.76618897,114.8713721,South-west,Fished,C.FH.10,44.4,Daphne,Yes,No,NA,2020-10-17T03:24:00Z
FH32,-33.69618897,114.9463721,South-west,No-take,C.FH.5,42.9,Daphne,Yes,No,NA,2020-10-17T00:50:00Z
FH36,-33.69868897,114.9338721,South-west,No-take,C.FH.5,44.4,NA,No,No,NA,2020-10-17T00:59:00Z
FH54,-33.76618897,114.9388721,South-west,Fished,C.FH.9,43.2,Daphne,Yes,No,NA,2020-10-17T01:20:00Z
IO354,-34.06605,114.84,South-west,No-take,C.IO.4,45,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T06:29:00Z
IO363,-33.98618897,114.7513721,South-west,Fished,C.IO.25,66.2,Brooke Gibbons,Yes,Yes,Claude,2020-10-14T23:26:00Z
IO365,-34.02368897,114.7538721,South-west,Fished,C.IO.23,73.7,Brooke Gibbons,Yes,Yes,Claude,2020-10-15T00:23:00Z
IO37,-34.10868897,114.7188721,South-west,No-take,C.IO.55,130,Brooke Gibbons,Yes,Yes,Claude,2020-10-22T02:12:00Z
FH62,-33.75618897,114.8813721,South-west,Fished,C.FH.8,45.1,NA,No,No,NA,2020-10-17T03:17:00Z
IO40,-34.10368897,114.7138721,South-west,No-take,C.IO.55,131,Brooke Gibbons,Yes,Yes,Claude,2020-10-22T02:17:00Z
IO58,-34.13618897,114.7738721,South-west,No-take,C.IO.69,92.7,Brooke Gibbons,Yes,Yes,Claude,2020-10-21T23:21:00Z
IO110,-34.14118897,114.7288721,South-west,No-take,C.IO.68,128,Brooke Gibbons,Yes,Yes,Claude,2020-10-22T00:00:00Z
IO263,-34.00868897,114.8788721,South-west,Fished,C.IO.19,42.4,Brooke Gibbons,Yes,Yes,Claude,2020-10-19T01:52:00Z
IO264,-34.01868897,114.8738721,South-west,Fished,C.IO.19,42,Brooke Gibbons,Yes,Yes,Claude,2020-10-19T01:31:00Z
IO269,-33.98868897,114.8138721,South-west,Fished,C.IO.22,47.6,Brooke Gibbons,Yes,Yes,Claude,2020-10-18T23:18:00Z
IO62,-34.13368897,114.7663721,South-west,No-take,C.IO.69,105,Brooke Gibbons,Yes,Yes,Claude,2020-10-21T23:45:00Z
IO96,-34.13618897,114.7363721,South-west,No-take,C.IO.68,127,Brooke Gibbons,Yes,Yes,Rachel,2020-10-22T00:06:00Z
IO180,-33.99618897,114.7038721,South-west,Fished,C.IO.41,122,Brooke Gibbons,Yes,Yes,Claude,2020-11-23T04:36:00Z
IO253,-34.01368897,114.7038721,South-west,Fished,C.IO.49,124,Brooke Gibbons,Yes,Yes,Claude,2020-11-23T04:15:00Z
IO277,-34.10618897,114.6463721,South-west,No-take,C.IO.15,139,Brooke Gibbons,Yes,Yes,Claude,2020-11-22T23:53:00Z
IO278,-34.11118897,114.6388721,South-west,No-take,C.IO.15,140,Brooke Gibbons,Yes,Yes,Claude,2020-11-22T23:45:00Z
IO300,-34.08618897,114.6688721,South-west,No-take,C.IO.14,138,Brooke Gibbons,Yes,Yes,Claude,2020-11-22T23:18:00Z
IO16,-34.07368897,114.8688721,South-west,No-take,C.IO.35,41.4,Daphne,Yes,No,NA,2020-10-16T01:43:00Z
IO17,-34.06368897,114.8763721,South-west,No-take,C.IO.35,41.1,Daphne,No,No,NA,2020-10-16T00:07:00Z
IO350,-34.02618897,114.6038721,South-west,Fished,C.IO.27,135,Brooke Gibbons,Yes,Yes,Claude,2020-11-23T01:56:00Z
FH41,-33.67118897,114.8388721,South-west,Fished,C.FH.1,44.1,Claude,Yes,Yes,Rachel,2020-10-12T00:01:00Z
FH45,-33.69368897,114.7988721,South-west,Fished,C.FH.4,47.6,Claude,Yes,Yes,Rachel,2020-10-12T02:39:00Z
FH48,-33.79618897,114.8138721,South-west,Fished,C.FH.12,48.5,Claude,Yes,No,Rachel,2020-10-12T05:23:00Z
FH56,-33.83118897,114.8663721,South-west,Fished,C.FH.14,43.5,Claude,Yes,Yes,Rachel,2020-10-12T07:31:00Z
IO130,-33.98118897,114.8763721,South-west,Fished,C.IO.37,41.1,NA,No,No,NA,2020-10-13T04:24:00Z
FH57,-33.78868897,114.8113721,South-west,Fished,C.FH.12,45.8,Claude,Yes,Yes,Rachel,2020-10-12T05:12:00Z
FH59,-33.66868897,114.8188721,South-west,Fished,C.FH.2,44.6,Claude,Yes,No,Rachel,2020-10-12T00:32:00Z
FH60,-33.81618897,114.8213721,South-west,Fished,C.FH.13,44.5,Claude,Yes,Yes,Rachel,2020-10-12T07:14:00Z
FH61,-33.84118897,114.8638721,South-west,Fished,C.FH.14,43.9,Claude,Yes,Yes,Brooke Gibbons,2020-10-12T07:43:00Z
IO157,-33.97118897,114.8238721,South-west,Fished,C.IO.33,45.6,NA,No,No,NA,2020-10-13T02:14:00Z
FH63,-33.67868897,114.8163721,South-west,Fished,C.FH.2,46.3,Claude,Yes,Yes,Brooke Gibbons,2020-10-12T00:20:00Z
FHC03,-33.948622,114.819555,South-west,Fished,C.FH.22,44.5,Claude,Yes,Yes,Brooke Gibbons,2020-10-13T01:56:00Z
IO5,-34.08868897,114.7763721,South-west,No-take,C.IO.43,66.7,Claude,Yes,Yes,Brooke Gibbons,2020-10-15T04:12:00Z
